symbol,contract,net_pos_corr,net_pos,net_chg,c_net_pos,c_net_chg,broker
A,A2501,0.8217801162479541,-43894.0,-221.0,-30154.0,-278.0,W乾坤期货
A,A2501,-0.7055699738112813,8049.0,1.0,8526.0,53.0,L中信建投
A,A2501,-0.7165480625855892,14146.0,-326.0,12124.0,-342.0,W银河期货
A,A2503,-0.6028949845666955,12046.0,-265.0,8674.0,7.0,L新湖期货
A,A2503,-0.6596342356165571,8049.0,1.0,380.0,17.0,L中信建投
A,A2505,0.6546454930490659,-43894.0,-221.0,-1382.0,-112.0,W乾坤期货
AG,AG2412,0.6917532498909787,-1837.0,411.0,-1742.0,278.0,W华泰期货
AG,AG2412,-0.7169394477669983,-4262.0,-709.0,-1868.0,-1.0,L东方财富
AL,AL2501,0.7200153167416803,20360.0,-5.0,9980.0,324.0,W海通期货
AL,AL2501,-0.6206554727289406,-6103.0,-755.0,-3719.0,974.0,L中泰期货
AL,AL2501,-0.667650236453815,-9781.0,863.0,-4685.0,1729.0,W银河期货
AL,AL2502,-0.6886944222247395,-6103.0,-755.0,-1774.0,-946.0,L中泰期货
AL,AL2502,-0.8122294630937614,1012.0,5.0,1012.0,5.0,L国富期货
AO,AO2412,0.8042568724935596,-307.0,15.0,856.0,7.0,W创元期货
AO,AO2501,0.932962934543232,4189.0,695.0,4189.0,695.0,W瑞达期货
AO,AO2501,0.9258967685950772,6757.0,355.0,3840.0,62.0,L南华期货
AO,AO2501,0.8498072865096018,17303.0,-1415.0,14460.0,-840.0,W国泰君安
AO,AO2501,0.8110679753538834,3544.0,143.0,4808.0,-28.0,L光大期货
AO,AO2501,0.704914157619801,7170.0,340.0,5808.0,534.0,W海通期货
AO,AO2501,-0.6201795208997747,3992.0,646.0,2831.0,-23.0,W银河期货
AO,AO2501,-0.6942408413553167,-8855.0,-140.0,-7407.0,-81.0,L中信建投
AO,AO2501,-0.8453923818955267,-5937.0,1017.0,-6119.0,153.0,L徽商期货
AO,AO2501,-0.8887700866283219,-4505.0,-117.0,-4505.0,-117.0,L平安期货
AO,AO2501,-0.9415752030070974,-14819.0,-284.0,-9277.0,-162.0,L东方财富
AO,AO2502,-0.8332572488624741,7170.0,340.0,1684.0,-214.0,W海通期货
AO,AO2503,0.6827833430203754,6757.0,355.0,789.0,-3.0,L南华期货
AO,AO2503,0.6737341111734247,-823.0,-2.0,-823.0,-2.0,W中金财富
AO,AO2505,0.60955697613879,17303.0,-1415.0,5858.0,480.0,W国泰君安
AP,AP2501,0.81800189301298,1844.0,3.0,2906.0,46.0,W海通期货
AP,AP2501,0.7612324308360564,2469.0,-666.0,2543.0,-744.0,W华泰期货
AP,AP2501,-0.6112685449493486,-3389.0,-194.0,-3040.0,-40.0,L中泰期货
AP,AP2501,-0.6297383272956227,-2265.0,-58.0,-1805.0,-40.0,L国富期货
AP,AP2501,-0.6823707919604092,-60.0,-437.0,395.0,-289.0,L光大期货
AP,AP2505,0.9213739675251722,83.0,209.0,632.0,13.0,L徽商期货
AP,AP2505,0.8827810983166003,1669.0,-290.0,1001.0,84.0,W银河期货
AP,AP2505,0.8249363627131205,3913.0,84.0,1516.0,12.0,L中信建投
AP,AP2505,-0.6726072150312071,-60.0,-437.0,-965.0,-150.0,L光大期货
AP,AP2505,-0.7920076287875032,-7388.0,961.0,-1894.0,-94.0,W国泰君安
AU,AU2412,0.7431898450983487,6263.0,798.0,4070.0,760.0,W国泰君安
AU,AU2412,-0.7213982493137743,113.0,-211.0,-339.0,-195.0,L平安期货
AU,AU2502,0.6962123855127843,5536.0,-625.0,2046.0,-39.0,W银河期货
AU,AU2502,0.6442443316323072,19035.0,20.0,7635.0,10.0,W海通期货
AU,AU2502,0.6090331350516321,-1670.0,-168.0,1161.0,128.0,L中信建投
AU,AU2502,-0.7412550691351297,-2252.0,-62.0,-1283.0,-154.0,L光大期货
AU,AU2504,0.6814178624125758,5536.0,-625.0,2822.0,-7.0,W银河期货
AU,AU2506,0.8585008304450987,382.0,-24.0,324.0,-17.0,L东方财富
AU,AU2508,-0.6605673123347263,-2252.0,-62.0,-166.0,-10.0,L光大期货
B,B2501,0.675959097594434,-1887.0,19.0,-1652.0,-43.0,W海通期货
B,B2501,-0.7561555511787796,7202.0,1669.0,5691.0,1513.0,W华泰期货
B,B2501,-0.7761906442138086,2822.0,155.0,2244.0,141.0,L中信建投
B,B2501,-0.9655466708565066,1300.0,-92.0,1300.0,-92.0,L东方财富
B,B2505,0.7697547783053437,909.0,756.0,-258.0,72.0,W创元期货
B,B2505,-0.6162655496342992,-3358.0,539.0,-2273.0,203.0,L国富期货
BR,BR2501,0.9392869788187592,-1809.0,74.0,-1809.0,74.0,W银河期货
BR,BR2501,-0.7258217716107263,-552.0,-1.0,-552.0,-1.0,W华泰期货
BR,BR2501,-0.8817753850873861,1000.0,-7.0,1000.0,-7.0,W瑞达期货
C,C2505,0.6884676219309436,2421.0,52.0,-18612.0,82.0,L新湖期货
C,C2505,-0.6527147804813878,-21554.0,349.0,3452.0,-342.0,W银河期货
CF,CF2503,0.6520865830664397,,,-206.0,0.0,W华闻期货
CF,CF2503,0.6384068126947497,-2326.0,2854.0,-1821.0,1.0,L中粮期货
CF,CF2503,-0.6033465784668878,12677.0,-36.0,515.0,14.0,W国泰君安
CF,CF2503,-0.6105778479046884,-526.0,-409.0,-177.0,-74.0,W华泰期货
CJ,CJ2412,0.7067249605248876,,,11.0,0.0,L中粮期货
CJ,CJ2412,0.6064677361678016,993.0,35.0,-5.0,0.0,W银河期货
CJ,CJ2412,-0.6490090614332605,1302.0,-96.0,13.0,0.0,L徽商期货
CJ,CJ2505,-0.9068611593010986,4909.0,118.0,1650.0,116.0,L东方财富
CS,CS2501,0.7375722057439663,-3312.0,90.0,-3412.0,90.0,W中金财富
