,future_mkt_val_chg,call_mkt_val_chg,put_mkt_val_chg
AP,0.5800619920628305,6.554412780767481,-0.4187748906480383
CJ,0.36258224628357905,1.1673671270878843,0.12303473616373228
CY,0.28882736861888847,0.0,0.0
WR,0.26278598136764053,0.0,0.0
BB,0.1920695088759352,0.0,0.0
PG,0.12489800612284929,-0.20887378419503821,0.8990258455394653
BC,0.09321223619692787,0.0,0.0
A,0.08338272378835332,0.08423547480158411,0.16245635068231956
AG,0.06917057108864055,-0.0032921267963691436,-0.15531657405536226
NI,0.06854438408153052,-0.04721598727860987,0.15232971680736385
FG,0.06577753498176198,-0.23522075101802753,0.031010878612573123
TA,0.06568282281837368,-0.24924491189623366,0.25964485935563664
C,0.060437324548653804,0.3657375072377542,-0.20010737446672322
HC,0.05749535142849038,0.0,0.0
PP,0.056676560533207576,-0.09384907386765018,0.38244058444949447
SC,0.05565179062055092,-0.34312034973027183,0.5590781028554792
M,0.04889282401580508,0.22864864570265286,-0.047448278436614366
AU,0.04626653711019868,0.33781882017684195,-0.15158474487685603
L,0.043195911823063815,-0.2489163532151173,0.20114867932228697
RR,0.0371446459775191,0.0,0.0
BU,0.03155873347452287,0.0,0.0
J,0.028498259168184603,0.0,0.0
EB,0.024110018317864412,-0.13273048200464865,0.5496876114018547
I,0.022223139037662376,0.28701471806163026,-0.3506474184125731
MA,0.010825112498907608,-0.13252237552215085,-0.02219859364104315
UR,0.008694479636894625,-0.0401145222459236,0.2171651267460295
SA,0.006617769377502247,-0.10365859753100515,-0.16410055514097988
PR,0.006225565888316575,0.0,0.0
RM,0.006142666907271055,-0.16642840377867119,0.07494878211158507
LH,0.005864644631579541,-0.04401738336298788,0.06938156485739855
RB,0.0017211533371215282,0.42185109661472087,-0.368201171560707
P,0.000864857575344935,-0.026674419689419637,0.19255199893155028
ZC,0.0,0.0,0.0
RI,0.0,0.0,0.0
LR,0.0,0.0,0.0
PM,0.0,0.0,0.0
JR,0.0,0.0,0.0
SM,-0.005140405198967524,0.4741272757250923,-0.38634201170353555
EG,-0.008103835193702724,-0.13870116756560935,0.17713150461120986
SN,-0.013878365281704386,-0.05892024267731544,-0.05008283396437141
RU,-0.016365437987090448,-0.24076096491899424,-0.011779903200502595
JM,-0.017907354096950323,0.0,0.0
SP,-0.01844733317009195,0.0,0.0
CU,-0.021862793168244354,-0.1706994421001501,-0.0924374317208625
CF,-0.027580949040271086,-0.16606953513052058,-0.0022720659577769586
V,-0.03282485470109975,0.1764029109657339,-0.14950016151750878
PB,-0.03505621888172206,-0.15833013191967482,0.22905295881850862
CS,-0.03638825059119177,0.06553834671594916,-0.09588384061083821
NR,-0.037238092740149,0.0,0.0
Y,-0.0402005842273776,-0.1660822264217704,0.29985107627107443
SR,-0.05082800271831134,-0.38629147002554154,0.40133426757267965
B,-0.05379452248807648,0.10295455176092272,-0.06737201007337568
SF,-0.058893249028076244,2.066296474884215,0.0028010767196180453
ZN,-0.06468352498258456,-0.6220824012302706,0.13623513576834978
SI,-0.07370501178570166,-0.18776292637991443,-0.046586995405190956
OI,-0.07524168745305648,-0.3940282284797506,0.4774089029074977
EC,-0.0778189931614458,0.0,0.0
LC,-0.09534030876970034,-0.288313014319195,-0.048799606663466166
LU,-0.09884848049083306,0.0,0.0
FU,-0.09967420968120488,0.0,0.0
JD,-0.10447861470286679,-0.02535728905528678,0.08828215712521215
AO,-0.10556962050365959,-0.08020374659858509,0.6425352139099778
AL,-0.10953792464554213,-0.5568774175150509,0.43909529887585164
PX,-0.11368599784057765,-0.34801376555088515,-0.2355360224702573
SH,-0.13976327834909408,0.04429689265786396,-0.23505746543134787
FB,-0.15080520034379652,0.0,0.0
BR,-0.16334083230985486,-0.10283375581649878,-0.23926700636066345
PK,-0.18254992336425657,0.17126548632315242,0.43354908758117605
PF,-0.19255788596419154,-0.24075710465900646,0.10230753295768591
SS,-0.2080503052437872,0.0,0.0
RS,-0.4193227091633466,0.0,0.0
