symbol,informed_total,informed_chg,uninformed_total,uninformed_chg,net_total,net_chg
P,107379.0,-6321.0,-69784.0,1351.0,177163.0,-7672.0
Y,90849.0,-10130.0,-35101.0,-1346.0,125950.0,-8784.0
OI,65814.0,2426.0,-17489.0,1636.0,83303.0,790.0
AG,56255.0,-4847.0,-6180.0,-3597.0,62435.0,-1250.0
AU,44635.0,-3396.0,-3804.0,-484.0,48439.0,-2912.0
AO,23596.0,3243.0,-23105.0,-2667.0,46701.0,5910.0
SR,39619.0,4344.0,1498.0,584.0,38121.0,3760.0
AL,22018.0,4983.0,-14009.0,-3410.0,36027.0,8393.0
ZN,28764.0,8022.0,-4815.0,-4719.0,33579.0,12741.0
BU,12414.0,2599.0,-8699.0,-307.0,21113.0,2906.0
LU,15440.0,2381.0,-5051.0,164.0,20491.0,2217.0
HC,3435.0,-1069.0,-11387.0,2302.0,14822.0,-3371.0
L,-2621.0,3350.0,-15009.0,-1029.0,12388.0,4379.0
PX,6579.0,877.0,982.0,209.0,5597.0,668.0
PG,3532.0,-964.0,-1976.0,-144.0,5508.0,-820.0
EB,3050.0,-3928.0,-1678.0,-1076.0,4728.0,-2852.0
CU,6692.0,-1097.0,2881.0,1053.0,3811.0,-2150.0
NR,-1271.0,-1360.0,-4353.0,-42.0,3082.0,-1318.0
PR,2405.0,-61.0,-628.0,-101.0,3033.0,40.0
JD,1876.0,83.0,43.0,2373.0,1833.0,-2290.0
J,1496.0,62.0,342.0,-175.0,1154.0,237.0
PB,-1040.0,1337.0,-1943.0,-1441.0,903.0,2778.0
RS,8.0,2.0,4.0,0.0,4.0,2.0
SN,904.0,741.0,1114.0,-34.0,-210.0,775.0
SH,-810.0,626.0,-381.0,-440.0,-429.0,1066.0
CY,-475.0,39.0,56.0,-31.0,-531.0,70.0
EC,895.0,63.0,1490.0,-13.0,-595.0,76.0
BR,-379.0,67.0,494.0,-280.0,-873.0,347.0
PF,-3785.0,-1209.0,-1534.0,-126.0,-2251.0,-1083.0
SI,4858.0,-1930.0,7670.0,1798.0,-2812.0,-3728.0
LH,-166.0,-92.0,2717.0,232.0,-2883.0,-324.0
CJ,1741.0,272.0,5600.0,89.0,-3859.0,183.0
SF,-1585.0,819.0,4133.0,309.0,-5718.0,510.0
CS,-3213.0,2558.0,4365.0,-4101.0,-7578.0,6659.0
UR,-9433.0,2082.0,-119.0,-753.0,-9314.0,2835.0
JM,-285.0,2084.0,9578.0,329.0,-9863.0,1755.0
NI,-11162.0,-294.0,1804.0,461.0,-12966.0,-755.0
LC,-3087.0,2068.0,9916.0,-6157.0,-13003.0,8225.0
EG,-17571.0,295.0,-2850.0,-290.0,-14721.0,585.0
FU,-11369.0,-5605.0,3682.0,4029.0,-15051.0,-9634.0
SS,-12659.0,-1097.0,2788.0,-1650.0,-15447.0,553.0
AP,-7608.0,477.0,7884.0,-264.0,-15492.0,741.0
SP,-8563.0,1032.0,7712.0,347.0,-16275.0,685.0
RU,-11747.0,3064.0,5761.0,-1305.0,-17508.0,4369.0
I,9057.0,-7907.0,30137.0,-4763.0,-21080.0,-3144.0
PK,-20688.0,2590.0,1163.0,-717.0,-21851.0,3307.0
B,-24906.0,3881.0,3197.0,434.0,-28103.0,3447.0
PP,-7463.0,-268.0,24005.0,-400.0,-31468.0,132.0
CF,-15590.0,-725.0,20303.0,-49.0,-35893.0,-676.0
A,-40638.0,-91.0,5859.0,982.0,-46497.0,-1073.0
C,-43101.0,-898.0,5918.0,-2705.0,-49019.0,1807.0
FG,-21792.0,4439.0,28848.0,-11493.0,-50640.0,15932.0
SM,-41933.0,1190.0,11387.0,769.0,-53320.0,421.0
SA,-39728.0,22836.0,21410.0,-19059.0,-61138.0,41895.0
MA,-63481.0,7230.0,9437.0,960.0,-72918.0,6270.0
RB,-44077.0,14033.0,73547.0,-28776.0,-117624.0,42809.0
RM,-151166.0,-7373.0,30414.0,1616.0,-181580.0,-8989.0
V,-152301.0,-4099.0,96337.0,8034.0,-248638.0,-12133.0
TA,-262179.0,-11816.0,25909.0,2405.0,-288088.0,-14221.0
M,-322666.0,-7064.0,23266.0,1311.0,-345932.0,-8375.0
