symbol,informed_total,informed_chg,uninformed_total,uninformed_chg,net_total,net_chg
P,101704.0,-3143.0,-51996.0,-526.0,153700.0,-2617.0
L,81947.0,10380.0,-27475.0,-488.0,109422.0,10868.0
SR,70778.0,4059.0,832.0,2450.0,69946.0,1609.0
BU,44192.0,-5165.0,-16900.0,412.0,61092.0,-5577.0
MA,42523.0,-1674.0,-8593.0,-2395.0,51116.0,721.0
ZN,25796.0,1808.0,-1332.0,-1405.0,27128.0,3213.0
AO,11449.0,-403.0,-14768.0,-2736.0,26217.0,2333.0
Y,19928.0,32.0,5.0,3204.0,19923.0,-3172.0
CF,30846.0,1677.0,16082.0,96.0,14764.0,1581.0
JD,7723.0,2001.0,-7021.0,413.0,14744.0,1588.0
AU,12698.0,-769.0,155.0,-370.0,12543.0,-399.0
PB,8695.0,-1630.0,-3395.0,-62.0,12090.0,-1568.0
I,22528.0,227.0,11028.0,-3073.0,11500.0,3300.0
FU,4715.0,-1293.0,-4401.0,34.0,9116.0,-1327.0
EB,2185.0,-2761.0,-2895.0,-70.0,5080.0,-2691.0
LU,6312.0,-272.0,2265.0,-446.0,4047.0,174.0
AL,455.0,284.0,-3590.0,-336.0,4045.0,620.0
PR,2971.0,147.0,0.0,0.0,2971.0,147.0
SP,-99.0,7086.0,-1917.0,-2630.0,1818.0,9716.0
PG,2407.0,-160.0,1376.0,-16.0,1031.0,-144.0
EC,111.0,172.0,-99.0,126.0,210.0,46.0
RS,2.0,4.0,0.0,-1.0,2.0,5.0
CY,-201.0,130.0,68.0,-7.0,-269.0,137.0
LG,-91.0,55.0,1033.0,105.0,-1124.0,-50.0
AP,58.0,4626.0,1266.0,449.0,-1208.0,4177.0
NR,-2488.0,-37.0,-921.0,1326.0,-1567.0,-1363.0
CU,83.0,279.0,2176.0,239.0,-2093.0,40.0
J,-2031.0,232.0,333.0,-90.0,-2364.0,322.0
PP,-1299.0,-1207.0,1568.0,981.0,-2867.0,-2188.0
SH,-2516.0,-3080.0,401.0,1105.0,-2917.0,-4185.0
HC,-4959.0,17741.0,-1195.0,-4233.0,-3764.0,21974.0
EG,-5427.0,-1422.0,-1060.0,788.0,-4367.0,-2210.0
SN,-1801.0,244.0,2914.0,-493.0,-4715.0,737.0
NI,-3809.0,-1468.0,2073.0,108.0,-5882.0,-1576.0
PF,-9906.0,-1922.0,-3220.0,-895.0,-6686.0,-1027.0
PX,-12019.0,-128.0,-1676.0,509.0,-10343.0,-637.0
BR,-10777.0,146.0,87.0,216.0,-10864.0,-70.0
LH,-4110.0,-249.0,6790.0,639.0,-10900.0,-888.0
LC,2277.0,-570.0,13285.0,1280.0,-11008.0,-1850.0
AG,-7113.0,-1560.0,5042.0,3380.0,-12155.0,-4940.0
SI,-892.0,1997.0,11605.0,2574.0,-12497.0,-577.0
UR,-13362.0,-409.0,-270.0,65.0,-13092.0,-474.0
CJ,-2710.0,-990.0,10757.0,-448.0,-13467.0,-542.0
SS,-5858.0,1816.0,7958.0,-88.0,-13816.0,1904.0
B,-11690.0,-2117.0,4827.0,208.0,-16517.0,-2325.0
RU,-12687.0,-2457.0,4652.0,842.0,-17339.0,-3299.0
SF,-15487.0,3494.0,3864.0,-413.0,-19351.0,3907.0
OI,-17298.0,1792.0,9199.0,-430.0,-26497.0,2222.0
SM,-33415.0,-1002.0,-4249.0,-545.0,-29166.0,-457.0
CS,-7900.0,-3169.0,21701.0,-1805.0,-29601.0,-1364.0
FG,-3070.0,9712.0,28482.0,-6063.0,-31552.0,15775.0
PK,-28401.0,2143.0,7188.0,-147.0,-35589.0,2290.0
JM,-22470.0,-1359.0,13981.0,1737.0,-36451.0,-3096.0
A,-37827.0,3734.0,11526.0,-3141.0,-49353.0,6875.0
M,-25017.0,2717.0,88504.0,8949.0,-113521.0,-6232.0
RB,-75529.0,12771.0,52733.0,-3100.0,-128262.0,15871.0
RM,-122548.0,-6731.0,48105.0,-1128.0,-170653.0,-5603.0
SA,-122152.0,-1392.0,50734.0,-3133.0,-172886.0,1741.0
TA,-149383.0,7712.0,58337.0,-6234.0,-207720.0,13946.0
V,-134272.0,5240.0,74989.0,2066.0,-209261.0,3174.0
C,-189558.0,-12729.0,126044.0,12222.0,-315602.0,-24951.0
