symbol,informed_total,informed_chg,uninformed_total,uninformed_chg,net_total,net_chg
Y,16765.0,-7068.0,-133509.0,4212.0,150274.0,-11280.0
SR,73666.0,4496.0,-66734.0,7011.0,140400.0,-2515.0
P,108918.0,1308.0,-19397.0,6743.0,128315.0,-5435.0
L,81217.0,-5718.0,-16361.0,-1877.0,97578.0,-3841.0
BU,41609.0,101.0,-6788.0,333.0,48397.0,-232.0
AO,24804.0,-614.0,-19901.0,3105.0,44705.0,-3719.0
AG,43714.0,3204.0,-511.0,1050.0,44225.0,2154.0
ZN,28909.0,1191.0,-3308.0,-737.0,32217.0,1928.0
AU,32150.0,-327.0,341.0,87.0,31809.0,-414.0
I,34744.0,-3788.0,11009.0,-1787.0,23735.0,-2001.0
CF,19236.0,814.0,-648.0,592.0,19884.0,222.0
AL,26225.0,5213.0,6604.0,557.0,19621.0,4656.0
PB,8936.0,1025.0,-4972.0,-114.0,13908.0,1139.0
CU,6766.0,-312.0,-912.0,120.0,7678.0,-432.0
JD,5395.0,-3076.0,227.0,1315.0,5168.0,-4391.0
LU,1730.0,989.0,-1845.0,120.0,3575.0,869.0
EB,7134.0,190.0,4281.0,-191.0,2853.0,381.0
PR,2525.0,-560.0,0.0,0.0,2525.0,-560.0
PG,914.0,-1399.0,531.0,-471.0,383.0,-928.0
SN,941.0,92.0,576.0,-279.0,365.0,371.0
SP,-4836.0,-1412.0,-4913.0,1581.0,77.0,-2993.0
RS,1.0,1.0,0.0,0.0,1.0,1.0
EC,-127.0,308.0,124.0,28.0,-251.0,280.0
CY,-316.0,13.0,278.0,45.0,-594.0,-32.0
EG,1425.0,-2085.0,3145.0,883.0,-1720.0,-2968.0
J,-1994.0,24.0,-72.0,-7.0,-1922.0,31.0
NR,-3364.0,-528.0,-1336.0,-296.0,-2028.0,-232.0
HC,-12322.0,-9873.0,-8949.0,-3591.0,-3373.0,-6282.0
SH,-5621.0,248.0,-378.0,39.0,-5243.0,209.0
AP,-443.0,-1535.0,6479.0,539.0,-6922.0,-2074.0
PF,-9972.0,-2443.0,-3003.0,281.0,-6969.0,-2724.0
LH,-3556.0,382.0,4435.0,15.0,-7991.0,367.0
MA,-8670.0,-4403.0,938.0,-1492.0,-9608.0,-2911.0
CJ,-1683.0,-420.0,10791.0,36.0,-12474.0,-456.0
BR,-9659.0,1621.0,3155.0,-171.0,-12814.0,1792.0
NI,-3840.0,-3803.0,9363.0,1041.0,-13203.0,-4844.0
PX,-16845.0,-1902.0,-2118.0,374.0,-14727.0,-2276.0
PP,-2165.0,-5952.0,14040.0,1221.0,-16205.0,-7173.0
LC,-5274.0,-612.0,12090.0,-637.0,-17364.0,25.0
SI,-4512.0,44.0,13390.0,-211.0,-17902.0,255.0
FU,-14717.0,-13199.0,4984.0,2694.0,-19701.0,-15893.0
CS,-1614.0,2369.0,19457.0,84.0,-21071.0,2285.0
SS,-13607.0,-5847.0,8290.0,837.0,-21897.0,-6684.0
SF,-18187.0,-1617.0,4125.0,361.0,-22312.0,-1978.0
PK,-18192.0,3135.0,4674.0,-350.0,-22866.0,3485.0
B,-13156.0,-91.0,11818.0,948.0,-24974.0,-1039.0
RU,-15790.0,-3335.0,9693.0,-566.0,-25483.0,-2769.0
UR,-17040.0,-2354.0,8784.0,1661.0,-25824.0,-4015.0
JM,-12474.0,-1560.0,15350.0,443.0,-27824.0,-2003.0
OI,-32715.0,5834.0,13942.0,-2735.0,-46657.0,8569.0
SM,-48319.0,-2359.0,0.0,0.0,-48319.0,-2359.0
A,-45527.0,4539.0,28853.0,192.0,-74380.0,4347.0
M,-155975.0,3921.0,-51396.0,-8267.0,-104579.0,12188.0
FG,-87036.0,-9605.0,89561.0,4852.0,-176597.0,-14457.0
RB,-156262.0,-55167.0,54325.0,11987.0,-210587.0,-67154.0
SA,-146565.0,4462.0,67052.0,-11930.0,-213617.0,16392.0
RM,-177149.0,5884.0,65415.0,3968.0,-242564.0,1916.0
V,-160652.0,16310.0,83021.0,-3283.0,-243673.0,19593.0
C,-183849.0,27177.0,64720.0,-6342.0,-248569.0,33519.0
TA,-179903.0,-17836.0,134136.0,2353.0,-314039.0,-20189.0
