symbol,contract,net_pos_corr,net_pos,net_chg,c_net_pos,c_net_chg,broker
A,A2501,0.7630715870618783,-1250.0,146.0,-1250.0,146.0,W浙商期货
A,A2501,0.6855773395823075,-20495.0,727.0,-7718.0,726.0,W乾坤期货
A,A2501,0.6447317538819757,-32245.0,-338.0,-32245.0,-338.0,W摩根大通
A,A2501,-0.7014951230270848,2001.0,-496.0,1882.0,-698.0,L中泰期货
A,A2501,-0.7167561968537629,1220.0,-1433.0,1220.0,-1433.0,W宏源期货
AG,AG2410,-0.7172840961564573,12415.0,-149.0,753.0,-91.0,W银河期货
AG,AG2412,0.626863349839796,3743.0,587.0,5993.0,543.0,W华泰期货
AG,AG2412,0.6113584900957589,4840.0,-57.0,6203.0,441.0,W浙商期货
AG,AG2412,-0.6210116079300207,3280.0,390.0,3037.0,365.0,L中信建投
AG,AG2412,-0.7202404713689191,-5610.0,365.0,-5657.0,296.0,L东方财富
AG,AG2412,-0.7362188790876126,-6740.0,-458.0,-5837.0,584.0,L中泰期货
AG,AG2502,0.6194362934023836,9092.0,552.0,457.0,83.0,L国投安信
AL,AL2410,-0.7557580050785713,12658.0,-1011.0,2111.0,-383.0,L金瑞期货
AL,AL2501,-0.6981593277103446,-11923.0,-710.0,-1147.0,-246.0,L中泰期货
AL,AL2501,-0.7275801392337882,-3140.0,-990.0,-1798.0,-40.0,L国投安信
AO,AO2410,-0.6132194119157823,-392.0,-98.0,-306.0,14.0,L南华期货
AO,AO2411,0.6010392030155534,-1241.0,228.0,1156.0,411.0,W东证期货
AO,AO2411,-0.6395708664282509,-3390.0,1288.0,-977.0,820.0,L方正中期
AO,AO2411,-0.6618436229746834,-1525.0,106.0,-90.0,474.0,L中信建投
AO,AO2411,-0.7148492429492821,-1926.0,-27.0,-2356.0,344.0,W浙商期货
AO,AO2411,-0.7734200653717614,-5264.0,327.0,-3213.0,205.0,L东方财富
AO,AO2412,0.8059790491071619,-1926.0,-27.0,1921.0,4.0,W浙商期货
AO,AO2412,0.8008814293722751,3055.0,-83.0,1081.0,18.0,W华泰期货
AO,AO2412,0.7024581399392587,-392.0,-98.0,-1927.0,139.0,L南华期货
AO,AO2412,-0.752316654424692,-5110.0,612.0,-2116.0,-40.0,L国投安信
AO,AO2412,-0.7646086856649486,-1525.0,106.0,-1399.0,-786.0,L中信建投
AO,AO2501,0.8224994364171201,1969.0,17.0,1200.0,11.0,L金瑞期货
AO,AO2501,0.7704939500426963,2625.0,-762.0,1245.0,-804.0,W国泰君安
AO,AO2501,-0.6777201001316757,-1241.0,228.0,-1530.0,-192.0,W东证期货
AO,AO2501,-0.7455493079265905,-1094.0,-170.0,-817.0,7.0,L中泰期货
AO,AO2501,-0.7828126257238003,-3390.0,1288.0,-1499.0,493.0,L方正中期
AO,AO2501,-0.823494406577447,-1525.0,106.0,-36.0,418.0,L中信建投
AO,AO2501,-0.9419069451965023,-5110.0,612.0,-2505.0,20.0,L国投安信
AO,AO2501,-0.9481124043757971,-5264.0,327.0,-1773.0,43.0,L东方财富
AP,AP2411,0.6477593027965709,-1258.0,459.0,-3.0,14.0,W宏源期货
AP,AP2501,0.6709182900492935,-126.0,40.0,920.0,16.0,W华泰期货
AU,AU2412,0.7930400889462028,18243.0,-473.0,13074.0,-579.0,W东证期货
AU,AU2412,0.761044915241534,3797.0,-44.0,3624.0,-154.0,L国投安信
AU,AU2412,0.7408876770379786,11738.0,-484.0,8678.0,101.0,W国泰君安
AU,AU2412,0.7182916980244516,-714.0,61.0,3108.0,2.0,L中信建投
AU,AU2412,0.6447280785895271,289.0,-164.0,2937.0,-173.0,L南华期货
AU,AU2412,0.6139628948843001,4060.0,217.0,4060.0,217.0,W乾坤期货
AU,AU2412,-0.7245505384383792,-1985.0,193.0,-2170.0,79.0,L平安期货
AU,AU2412,-0.8280521352700079,-3725.0,486.0,-2737.0,240.0,L方正中期
AU,AU2412,-0.8560138406825513,-5807.0,-40.0,-4004.0,-75.0,L金瑞期货
AU,AU2502,0.7410413546857422,18243.0,-473.0,5290.0,-11.0,W东证期货
AU,AU2502,0.6711858067611804,3797.0,-44.0,588.0,52.0,L国投安信
