symbol,contract,net_pos_corr,net_pos,net_chg,c_net_pos,c_net_chg,broker
A,A2501,0.8561718221932875,-1190.0,60.0,-1190.0,60.0,W浙商期货
A,A2501,0.6904619332255096,-19761.0,734.0,-6983.0,735.0,W乾坤期货
A,A2501,0.6515213303116064,-31835.0,472.0,-31667.0,578.0,W摩根大通
A,A2501,-0.708523049835952,1827.0,536.0,1109.0,-63.0,L中泰期货
A,A2501,-0.8332505614794634,13017.0,-85.0,5543.0,35.0,L新湖期货
A,A2503,0.8912870207956219,1827.0,536.0,718.0,599.0,L中泰期货
A,A2503,0.7264652124919451,3813.0,1267.0,-252.0,-46.0,W国泰君安
A,A2503,0.7220882857759792,4110.0,268.0,-198.0,151.0,W中信期货
A,A2503,-0.7327535907047342,5700.0,4888.0,499.0,-80.0,W银河期货
A,A2503,-0.8653915869430497,171.0,132.0,122.0,152.0,W华泰期货
AG,AG2410,-0.7268858819109865,12579.0,144.0,416.0,-261.0,W银河期货
AG,AG2412,0.6375793839298498,2739.0,-1108.0,4832.0,-1161.0,W华泰期货
AG,AG2412,0.6321868285069616,4656.0,-72.0,5817.0,-386.0,W浙商期货
AG,AG2412,-0.6115783494294603,-2361.0,-608.0,-1447.0,-597.0,L方正中期
AG,AG2412,-0.6325399066799562,3293.0,13.0,3012.0,-25.0,L中信建投
AG,AG2412,-0.7392843051009201,-4836.0,1806.0,-4897.0,940.0,L中泰期货
AG,AG2502,0.6491625821878466,9040.0,-455.0,392.0,-65.0,L国投安信
AL,AL2410,-0.7651287397951895,12472.0,-809.0,2450.0,-284.0,L金瑞期货
AL,AL2412,0.6584048698137951,7102.0,1962.0,7102.0,1962.0,W乾坤期货
AL,AL2501,0.6709299597694212,16895.0,-1481.0,2555.0,25.0,W海通期货
AL,AL2501,-0.7620346665377568,-3516.0,-376.0,-1775.0,23.0,L国投安信
AO,AO2410,-0.6036116355917474,-125.0,267.0,-105.0,201.0,L南华期货
AO,AO2411,0.6942789225863274,-1398.0,22.0,-1398.0,22.0,W中金财富
AO,AO2411,0.648239387291885,-982.0,281.0,584.0,-572.0,W东证期货
AO,AO2411,-0.7674866062911893,-2023.0,-97.0,-2215.0,141.0,W浙商期货
AO,AO2412,0.8543606058606608,-2023.0,-97.0,1891.0,-30.0,W浙商期货
AO,AO2412,0.8032471741062659,1820.0,-272.0,1099.0,18.0,W华泰期货
AO,AO2412,-0.7810434653577956,-5149.0,14.0,-2057.0,59.0,L国投安信
AO,AO2412,-0.8543730290543308,-1362.0,163.0,-1456.0,-57.0,L中信建投
AO,AO2501,0.8653995605042246,6492.0,669.0,5331.0,45.0,W中信期货
AO,AO2501,0.8520071394808417,1944.0,-25.0,1178.0,-22.0,L金瑞期货
AO,AO2501,0.6028663586275653,-175.0,-2800.0,946.0,-299.0,W国泰君安
AO,AO2501,-0.6569398358942455,-1362.0,163.0,224.0,260.0,L中信建投
AO,AO2501,-0.7440966455128513,-982.0,281.0,-1153.0,377.0,W东证期货
AO,AO2501,-0.777845072313866,-3617.0,-320.0,-1154.0,345.0,L方正中期
AO,AO2501,-0.7781114841134084,-1250.0,-156.0,-768.0,49.0,L中泰期货
AO,AO2501,-0.8323236025272822,64.0,-6.0,-1099.0,138.0,L新湖期货
AO,AO2501,-0.9465713388885664,-5149.0,14.0,-2598.0,-93.0,L国投安信
AP,AP2501,0.6670671344807866,57.0,183.0,1046.0,126.0,W华泰期货
AU,AU2410,0.6926762121523824,-33.0,93.0,-33.0,93.0,L徽商期货
AU,AU2412,0.8042084862828618,18185.0,-58.0,12445.0,-629.0,W东证期货
AU,AU2412,0.7759336263761125,2983.0,-814.0,2804.0,-820.0,L国投安信
AU,AU2412,0.7600380834841788,11344.0,-32.0,8157.0,-521.0,W国泰君安
AU,AU2412,0.7445166449125428,11334.0,-1990.0,10867.0,-1559.0,W中信期货
AU,AU2412,0.7229876164807922,-657.0,57.0,3107.0,-1.0,L中信建投
AU,AU2412,0.7005854793706585,22125.0,793.0,10547.0,-151.0,W海通期货
AU,AU2412,0.6785726755092902,260.0,-29.0,2903.0,-34.0,L南华期货
