symbol,informed_total,informed_chg,uninformed_total,uninformed_chg,net_total,net_chg
M,33285.0,-1475.0,-178206.0,-3390.0,211491.0,1915.0
P,89350.0,-2024.0,-61587.0,6689.0,150937.0,-8713.0
SR,49397.0,-1652.0,-52410.0,2846.0,101807.0,-4498.0
Y,17634.0,-2871.0,-81921.0,1405.0,99555.0,-4276.0
AU,74872.0,2829.0,-2915.0,-259.0,77787.0,3088.0
AG,63023.0,2268.0,-1447.0,-3510.0,64470.0,5778.0
OI,42514.0,-2007.0,-13657.0,-1488.0,56171.0,-519.0
AL,32081.0,5431.0,-14811.0,272.0,46892.0,5159.0
FG,37685.0,15888.0,-3642.0,8457.0,41327.0,7431.0
AO,21043.0,7137.0,-19064.0,415.0,40107.0,6722.0
HC,31806.0,-8931.0,7142.0,2371.0,24664.0,-11302.0
ZN,16705.0,-995.0,-4496.0,1261.0,21201.0,-2256.0
CS,18655.0,39.0,1056.0,-860.0,17599.0,899.0
UR,3195.0,-1551.0,-10306.0,2796.0,13501.0,-4347.0
BU,13352.0,1193.0,1704.0,1053.0,11648.0,140.0
SS,7485.0,234.0,705.0,-70.0,6780.0,304.0
L,912.0,3993.0,-5669.0,250.0,6581.0,3743.0
LC,-6348.0,4234.0,-11596.0,4854.0,5248.0,-620.0
SH,1298.0,1499.0,-3150.0,-1469.0,4448.0,2968.0
JM,5348.0,2714.0,1169.0,-1194.0,4179.0,3908.0
LU,104.0,-1184.0,-3565.0,-169.0,3669.0,-1015.0
PG,5730.0,812.0,2201.0,859.0,3529.0,-47.0
PR,2135.0,-217.0,-417.0,-121.0,2552.0,-96.0
SN,666.0,737.0,-933.0,162.0,1599.0,575.0
PB,-2096.0,-1446.0,-3593.0,-138.0,1497.0,-1308.0
SI,-2500.0,-2390.0,-3540.0,1416.0,1040.0,-3806.0
FU,-3213.0,-1659.0,-3536.0,3414.0,323.0,-5073.0
RS,3.0,1.0,7.0,3.0,-4.0,-2.0
CY,-362.0,49.0,87.0,68.0,-449.0,-19.0
EC,-141.0,-377.0,592.0,49.0,-733.0,-426.0
BR,-694.0,43.0,425.0,-202.0,-1119.0,245.0
CU,6780.0,1901.0,8236.0,1033.0,-1456.0,868.0
EB,3813.0,-1081.0,5854.0,353.0,-2041.0,-1434.0
NR,-9719.0,-654.0,-6703.0,225.0,-3016.0,-879.0
JD,-2702.0,-263.0,375.0,1220.0,-3077.0,-1483.0
CJ,-269.0,1046.0,3413.0,-591.0,-3682.0,1637.0
PF,-7911.0,705.0,-3853.0,-143.0,-4058.0,848.0
V,60442.0,12759.0,66603.0,2777.0,-6161.0,9982.0
PX,-3230.0,-1520.0,3053.0,-552.0,-6283.0,-968.0
CF,3457.0,-746.0,10889.0,1118.0,-7432.0,-1864.0
NI,-6596.0,-1250.0,1690.0,214.0,-8286.0,-1464.0
RU,-8680.0,6243.0,-377.0,-2745.0,-8303.0,8988.0
B,-5325.0,-15.0,3602.0,-44.0,-8927.0,29.0
SF,-11041.0,353.0,-90.0,-308.0,-10951.0,661.0
AP,-8366.0,-108.0,4420.0,1920.0,-12786.0,-2028.0
I,7922.0,-5942.0,21067.0,-1550.0,-13145.0,-4392.0
PK,-11178.0,-1525.0,3635.0,1579.0,-14813.0,-3104.0
SP,-7570.0,619.0,7258.0,-1044.0,-14828.0,1663.0
EG,-16552.0,1595.0,4620.0,342.0,-21172.0,1253.0
A,-17365.0,1527.0,15649.0,742.0,-33014.0,785.0
RB,-8949.0,12157.0,26010.0,9859.0,-34959.0,2298.0
PP,-21946.0,-12939.0,17665.0,-392.0,-39611.0,-12547.0
MA,-60351.0,16783.0,-8508.0,1942.0,-51843.0,14841.0
SM,-36026.0,1161.0,16730.0,-1557.0,-52756.0,2718.0
SA,-71045.0,25499.0,17384.0,-3933.0,-88429.0,29432.0
C,-62272.0,-5212.0,27120.0,-11151.0,-89392.0,5939.0
RM,-109935.0,6354.0,31407.0,-3210.0,-141342.0,9564.0
TA,-113978.0,14892.0,77129.0,-2813.0,-191107.0,17705.0
