symbol,contract,net_pos_corr,net_pos,net_chg,c_net_pos,c_net_chg,broker
A,A2501,0.8766345546829598,-26450.0,832.0,-13638.0,849.0,W乾坤期货
A,A2501,0.7693833578122836,-32325.0,365.0,-32325.0,365.0,W摩根大通
A,A2501,0.6807077154047527,-2907.0,256.0,-2907.0,256.0,W中金财富
A,A2501,-0.6461558209830015,7781.0,78.0,5725.0,-236.0,W海通期货
A,A2501,-0.661167356385887,4420.0,11.0,3450.0,31.0,L徽商期货
A,A2501,-0.7845867696582454,4754.0,-352.0,6103.0,-464.0,L中信建投
A,A2501,-0.8093610724808651,3734.0,72.0,3734.0,72.0,L方正中期
A,A2501,-0.8441867222523303,10892.0,-584.0,9813.0,-887.0,W银河期货
A,A2503,0.8190447006706192,-631.0,246.0,-183.0,30.0,W海证期货
A,A2503,0.7982629501711742,10892.0,-584.0,193.0,5.0,W银河期货
A,A2503,0.6964338761538125,2819.0,140.0,-1496.0,95.0,W创元期货
A,A2503,-0.617750074945817,-1560.0,53.0,456.0,49.0,L平安期货
A,A2503,-0.6986830585382171,1185.0,-7.0,301.0,-25.0,L广发期货
A,A2503,-0.7781597597356944,448.0,956.0,256.0,93.0,W华泰期货
AG,AG2412,0.7224136443390128,3045.0,-965.0,2690.0,-968.0,W华泰期货
AG,AG2412,0.6346143704511663,7438.0,-191.0,6631.0,-114.0,W东吴期货
AG,AG2412,-0.6757389423997366,5634.0,168.0,889.0,89.0,L平安期货
AG,AG2412,-0.7001529853261776,3642.0,1686.0,4923.0,1880.0,L中信建投
AG,AG2502,-0.6782319323603129,-3316.0,146.0,-1552.0,-145.0,L方正中期
AG,AG2504,0.747940181609071,24557.0,1010.0,7025.0,-52.0,W海通期货
AG,AG2506,0.8083284255082126,4741.0,-231.0,1485.0,33.0,L广发期货
AG,AG2506,0.6929797945379539,3642.0,1686.0,446.0,-43.0,L中信建投
AG,AG2506,0.6102054968172483,24557.0,1010.0,4884.0,11.0,W海通期货
AG,AG2506,-0.7826456889047524,-3316.0,146.0,-393.0,-93.0,L方正中期
AG,AG2506,-0.8070228159636198,3045.0,-965.0,-2461.0,-96.0,W华泰期货
AL,AL2412,0.6729123227524293,19696.0,-414.0,5903.0,-1204.0,W海通期货
AL,AL2501,0.8103861406890362,19696.0,-414.0,10642.0,404.0,W海通期货
AL,AL2501,0.723938971859653,350.0,92.0,3396.0,298.0,W国泰君安
AL,AL2501,-0.7171567066537351,-6777.0,1359.0,-5134.0,-148.0,L中泰期货
AL,AL2501,-0.7652936860408025,-15882.0,-1511.0,-10586.0,-986.0,W银河期货
AL,AL2502,0.7568271353500617,551.0,-316.0,984.0,95.0,W华泰期货
AL,AL2502,0.6612854717070761,-15882.0,-1511.0,-3079.0,178.0,W银河期货
AL,AL2502,-0.6183454616708444,-6777.0,1359.0,-999.0,58.0,L中泰期货
AL,AL2502,-0.6602903673265385,350.0,92.0,-1549.0,-404.0,W国泰君安
AO,AO2411,0.7284688080284565,-4648.0,-717.0,190.0,-1077.0,L中泰期货
AO,AO2411,-0.6294521511981357,-7686.0,763.0,-596.0,152.0,L中信建投
AO,AO2411,-0.7561021231703129,-3620.0,206.0,27.0,-96.0,W华泰期货
AO,AO2412,0.6209214910397194,-3180.0,-858.0,189.0,-299.0,L广发期货
AO,AO2412,0.6116169592662726,1239.0,39.0,1239.0,39.0,W创元期货
AO,AO2412,0.6039364651023063,-3620.0,206.0,205.0,-232.0,W华泰期货
AO,AO2412,-0.8251071398679152,-7686.0,763.0,-1782.0,338.0,L中信建投
AO,AO2412,-0.8950598885434717,-7193.0,844.0,-3286.0,222.0,L方正中期
AO,AO2501,0.9281963106816158,5950.0,1211.0,3873.0,855.0,W海证期货
AO,AO2501,0.8225849237767913,16017.0,-1974.0,9537.0,-1157.0,W国泰君安
AO,AO2501,-0.6852989327614154,-3182.0,735.0,-1973.0,214.0,L徽商期货
AO,AO2501,-0.7038019364797734,-3180.0,-858.0,-3007.0,-810.0,L广发期货
AO,AO2501,-0.7053967196455666,-7686.0,763.0,-5308.0,273.0,L中信建投
AO,AO2501,-0.7318170400633743,-4648.0,-717.0,-5179.0,319.0,L中泰期货
AO,AO2501,-0.7883708544970499,-3589.0,213.0,-3198.0,37.0,L平安期货
AO,AO2501,-0.8671677828662246,-9456.0,-4776.0,-10819.0,-4693.0,L中辉期货
AO,AO2501,-0.9089183365256666,-7193.0,844.0,-3358.0,433.0,L方正中期
AP,AP2411,-0.9473819885467666,,,-40.0,8.0,L国富期货
AP,AP2501,-0.6980284925297202,,,-1571.0,-81.0,L国富期货
AP,AP2505,0.9165214873341373,4048.0,-379.0,482.0,29.0,L徽商期货
AP,AP2505,0.8454572162299919,-1625.0,-1384.0,840.0,-30.0,W创元期货
AP,AP2505,0.6687889035046881,1216.0,-812.0,649.0,-8.0,L中泰期货
AP,AP2505,0.6423273193786139,-1543.0,1846.0,-527.0,274.0,W银河期货
AP,AP2505,-0.6599941771174946,34.0,3350.0,-1333.0,-78.0,W华泰期货
AP,AP2505,-0.757206305326934,525.0,-1323.0,450.0,17.0,L中信建投
AP,AP2505,-0.8156147281381394,-2724.0,404.0,-127.0,191.0,W国泰君安
AP,AP2505,-0.9287487212725931,,,-778.0,10.0,L申银万国
AU,AU2412,0.8658679025284023,14940.0,426.0,11265.0,101.0,W国泰君安
AU,AU2412,0.8285369841497361,3650.0,1161.0,2516.0,1079.0,W东吴期货
AU,AU2412,-0.7003389953102228,-3789.0,10.0,-2020.0,213.0,L方正中期
AU,AU2412,-0.8381979421197058,-1967.0,-560.0,-2335.0,-640.0,L平安期货
AU,AU2502,0.7826585725510649,8516.0,86.0,2890.0,169.0,W银河期货
AU,AU2502,0.6811203396751131,3650.0,1161.0,817.0,66.0,W东吴期货
AU,AU2502,0.6682166616315024,1760.0,-24.0,983.0,82.0,L广发期货
AU,AU2502,0.6469226843839191,3887.0,563.0,3887.0,563.0,W乾坤期货
AU,AU2502,0.6046469671824937,20204.0,727.0,7764.0,100.0,W海通期货
AU,AU2502,-0.777699169266613,-3789.0,10.0,-1022.0,-181.0,L方正中期
AU,AU2502,-0.8553792511703139,-378.0,-100.0,-677.0,5.0,W创元期货
AU,AU2502,-0.9289476558617,-1027.0,0.0,-1027.0,0.0,W中金财富
AU,AU2504,0.8708218556894597,8516.0,86.0,2744.0,-54.0,W银河期货
AU,AU2504,0.7677401472568446,-378.0,-100.0,126.0,-114.0,W创元期货
AU,AU2504,0.7035837286347532,20204.0,727.0,5378.0,956.0,W海通期货
AU,AU2504,-0.6959610235149065,14940.0,426.0,904.0,25.0,W国泰君安
AU,AU2506,0.6495187469082823,-378.0,-100.0,173.0,9.0,W创元期货
AU,AU2506,-0.77911490056164,-4631.0,59.0,-1318.0,3.0,L中信建投
AU,AU2506,-0.7833985361243285,-3789.0,10.0,-355.0,-6.0,L方正中期
AU,AU2508,-0.7593584405744171,1760.0,-24.0,-351.0,-5.0,L广发期货
