,future_mkt_val_chg,call_mkt_val_chg,put_mkt_val_chg
WR,0.7603532394323047,0.0,0.0
SC,0.35855139887099563,0.472740743546165,0.14378323219608968
SP,0.16187122588768688,0.0,0.0
B,0.15194953664679378,-0.6807889487490778,-0.617793816887619
PF,0.1506491131315677,0.5186338551302969,-0.32039785331265436
LG,0.12110616913179917,0.11309113306975926,-0.022572571368743355
SI,0.09721701593615806,-0.14121228473114966,0.39718500215605457
EG,0.08637833710197262,-0.8044530222048873,-0.7518700842797738
SS,0.07954531479267568,0.0,0.0
PR,0.07730193792903828,0.0,0.0
LU,0.07184034176462784,0.0,0.0
AP,0.07094238266396258,-0.1201788963353122,1.9622778562308536
AL,0.06809000644043839,-0.47322117215577963,0.5706772424755142
PK,0.06798351708284023,0.16543593355267538,2.3817638324286166
FU,0.054442455938934486,0.0,0.0
UR,0.051013708624404464,0.29159276690611846,0.7975880366618426
EB,0.040843243882397795,-0.5059115269310916,-0.5399438650523318
SF,0.032349786428480964,0.6668380412135286,0.8802905500035607
C,0.029635073208748253,-0.37820756870946903,-0.7024417722902203
CY,0.02653526902504222,0.0,0.0
FG,0.026455825027883906,0.12485727570262206,0.5620229909003502
M,0.02339489193969424,-0.07580224561781979,-0.5230286330957478
A,0.01979009946968091,-0.46166974125805293,-0.7070242375846423
CF,0.019638021049800836,-0.10219126628291897,0.29700765268293394
MA,0.019205634811482852,0.4973839060762928,0.6852505429809377
RM,0.018265183920954886,0.6685855341137465,0.2496209748421494
PP,0.013790584054692356,-0.3782346912631309,-0.46118396420465835
BU,0.006718785981993491,0.0,0.0
LH,0.003912354840715615,-0.02399407578991608,-0.2237588706756254
HC,0.003606592178365675,0.0,0.0
SA,0.001639603620723351,0.07966590874199175,0.7523335072772548
RI,0.0,0.0,0.0
PM,0.0,0.0,0.0
ZC,0.0,0.0,0.0
JR,0.0,0.0,0.0
LR,0.0,0.0,0.0
JD,-0.0030011193746417586,-0.4293572783472228,-0.16330714552936776
RS,-0.004087193460490468,0.0,0.0
JM,-0.0060129030349338475,0.0,0.0
AO,-0.013195220432652977,0.005373581962087037,-0.19799949979587428
I,-0.014606336068154313,-0.7886741999600755,-0.43597275292118864
TA,-0.01880366905121189,1.0599195968328123,0.009622063754427312
EC,-0.021855358952545867,0.0,0.0
SH,-0.02500270331660015,0.6116567588524167,0.8759222552582315
RB,-0.02608422061876703,-0.2887689813961295,0.13977628163920386
NI,-0.026949444916189336,-0.16684688787911828,0.24638341780664597
RR,-0.030402203525964122,0.0,0.0
L,-0.031948179892414164,-0.7578911065973074,-0.6039243625006341
SM,-0.03526353946199945,-0.15548121494667722,0.18319505089413113
PG,-0.036672181415814964,-0.6955319018878285,-0.5196334989617717
V,-0.037080063703572974,-0.5247233893526062,-0.8130654724451418
AG,-0.03921682258989101,-0.3178497729211822,0.4149223039746879
NR,-0.0424878272812278,0.0,0.0
CU,-0.04267738501563012,-0.32681441007497813,0.5352082532239155
SN,-0.04304181546908048,-0.21290416663985978,0.11477202364649197
PB,-0.04523000855624515,-0.15057394864202944,0.23781001495945198
CS,-0.05055511918595912,-0.6180480427070059,-0.6091599064055206
OI,-0.05379977512217471,0.04375157040346145,0.5572023187061761
RU,-0.059688327062023205,-0.2622368656552756,0.4232598214141545
Y,-0.06575662343140098,-0.8350245906261321,-0.7603487394932308
J,-0.07279740449973926,0.0,0.0
AU,-0.07379999146397487,-0.02842742493205186,0.15316206165210855
CJ,-0.08983685295364408,-0.0793404812130053,0.04285442764175884
BR,-0.09453287247546427,-0.3972859053698786,0.14492364822045722
SR,-0.09483415378659743,-0.16103191391139493,0.6018863144057789
PX,-0.09932933674329947,0.7908539811676671,-0.2552671162091089
ZN,-0.1068622489017701,-0.2650763184963414,0.20814233627426826
LC,-0.10771600440067486,-0.16987258682440443,0.2963127029320225
BC,-0.10980687936169353,0.0,0.0
P,-0.11294329181329066,-0.9457740641613066,-0.32656431396413965
FB,-0.1365249564181189,0.0,0.0
BB,-0.17251111267903763,0.0,0.0
