,future_mkt_val_chg,call_mkt_val_chg,put_mkt_val_chg
SH,0.4599382730666379,0.06919631350530464,0.1260951099404488
PX,0.22993974124360683,0.5335224026922116,-0.04043218073565924
EG,0.18836141248279725,1.0911300768707188,-0.08105268310971603
AO,0.18660826207492742,0.4783691592465549,-0.013381214297961463
A,0.18322799350932306,-0.10394688766202198,2.2092343392392055
FB,0.16840586487168285,0.0,0.0
PF,0.12967875909554616,-0.07681016362275639,-0.46779510092583054
SC,0.11575063803602759,0.535765995516525,-0.44936066834440314
SI,0.11001623177037034,-0.33447823222302087,0.17012857239872003
BB,0.1079712806331512,0.0,0.0
M,0.09318685558896256,-0.26886768724685495,0.19499277748189447
OI,0.07172029689326864,0.14199122106219164,-0.20220270730931733
BR,0.07083680918720048,-0.48448373690292645,0.8504186163742562
SM,0.06519868798020112,0.127561599434024,-0.008281363289097121
PK,0.0606872717997986,0.03183990195769337,0.0431874519779234
Y,0.056790299089534146,0.04265573677659362,-0.17838264874339205
AP,0.05433530175517043,-0.06984608473559784,0.7730760688966891
SA,0.05046238034904249,-0.36541842823736814,0.7841250214074065
UR,0.04918118586757503,-0.11359747611861981,-0.059774625142541504
CJ,0.04373707297088125,-0.2929608875549119,0.1715795020271227
EB,0.04047907312930965,0.10194809022768259,-0.45136514806976336
RB,0.038646981773238664,0.38544184841148166,0.41439171094367744
BU,0.03362172456531676,0.0,0.0
SR,0.025588984816137472,-0.2540188281527642,0.6684481881565789
AL,0.02437973519854353,0.008584880856797872,0.34829506814244016
LC,0.02120432683517004,-0.39238412089581376,0.011836214365972708
NR,0.012903966752842333,0.0,0.0
V,0.010114875588249417,-0.08635006156425495,0.0812931805796977
RM,0.00954041579696674,-0.35298247990428666,0.20785596943043672
L,0.004134636889110865,0.5979834908076089,-0.37429132200535153
RI,0.0,0.0,0.0
JR,0.0,0.0,0.0
PM,0.0,0.0,0.0
LR,0.0,0.0,0.0
ZC,0.0,0.0,0.0
RU,-0.000227606390631796,-0.3266098390010278,1.0918638926251325
PB,-0.0010123748114485576,-0.3570556838733717,0.2692539387392019
SP,-0.00503499071820479,0.0,0.0
ZN,-0.005669269770402385,-0.24160534924375676,0.5056320655911828
FG,-0.005833139055601788,-0.19581430694046487,0.5182233648841088
C,-0.012851510642629016,0.07909007275908864,-0.17369634648237742
LU,-0.02045775803563521,0.0,0.0
CF,-0.021935725421036723,-0.4555731770884055,0.4353040895514917
JM,-0.025917001867859724,0.0,0.0
RR,-0.026522223640758402,0.0,0.0
SF,-0.02758717106873798,0.4643970642343964,-0.13174782165611598
SN,-0.03400700440375237,0.4206522659999443,-0.09923398067086797
JD,-0.03610714811293647,0.33789653104243156,0.09244815265663875
NI,-0.03774770212643441,0.3901071806460883,0.4361416287481319
WR,-0.039298372350272004,0.0,0.0
RS,-0.04397376910465911,0.0,0.0
I,-0.04409644323679829,0.17122500654266126,0.03309096970771375
TA,-0.0451620279631475,0.2702468175220045,-0.24046721353669887
PP,-0.04602268607104931,0.5347385007950185,-0.2090688496796398
P,-0.04901166519521605,0.053043551858433347,0.013142671467227363
FU,-0.049664719385636436,0.0,0.0
LH,-0.050734729958064495,0.32203701840401,-0.004141372647466057
PR,-0.05150923211106828,0.0,0.0
SS,-0.05828758486860508,0.0,0.0
HC,-0.061021898423234466,0.0,0.0
CS,-0.06102781309686034,0.10771550735479174,-0.035979740292223394
B,-0.06142574731181338,-0.49313226505549357,-0.08767134395831999
AU,-0.080384401032075,-0.24271264644259138,0.3417281245613615
CY,-0.08149718893560587,0.0,0.0
MA,-0.08805617925237819,0.022923002652108337,-0.07526714569617166
J,-0.09112901701460452,0.0,0.0
CU,-0.09306561026057025,-0.38062480958091927,0.5670106154197152
BC,-0.09527017655676173,0.0,0.0
PG,-0.10298625819475837,1.1076909046692607,-0.4323303378955742
AG,-0.10894055896453592,-0.37025984940390777,0.33116384616551997
EC,-0.13942210187486626,0.0,0.0
