,future_mkt_val_chg,call_mkt_val_chg,put_mkt_val_chg
FB,0.5844817129074573,0.0,0.0
WR,0.3584194516423078,0.0,0.0
LU,0.24405676651107266,0.0,0.0
BC,0.23100504690599832,0.0,0.0
BB,0.22885940963881213,0.0,0.0
FU,0.20581230944728368,0.0,0.0
AO,0.19625431157553241,0.02233387060736769,0.368637131564308
SH,0.19032724452768623,-0.05657297166728403,1.3561093380268798
RR,0.18973999799757335,0.0,0.0
P,0.18105424502953982,0.3492454905036233,-0.12155702365402987
AG,0.17700105599166438,0.7482690481539969,-0.20308193872452174
SI,0.1574574148682384,1.4257559978083618,0.1477828213338821
BU,0.15441841811180734,0.0,0.0
NI,0.12454151887148979,-0.12007510997277149,0.40347243842242286
ZN,0.10531387650236956,0.2117730080048732,-0.2762500563059713
OI,0.10154317268354895,0.1481694511416327,-0.13395183761888507
C,0.09798283706801802,0.6419406405838246,-0.2801906005050957
Y,0.09420097572775266,0.3027473913130565,-0.3877294375842224
EC,0.08901132872185791,0.0,0.0
AL,0.08538928985839211,0.17816130449221212,-0.3694500934991143
CJ,0.07540352038279807,0.3615774362438777,-0.052313597349512464
EB,0.06988172775617851,0.6229687492070028,-0.18271195445786548
CY,0.06939505870157392,0.0,0.0
AU,0.06543074245359226,0.26647179748558525,0.1325901553250841
LC,0.0644330896356442,1.4934836066054036,-0.09883061783376101
JD,0.05878784074243293,0.2925958442480505,-0.2932819671579918
NR,0.056493225081537535,0.0,0.0
PG,0.05501172107383878,0.5887823899346063,0.2243156199677938
L,0.053470996618083966,0.04894815072822878,-0.05148511484552443
RM,0.05287224065105889,0.07161139484916301,-0.07333343624524091
PB,0.045675909250345814,0.13013215874994555,-0.07888584552960476
CF,0.0450799676585083,0.31254095559152906,-0.20938498605623423
RU,0.044924222425690274,0.2031753093513209,-0.13325492401761407
BR,0.042574424818394574,0.21453546182028616,-0.0678386120286254
SN,0.0420977590481999,-0.2209195814746071,0.08765343960927097
HC,0.040238055175554566,0.0,0.0
SA,0.034357253201615645,0.4289498747108724,-0.31050725421067493
MA,0.03311497271896813,0.2054403645530567,-0.04004469345440409
A,0.027163414316522472,0.6081363691671229,-0.0031642420016011474
CS,0.02166892622239347,0.40516433012321684,-0.30744111770245997
J,0.02044124958065452,0.0,0.0
TA,0.020436888645565032,0.33284233091443594,-0.23887125639150852
PX,0.018238497183994395,0.38275719442324196,-0.41160326345164366
M,0.01633934892238731,0.28903125753081205,-0.11150505051647763
FG,0.014456132635038976,0.2889058456388829,-0.4363477026635407
PF,0.014267784465745947,0.5834298633821309,-0.09520425093882368
AP,0.012452799272406168,-0.24094349615024235,0.08969100262613372
SM,0.012192435434536852,0.2648360577795834,-0.10748038514369207
V,0.00786515449177938,0.1342769380426907,0.060967029557129626
PP,0.002959915877674524,0.021531089399607017,-0.11053894368240658
PK,0.0025161961220807605,0.13595168869587537,0.029766334205525435
SP,8.761654810185426e-05,0.0,0.0
LR,0.0,0.0,0.0
ZC,0.0,0.0,0.0
PM,0.0,0.0,0.0
JR,0.0,0.0,0.0
RI,0.0,0.0,0.0
SS,-0.0010850801094856033,0.0,0.0
CU,-0.0032856658621774892,0.13383801465142042,-0.14477010144651647
SF,-0.007915243290129381,-0.07014687558339949,-0.4335460329599956
I,-0.012657854515599087,-0.10511049015298446,-0.030879933121759517
JM,-0.015178377483981542,0.0,0.0
UR,-0.017945620499234982,-0.011722741342389265,-0.2992536892965858
RB,-0.018079028844044776,0.05632220705575164,-0.1388067717976057
B,-0.018844309758701216,0.6361996014821438,-0.2921547875876854
SR,-0.029808316334488993,-0.011416258294587256,-0.20168270245390763
LH,-0.038646317442387446,0.28072085917465395,-0.10059669955943229
EG,-0.04973302322958695,-0.028166410256709296,0.08540519393210277
SC,-0.08467763426761654,0.4751216002284544,-0.20122146191724755
PR,-0.10706260922086497,0.0,0.0
RS,-0.4479705819931652,0.0,0.0
