,future_mkt_val_chg,call_mkt_val_chg,put_mkt_val_chg
LC,0.32024222594044005,0.717821663909326,0.15448477760145574
SN,0.19848534592702483,-0.612899399706113,2.1012686336189197
SS,0.17651547187805572,0.0,0.0
SP,0.17513143711785006,0.0,0.0
L,0.15472672525502262,0.4716468988777214,-0.21813787177426058
PB,0.1310034829509319,0.089128713465912,0.18736015859017985
AP,0.12564506323193014,-0.07478166021191923,-0.5841810167282475
CY,0.10721741361905668,0.0,0.0
SR,0.10124479615969784,0.13413946812251698,0.043012461995451945
CS,0.09889081720347748,-0.06680880478790863,0.02678288589853972
PX,0.09164353706212514,-0.580046554218467,1.712426004314787
BC,0.07303107979958368,0.0,0.0
UR,0.07181651493599506,-0.44455974529304165,0.18415734110191817
LH,0.05952718184635386,-0.21384310847178667,0.042985251819460224
PF,0.056420359719723256,-0.5001198982299235,-0.2239570936671903
FB,0.05219233788706501,0.0,0.0
BR,0.044013947253183305,-0.16979792162045704,0.6822146212903508
SF,0.03680807365509975,-0.3989176118499068,-0.23434235830276928
FU,0.03538434285910119,0.0,0.0
CJ,0.029701568708808024,-0.4279042217504042,0.10362352862269031
C,0.026853884004357065,-0.15640156638511515,0.02750537635279726
SC,0.020215503309294114,-0.46089425454463406,-0.07072958166560583
RB,0.01558665294130046,-0.4075863119663995,0.08441437505998972
V,0.013188999093358023,-0.4381958636204182,0.16198936765921879
JM,0.010767969356548113,0.0,0.0
PK,0.009447882603171642,-0.5034695739060997,0.19546491489385986
SI,0.007380782602877556,0.31424920014628266,0.20376237226879867
PM,0.0,0.0,0.0
ZC,0.0,0.0,0.0
LR,0.0,0.0,0.0
JR,0.0,0.0,0.0
RI,0.0,0.0,0.0
I,-0.0011764490112688986,-0.3745515763737616,0.20758101488625003
J,-0.002040649487312751,0.0,0.0
MA,-0.0024767531573255397,-0.44154644384688957,-0.036901793076982936
EB,-0.004273678073691278,0.16505185707155756,0.2827941183318614
RM,-0.010865428822839585,-0.02067796952338563,-0.34587147618255465
NI,-0.014285525391835363,-0.4746945179242944,0.46419338658938725
HC,-0.017034388913999998,0.0,0.0
PG,-0.017385629588205664,0.356329998719203,0.15479869556754267
ZN,-0.019677087767241752,-0.38572248613787463,0.6054843695060224
TA,-0.024150810163720116,-0.576422780122247,-0.14609289891602129
M,-0.027003914554060482,-0.07883450851628482,-0.13501098473064232
CU,-0.03151011977396245,-0.49576038219425933,0.9495948978591799
LU,-0.038511228345372794,0.0,0.0
PP,-0.04065591702175664,-0.2545355846622914,0.03831675260456424
CF,-0.04202657685848521,-0.2985646202028558,0.2234941929885217
AU,-0.044246782534442475,-0.4073034369015145,0.612237705628867
SA,-0.04554785940609718,-0.3645598348093111,-0.28723603999477587
AG,-0.04788691926843869,-0.3436230220928371,0.279346241021035
RR,-0.050362906103922245,0.0,0.0
AO,-0.052825219449987526,-0.2049642576516124,0.3125558498052121
EG,-0.05944488528431935,-0.4669362335444063,0.5209081081081082
RU,-0.061953624252051864,-0.38025627851442045,0.35149086340170976
PR,-0.06321282296313446,0.0,0.0
WR,-0.06863556727825804,0.0,0.0
A,-0.07088853662654371,-0.4002406794061377,0.4577468059644345
EC,-0.07269693842628155,0.0,0.0
FG,-0.07733977204901121,-0.520025960421743,-0.08786230331866274
JD,-0.08005090791764036,-0.36771095701982814,0.5020671309496367
BU,-0.08344596338514698,0.0,0.0
RS,-0.11656144350094,0.0,0.0
SH,-0.11681779921515079,-0.4746057456468492,-0.008964974224055733
SM,-0.1197739249154931,-0.5522389660839139,0.029268516134942857
B,-0.12177256303967432,-0.29130831503683985,0.6444762691541734
OI,-0.1432608723748363,-0.5865547548632475,0.9036795122316144
BB,-0.1510042967866615,0.0,0.0
Y,-0.15926013521007143,-0.5640948439477964,2.13680422788206
P,-0.17403542892253576,-0.12095009578595628,1.034720805469993
NR,-0.1885030587430263,0.0,0.0
AL,-0.21323767889768197,-0.729979066771631,1.4900047470121747
