symbol,informed_total,informed_chg,uninformed_total,uninformed_chg,net_total,net_chg
P,78891.0,2214.0,-39443.0,2957.0,118334.0,-743.0
Y,55659.0,-3581.0,-13820.0,1474.0,69479.0,-5055.0
AU,63138.0,-616.0,-3115.0,-91.0,66253.0,-525.0
AG,51197.0,-1419.0,-1125.0,1524.0,52322.0,-2943.0
SR,54447.0,-575.0,2873.0,619.0,51574.0,-1194.0
AL,24755.0,1380.0,-18059.0,3765.0,42814.0,-2385.0
L,20760.0,-4210.0,-4736.0,1512.0,25496.0,-5722.0
OI,21838.0,6713.0,-646.0,8361.0,22484.0,-1648.0
ZN,19450.0,-2488.0,-2639.0,-2847.0,22089.0,359.0
AO,3379.0,-7149.0,-16043.0,4331.0,19422.0,-11480.0
BU,7473.0,4537.0,-5601.0,162.0,13074.0,4375.0
LU,3952.0,1327.0,-4872.0,-485.0,8824.0,1812.0
FU,7976.0,6923.0,776.0,2281.0,7200.0,4642.0
SN,4750.0,-49.0,-1532.0,111.0,6282.0,-160.0
SH,2627.0,321.0,-1353.0,189.0,3980.0,132.0
PR,2638.0,214.0,-1002.0,-277.0,3640.0,491.0
CU,-1730.0,-5369.0,-4078.0,-320.0,2348.0,-5049.0
PG,2400.0,2221.0,923.0,68.0,1477.0,2153.0
J,1409.0,-267.0,142.0,193.0,1267.0,-460.0
EC,808.0,-21.0,639.0,-28.0,169.0,7.0
RS,0.0,2.0,1.0,-3.0,-1.0,5.0
CY,-637.0,-157.0,6.0,5.0,-643.0,-162.0
SS,817.0,-644.0,1691.0,68.0,-874.0,-712.0
JM,-2594.0,-2305.0,-560.0,911.0,-2034.0,-3216.0
CJ,2348.0,659.0,4807.0,4.0,-2459.0,655.0
BR,-1826.0,1293.0,1011.0,-8.0,-2837.0,1301.0
PF,-1147.0,-3383.0,1823.0,841.0,-2970.0,-4224.0
NI,-4276.0,-428.0,-433.0,-49.0,-3843.0,-379.0
PX,-4045.0,1596.0,1437.0,152.0,-5482.0,1444.0
PB,-4814.0,-2181.0,1211.0,1147.0,-6025.0,-3328.0
EB,-5730.0,-1213.0,1916.0,1534.0,-7646.0,-2747.0
JD,-4784.0,1132.0,5473.0,-2173.0,-10257.0,3305.0
AP,-5423.0,-720.0,5259.0,-104.0,-10682.0,-616.0
NR,-13593.0,1088.0,-2555.0,-359.0,-11038.0,1447.0
LC,-10135.0,-863.0,995.0,-1761.0,-11130.0,898.0
SI,-1683.0,-1095.0,10093.0,134.0,-11776.0,-1229.0
SF,-7686.0,2162.0,4856.0,-226.0,-12542.0,2388.0
CS,-4874.0,-931.0,8381.0,-878.0,-13255.0,-53.0
LH,-5492.0,-1136.0,8421.0,-677.0,-13913.0,-459.0
SP,-5608.0,-3322.0,11321.0,-806.0,-16929.0,-2516.0
B,-14245.0,-722.0,3031.0,374.0,-17276.0,-1096.0
UR,-14155.0,4057.0,5381.0,-6994.0,-19536.0,11051.0
EG,-18974.0,-1758.0,1718.0,901.0,-20692.0,-2659.0
PP,-6808.0,836.0,13886.0,148.0,-20694.0,688.0
RU,-16124.0,-1947.0,4958.0,378.0,-21082.0,-2325.0
I,0.0,-343.0,21124.0,-54.0,-21124.0,-289.0
CF,-6855.0,-4557.0,15320.0,223.0,-22175.0,-4780.0
PK,-22861.0,133.0,591.0,16.0,-23452.0,117.0
A,-29834.0,-2991.0,7218.0,415.0,-37052.0,-3406.0
SM,-33776.0,2483.0,9094.0,-181.0,-42870.0,2664.0
HC,-22760.0,-11364.0,34498.0,-4737.0,-57258.0,-6627.0
RM,-97750.0,-15172.0,15558.0,1776.0,-113308.0,-16948.0
FG,-55421.0,18267.0,64668.0,1378.0,-120089.0,16889.0
MA,-108736.0,-7973.0,36844.0,-432.0,-145580.0,-7541.0
M,-82044.0,7326.0,64592.0,666.0,-146636.0,6660.0
V,-119126.0,5126.0,50102.0,-6063.0,-169228.0,11189.0
TA,-161479.0,8451.0,27019.0,4649.0,-188498.0,3802.0
C,-148640.0,-7022.0,44443.0,-397.0,-193083.0,-6625.0
SA,-142205.0,21140.0,51910.0,-6875.0,-194115.0,28015.0
RB,-161524.0,-47942.0,63861.0,10114.0,-225385.0,-58056.0
