symbol,contract,net_pos_corr,net_pos,net_chg,c_net_pos,c_net_chg,broker
A,A2501,0.7337588856007837,-26576.0,-1571.0,-12941.0,-1549.0,W乾坤期货
A,A2501,0.665165784898126,-30370.0,141.0,-30189.0,121.0,W摩根大通
A,A2501,0.630306269713017,-2331.0,63.0,-2331.0,63.0,W浙商期货
A,A2501,-0.664452202199979,2912.0,272.0,2912.0,272.0,L中粮期货
A,A2501,-0.6711062812863282,8098.0,903.0,8636.0,918.0,L国投安信
A,A2501,-0.7082698296216834,1188.0,-167.0,898.0,-84.0,L中泰期货
A,A2503,-0.7531390041902339,1188.0,-167.0,290.0,-83.0,L中泰期货
A,A2503,-0.7615862479786979,1903.0,-2629.0,141.0,-72.0,W中信期货
A,A2503,-0.8075366076468826,2048.0,213.0,-340.0,38.0,L徽商期货
A,A2503,-0.8592484195204741,-3295.0,88.0,-12.0,66.0,W华泰期货
AG,AG2412,0.6639208939445036,1215.0,-52.0,3579.0,-111.0,W华泰期货
AG,AG2412,0.6101255606000598,3076.0,-24.0,4296.0,-397.0,W浙商期货
AG,AG2412,-0.655592063359622,4371.0,-459.0,4506.0,-390.0,L中信建投
AG,AG2412,-0.7541469961538745,3760.0,-389.0,4299.0,-297.0,L东方财富
AG,AG2504,-0.6135141987553316,227.0,-2.0,227.0,-2.0,L中粮期货
AL,AL2410,-0.7857112938580326,11511.0,-92.0,1280.0,-560.0,L金瑞期货
AL,AL2412,0.8237144858098429,8257.0,-1164.0,8257.0,-1164.0,W乾坤期货
AL,AL2412,0.686937073377631,5918.0,88.0,4653.0,118.0,W大地期货
AL,AL2501,0.7558138031493786,20274.0,1842.0,4542.0,203.0,W海通期货
AL,AL2501,0.6884370003813878,5918.0,88.0,1606.0,0.0,W大地期货
AL,AL2501,-0.7871029911809561,-9611.0,214.0,-1576.0,509.0,L中泰期货
AL,AL2501,-0.8773439289412686,-3748.0,109.0,-1793.0,-18.0,L国投安信
AL,AL2502,-0.7604918132843637,5918.0,88.0,-341.0,-30.0,W大地期货
AO,AO2411,0.6262083232441871,230.0,2313.0,1080.0,1124.0,W东证期货
AO,AO2411,-0.8277347683864963,986.0,137.0,-1550.0,235.0,W浙商期货
AO,AO2412,0.8297278169106275,986.0,137.0,1641.0,-116.0,W浙商期货
AO,AO2412,0.7845175724499306,1819.0,544.0,1262.0,70.0,L中粮期货
AO,AO2412,0.7496810747012738,5437.0,-641.0,432.0,-773.0,W中信期货
AO,AO2412,0.7272746888829258,994.0,365.0,1146.0,179.0,W华泰期货
AO,AO2412,-0.835464340231424,-5805.0,185.0,-2646.0,-137.0,L国投安信
AO,AO2412,-0.8755222912524516,-3953.0,912.0,-1827.0,-341.0,L方正中期
AO,AO2412,-0.9253934281217584,-1729.0,20.0,-1435.0,54.0,L中信建投
AO,AO2501,0.9186089100744328,5437.0,-641.0,5302.0,-463.0,W中信期货
AO,AO2501,0.8501828825507842,1353.0,184.0,1353.0,184.0,L金瑞期货
AO,AO2501,0.7570541165506652,3781.0,465.0,1691.0,420.0,W海通期货
AO,AO2501,0.6700052330684503,3155.0,1051.0,1088.0,859.0,L南华期货
AO,AO2501,-0.6870288526220046,1819.0,544.0,497.0,579.0,L中粮期货
AO,AO2501,-0.703271951409826,2.0,-195.0,-1934.0,-1038.0,L中泰期货
AO,AO2501,-0.7851825366731008,-3953.0,912.0,-1288.0,418.0,L方正中期
AO,AO2501,-0.8159733702777784,230.0,2313.0,-209.0,1190.0,W东证期货
AO,AO2501,-0.8985077011765741,-6603.0,-1520.0,-2683.0,-540.0,L东方财富
AU,AU2412,0.8208530778609435,20203.0,742.0,12494.0,-585.0,W东证期货
AU,AU2412,0.7810782578447022,9531.0,-3308.0,7333.0,-631.0,W国泰君安
AU,AU2412,0.7710239067083244,1734.0,170.0,1536.0,206.0,L国投安信
AU,AU2412,0.7578652556885725,17989.0,1860.0,12559.0,43.0,W中信期货
AU,AU2412,0.7452526183404977,-140.0,-101.0,2966.0,-121.0,L中信建投
AU,AU2412,0.7025785607396196,1622.0,116.0,3930.0,65.0,L南华期货
AU,AU2412,0.6944647345685653,3646.0,55.0,3646.0,55.0,W乾坤期货
AU,AU2412,0.6833025977490853,19633.0,101.0,9403.0,63.0,W海通期货
AU,AU2412,-0.7824954912491486,-491.0,-452.0,-1159.0,-385.0,L平安期货
