,future_mkt_val_chg,call_mkt_val_chg,put_mkt_val_chg
RS,0.43008256195526173,0.0,0.0
LC,0.2936458158307207,0.9218421960469667,-0.37884845129993316
CY,0.27927117096250864,0.0,0.0
CS,0.21705316118321138,-0.13135913000679678,0.42321399964515116
BR,0.20666393609440514,-0.38967864000350183,1.4205975915414246
B,0.19356862042909717,-0.20139301092610729,0.6720570541432176
L,0.15470506469531897,0.0647547113462259,-0.4325169674216863
PF,0.12036599665244596,0.3867694797592578,-0.29393452123511965
SR,0.10137461096849676,0.5811608161065955,-0.27987593753032003
AP,0.10054118933439371,0.16678512902869347,-0.5624666179098053
PB,0.09935623873788724,0.23949871025441194,-0.1655986746599074
SF,0.09353353871356163,-0.23579298540381022,0.2863232512193472
C,0.0933407733688627,-0.16876648663210425,0.6097021015745638
SC,0.08171328775957787,-0.39966795603563077,0.06958722419930519
PX,0.0809003683496814,-0.24333827740126968,0.7862857052002803
SS,0.06980350357554799,0.0,0.0
AL,0.05811612688522261,-0.17084970278412293,0.4959855092511243
PK,0.056399185388438466,0.03640410916622172,-0.4395471985381859
LU,0.048072163183779715,0.0,0.0
SH,0.04685166200698565,0.1640847962762093,-0.2409299634812163
UR,0.039654761312097886,-0.33995104953756294,0.1815173693433667
V,0.038159592627567074,-0.21429385820863578,-0.027264435455299996
RB,0.03662591198744569,-0.26116102619563863,0.15291806505531347
JD,0.03593327412032221,0.05626687620312154,-0.11096358458830602
CJ,0.03568253754640427,-0.3782446982815263,0.08903665141672268
AO,0.03554679762445767,0.07068209680597204,0.1437832651009967
P,0.032549149916818454,0.30558606558914336,0.6925346518805304
LH,0.032198251594217187,0.17041966672783726,-0.18443166348689033
I,0.028795894814498624,-0.25778487551741136,0.1526609192193893
RM,0.02495369574250872,0.11366196696298836,-0.29409887309787763
BU,0.02331963864674802,0.0,0.0
CF,0.02185751927705737,-0.0344681094573458,-0.2719686369125236
BC,0.020240951038109634,0.0,0.0
OI,0.02004461076109454,0.13355848686059724,0.05585802692614639
EC,0.0168881668511216,0.0,0.0
PP,0.016394942372748522,-0.16883342134965262,-0.11460928157267791
SM,0.0038117640954720144,-0.4188285551220694,-0.15971153048336395
RU,0.0024950901339115816,-0.2133837074212579,0.18545400993236694
A,0.000890877962984371,-0.19991444789325774,-0.10518015306098427
RR,0.00034155102792343683,0.0,0.0
RI,0.0,0.0,0.0
LR,0.0,0.0,0.0
JR,0.0,0.0,0.0
ZC,0.0,0.0,0.0
PM,0.0,0.0,0.0
SI,-0.0058485779886047196,0.19223241117876633,-0.16810994324552586
MA,-0.007171441536339307,-0.31090262885257747,-0.12299834719495917
HC,-0.0076484549726011375,0.0,0.0
SN,-0.008649884624226223,-0.35244181742469805,0.26160461005198754
EB,-0.013765346968341086,-0.022789294776655367,-0.09320001708231851
M,-0.014561937296244443,0.042084435066695125,-0.3173215330470728
ZN,-0.016093562381610305,-0.20884164636394598,0.014863534914237642
TA,-0.018474037946363042,-0.08046234802736452,-0.1481282865635436
SA,-0.01879744117205595,-0.20556575679887323,-0.09809491281354299
FG,-0.023207496812011397,-0.4536826769829363,0.174532838647121
SP,-0.026640160512723998,0.0,0.0
JM,-0.030047562838837027,0.0,0.0
AU,-0.03432946689135086,-0.39487235904729,0.15215965882975824
J,-0.03531035989616649,0.0,0.0
EG,-0.04267798505324849,-0.1183199250872149,0.0400841461082424
FU,-0.046559842573701604,0.0,0.0
NR,-0.053124852248185306,0.0,0.0
FB,-0.05376574228682374,0.0,0.0
WR,-0.0608936911386162,0.0,0.0
PR,-0.06104404646314043,0.0,0.0
Y,-0.061942300983009346,-0.052177798347591176,0.828977367858859
AG,-0.06876828339141894,-0.35622825288604343,-0.0038892992799884896
PG,-0.0797613789526771,0.47072399829092726,-0.6447616607405782
NI,-0.09081193096319273,-0.05450083284152463,-0.25363730075678836
CU,-0.09742204720813163,-0.4092711518855866,0.350803175519967
BB,-0.12215129720875995,0.0,0.0
