symbol,informed_total,informed_chg,uninformed_total,uninformed_chg,net_total,net_chg
L,93517.0,-11152.0,-24182.0,-3338.0,117699.0,-7814.0
BU,63953.0,23.0,-35108.0,1517.0,99061.0,-1494.0
P,76893.0,-2680.0,-13007.0,1828.0,89900.0,-4508.0
Y,69401.0,-3839.0,-13316.0,-523.0,82717.0,-3316.0
SR,94805.0,-6658.0,12437.0,-48.0,82368.0,-6610.0
AG,55207.0,4079.0,-4976.0,-329.0,60183.0,4408.0
I,70351.0,3433.0,12815.0,-637.0,57536.0,4070.0
AL,39780.0,-5708.0,-13086.0,1807.0,52866.0,-7515.0
ZN,52150.0,2120.0,1577.0,-1049.0,50573.0,3169.0
AO,20986.0,-9126.0,-24616.0,5378.0,45602.0,-14504.0
AU,43079.0,-987.0,1918.0,356.0,41161.0,-1343.0
HC,38378.0,-5231.0,16639.0,957.0,21739.0,-6188.0
CF,35296.0,478.0,15887.0,-486.0,19409.0,964.0
MA,4030.0,-3701.0,-4622.0,1282.0,8652.0,-4983.0
PB,6122.0,661.0,-2479.0,-928.0,8601.0,1589.0
JD,3494.0,-2225.0,-489.0,-490.0,3983.0,-1735.0
CU,-1726.0,2708.0,-5220.0,-733.0,3494.0,3441.0
SN,3001.0,-597.0,-324.0,509.0,3325.0,-1106.0
EC,2294.0,149.0,-176.0,-123.0,2470.0,272.0
PR,1438.0,4.0,0.0,0.0,1438.0,4.0
CY,-247.0,24.0,-499.0,-8.0,252.0,32.0
RS,0.0,0.0,-26.0,0.0,26.0,0.0
NI,-307.0,-102.0,1503.0,134.0,-1810.0,-236.0
AP,-3553.0,-1954.0,35.0,-742.0,-3588.0,-1212.0
J,-2793.0,-88.0,799.0,35.0,-3592.0,-123.0
SH,-2937.0,556.0,794.0,-594.0,-3731.0,1150.0
FU,2863.0,10229.0,6872.0,-846.0,-4009.0,11075.0
PF,-1558.0,-197.0,3244.0,1962.0,-4802.0,-2159.0
PG,-1730.0,-2045.0,3378.0,982.0,-5108.0,-3027.0
NR,-13934.0,-3575.0,-8194.0,-1493.0,-5740.0,-2082.0
PX,-8023.0,3181.0,-252.0,160.0,-7771.0,3021.0
LH,-1854.0,-31.0,6233.0,479.0,-8087.0,-510.0
SF,-5033.0,-553.0,4853.0,-841.0,-9886.0,288.0
LU,-11759.0,-3957.0,-876.0,1212.0,-10883.0,-5169.0
BR,-10011.0,700.0,1534.0,258.0,-11545.0,442.0
SP,-5989.0,3262.0,6405.0,-2213.0,-12394.0,5475.0
RU,-11019.0,4767.0,3891.0,-1967.0,-14910.0,6734.0
EG,-12306.0,903.0,3226.0,91.0,-15532.0,812.0
CJ,-3322.0,-2629.0,12466.0,932.0,-15788.0,-3561.0
EB,-4082.0,-993.0,12636.0,819.0,-16718.0,-1812.0
SI,-7377.0,-3506.0,12710.0,-2057.0,-20087.0,-1449.0
PP,-2895.0,-8097.0,17641.0,1756.0,-20536.0,-9853.0
PK,-18452.0,-2682.0,4198.0,1387.0,-22650.0,-4069.0
B,-15231.0,2828.0,8546.0,817.0,-23777.0,2011.0
LC,-47899.0,151.0,-20449.0,-1195.0,-27450.0,1346.0
JM,-13278.0,2436.0,16065.0,-1220.0,-29343.0,3656.0
CS,-8580.0,1513.0,21807.0,-2481.0,-30387.0,3994.0
SS,-23825.0,-143.0,13069.0,-609.0,-36894.0,466.0
UR,-32625.0,-5697.0,4303.0,1294.0,-36928.0,-6991.0
OI,-28261.0,3268.0,19508.0,1903.0,-47769.0,1365.0
SM,-41299.0,918.0,8063.0,-132.0,-49362.0,1050.0
A,-40070.0,6570.0,16113.0,-1542.0,-56183.0,8112.0
FG,-86031.0,-2411.0,96761.0,-5323.0,-182792.0,2912.0
M,-111610.0,-4762.0,98752.0,-6073.0,-210362.0,1311.0
C,-163139.0,-582.0,63398.0,-4313.0,-226537.0,3731.0
SA,-158918.0,7227.0,76579.0,-15945.0,-235497.0,23172.0
V,-208740.0,-11021.0,48335.0,990.0,-257075.0,-12011.0
RM,-202301.0,-13708.0,69043.0,-1898.0,-271344.0,-11810.0
RB,-150822.0,-37987.0,138616.0,2172.0,-289438.0,-40159.0
TA,-261194.0,-2520.0,41812.0,1447.0,-303006.0,-3967.0
