symbol,contract,net_pos_corr,net_pos,net_chg,c_net_pos,c_net_chg,broker
A,A2501,0.7616329879800705,-38013.0,2791.0,-8590.0,2815.0,W乾坤期货
A,A2501,-0.7828034514003527,7923.0,43.0,6782.0,-62.0,L中信建投
A,A2501,-0.8722952658351599,14397.0,-349.0,12223.0,-401.0,W银河期货
A,A2503,-0.7680757888601909,2734.0,2477.0,3787.0,1.0,W海通期货
A,A2503,-0.8333085925599188,7923.0,43.0,1141.0,105.0,L中信建投
A,A2505,0.7356384402095977,-38013.0,2791.0,-15482.0,-30.0,W乾坤期货
A,A2505,0.6658564435283019,-34630.0,-470.0,-10962.0,-1905.0,W摩根大通
A,A2505,-0.6093430592404432,3652.0,46.0,1978.0,152.0,L中粮期货
A,A2505,-0.6155010984952803,14397.0,-349.0,1546.0,33.0,W银河期货
A,A2505,-0.7160938218507322,6305.0,-1743.0,1688.0,-61.0,W永安期货
A,A2505,-0.7244057179675947,1281.0,-54.0,3628.0,-248.0,W国泰君安
A,A2505,-0.7554573930064367,4381.0,-1161.0,2158.0,-856.0,L徽商期货
A,A2505,-0.7887105158019481,1592.0,69.0,1774.0,70.0,L广发期货
AG,AG2412,0.6843056988303886,-278.0,64.0,-278.0,64.0,L徽商期货
AG,AG2412,0.6410243692574303,1517.0,650.0,1322.0,-4.0,W华泰期货
AG,AG2412,-0.7037385058382705,-3822.0,-117.0,156.0,-22.0,L东方财富
AG,AG2502,0.7662500084904508,4566.0,-1620.0,4566.0,-1620.0,W乾坤期货
AL,AL2501,0.7711378764983235,14429.0,-1468.0,2458.0,-995.0,W海通期货
AL,AL2501,-0.6497301395403838,-9790.0,1029.0,-2536.0,828.0,L中泰期货
AL,AL2501,-0.6766887924563942,-14652.0,1345.0,-4179.0,1797.0,W银河期货
AL,AL2503,0.7742192416554798,-315.0,-2664.0,-1796.0,-802.0,W永安期货
AL,AL2503,-0.6165169712862639,21176.0,-1836.0,8197.0,2225.0,W中信期货
AO,AO2501,0.6369853043833169,4203.0,-812.0,2580.0,-1140.0,L南华期货
AO,AO2501,0.6142385946714144,12299.0,-4867.0,7782.0,-2772.0,W国泰君安
AO,AO2501,-0.7223372877075943,-5065.0,-410.0,-3965.0,575.0,L徽商期货
AO,AO2501,-0.7764185390074433,-12086.0,2291.0,-7379.0,1459.0,L东方财富
AO,AO2501,-0.8411500760662302,-3274.0,1104.0,-3274.0,1104.0,L平安期货
AO,AO2502,-0.6785804406450464,4477.0,-3086.0,214.0,-1104.0,W海通期货
AO,AO2505,-0.6457308330494356,-1219.0,4096.0,-1694.0,346.0,L方正中期
AP,AP2412,0.8858513103438612,2390.0,330.0,10.0,0.0,L中粮期货
AP,AP2412,0.8488704187180871,-2487.0,-529.0,0.0,-7.0,L中泰期货
AP,AP2501,0.6849822356355804,1076.0,145.0,581.0,-43.0,W华泰期货
AP,AP2501,0.6292174004770817,939.0,-87.0,-187.0,-8.0,W银河期货
AP,AP2501,-0.6007047121776962,-446.0,-64.0,-900.0,-54.0,L徽商期货
AP,AP2501,-0.6067649654484994,-2487.0,-529.0,-1537.0,-12.0,L中泰期货
AP,AP2505,0.7275888634139316,2479.0,13.0,1678.0,277.0,L中信建投
AP,AP2505,0.7223815682773487,939.0,-87.0,1284.0,-81.0,W银河期货
AP,AP2505,-0.6319891136318366,,,-917.0,9.0,L国富期货
AU,AU2412,-0.6611189783796488,30.0,0.0,30.0,0.0,W兴证期货
AU,AU2502,0.6568224444169274,7787.0,500.0,3243.0,457.0,W银河期货
AU,AU2504,0.6155996981977185,3320.0,366.0,431.0,390.0,W华泰期货
B,B2501,0.9044670385901148,-891.0,-188.0,-3910.0,-21.0,W中信期货
B,B2501,0.8709404831170591,-1444.0,38.0,-1444.0,38.0,W海通期货
B,B2501,0.8128613888889968,-219.0,151.0,-1249.0,149.0,L方正中期
B,B2501,0.7819408981329039,-13499.0,2197.0,-9249.0,2197.0,W乾坤期货
B,B2501,0.7654196536658416,-1615.0,51.0,-1615.0,51.0,W中金财富
B,B2501,0.6603157374530125,-26150.0,-256.0,-21111.0,-256.0,W摩根大通
B,B2501,-0.6276208749117878,1778.0,395.0,1703.0,154.0,L广发期货
B,B2501,-0.6361218347227052,2218.0,730.0,5112.0,398.0,W国泰君安
B,B2501,-0.6632671419723951,3616.0,-855.0,1570.0,-481.0,W华泰期货
B,B2501,-0.6685064281023827,2522.0,369.0,2522.0,369.0,L国富期货
B,B2501,-0.7524917423146646,1486.0,80.0,1270.0,81.0,L徽商期货
B,B2501,-0.9071785668173767,4788.0,-110.0,4057.0,-158.0,L中信建投
B,B2505,0.8975375679242992,-13499.0,2197.0,-4250.0,0.0,W乾坤期货
B,B2505,0.6435457088296546,-26150.0,-256.0,-5039.0,0.0,W摩根大通
B,B2505,-0.6222761175374363,1486.0,80.0,216.0,-1.0,L徽商期货
B,B2505,-0.801556440864549,661.0,19.0,661.0,19.0,L东方财富
BR,BR2501,0.8319872717634024,-2313.0,428.0,-472.0,-9.0,W永安期货
BR,BR2501,0.8156360135807059,-2091.0,-74.0,-640.0,14.0,W银河期货
BR,BR2501,-0.6067404867901041,190.0,236.0,9.0,30.0,W华泰期货
BR,BR2501,-0.8814526217087387,769.0,130.0,432.0,10.0,L方正中期
BR,BR2502,0.7731563096702608,190.0,236.0,161.0,206.0,W华泰期货
BR,BR2502,0.7406197695076546,769.0,130.0,337.0,120.0,L方正中期
BR,BR2502,0.7375905628074342,2327.0,-257.0,1670.0,-162.0,L中粮期货
BR,BR2502,-0.7066159931928861,189.0,259.0,117.0,282.0,L中泰期货
BR,BR2502,-0.7469259683600289,-2091.0,-74.0,-1355.0,-100.0,W银河期货
BR,BR2502,-0.7659356695095174,-8401.0,1328.0,-3549.0,1319.0,W国泰君安
C,C2501,0.7839642013377148,-22505.0,-295.0,-14632.0,2660.0,W中金财富
C,C2501,0.6835075277968314,-13151.0,-1074.0,-13721.0,-1103.0,W兴证期货
C,C2501,0.6800473694080102,3237.0,6249.0,-4416.0,2951.0,W海通期货
C,C2501,-0.724329054740775,19380.0,-961.0,19380.0,-961.0,L东方财富
C,C2503,0.6548284909114411,-1778.0,135.0,-15028.0,78.0,L中粮期货
C,C2503,-0.6223224405732186,42207.0,-2050.0,7050.0,-332.0,L中信建投
C,C2505,0.8093715223869873,3237.0,6249.0,9020.0,3346.0,W海通期货
C,C2505,0.6117139547482427,-51285.0,-862.0,-26708.0,-8480.0,W中信期货
C,C2505,0.604973225096144,-50821.0,2417.0,-11474.0,-701.0,W华泰期货
C,C2505,-0.6379325709437632,42207.0,-2050.0,4848.0,-719.0,L中信建投
C,C2507,0.7885934165196893,3237.0,6249.0,-2122.0,-40.0,W海通期货
C,C2507,-0.6196005925964385,4597.0,-893.0,6820.0,23.0,L中泰期货
C,C2509,0.9159622679406834,-92586.0,-5674.0,-12050.0,-1603.0,W国泰君安
C,C2509,0.8890320406654465,-51285.0,-862.0,-4230.0,317.0,W中信期货
C,C2509,-0.8248097222669274,9220.0,-543.0,1335.0,138.0,L平安期货
C,C2509,-0.8883706869676153,785.0,-107.0,785.0,-107.0,L徽商期货
CF,CF2503,0.6035487569944252,-42555.0,-1676.0,-3841.0,-2850.0,W银河期货
CF,CF2503,-0.7014321920319573,1811.0,129.0,157.0,11.0,L方正中期
CF,CF2503,-0.7648954351054382,10327.0,-143.0,570.0,19.0,L广发期货
CF,CF2509,0.695149270997809,17970.0,-1351.0,-3350.0,-1230.0,W国泰君安
CF,CF2509,0.6946578022632229,-42555.0,-1676.0,-3525.0,-62.0,W银河期货
CF,CF2509,-0.6573686724721363,-997.0,-363.0,2824.0,262.0,W永安期货
CJ,CJ2505,-0.7412725207386219,3309.0,149.0,1704.0,153.0,L东方财富
CS,CS2501,0.8228986402857041,-6480.0,488.0,-4508.0,885.0,W中金财富
CS,CS2501,0.7063774770544644,-2394.0,203.0,-2266.0,215.0,L方正中期
CS,CS2501,0.6184867979872986,1968.0,1145.0,1440.0,915.0,W华泰期货
CS,CS2501,-0.7120249645508603,4800.0,-141.0,3770.0,-148.0,L东方财富
CS,CS2501,-0.7271467732082686,1881.0,-1095.0,4962.0,-150.0,L中泰期货
CS,CS2503,0.8676016452661104,-6480.0,488.0,-1972.0,-397.0,W中金财富
CS,CS2503,-0.6647291609809641,6081.0,102.0,1092.0,0.0,L广发期货
CS,CS2503,-0.7460649342543713,3637.0,-115.0,6973.0,170.0,W国泰君安
CS,CS2503,-0.8267018152213591,4800.0,-141.0,1030.0,7.0,L东方财富
CS,CS2503,-0.8330594571251643,5175.0,-526.0,1486.0,-44.0,L中信建投
CS,CS2505,0.9337138810019328,-2394.0,203.0,-128.0,-12.0,L方正中期
CS,CS2505,0.918324243751562,3637.0,-115.0,-9186.0,-1679.0,W国泰君安
CS,CS2505,0.6010320862848794,-23363.0,-534.0,-9245.0,-30.0,W银河期货
CS,CS2505,-0.7351796019461749,4554.0,-1138.0,2268.0,-308.0,L中粮期货
CS,CS2505,-0.75847349103664,5175.0,-526.0,1960.0,22.0,L中信建投
CS,CS2505,-0.8353111098745541,3870.0,-821.0,1459.0,-168.0,L徽商期货
CS,CS2505,-0.916703004743643,6081.0,102.0,2140.0,397.0,L广发期货
CS,CS2507,0.9515383224285842,-23363.0,-534.0,-4213.0,20.0,W银河期货
CS,CS2507,0.7215188330879633,-3933.0,16.0,-815.0,0.0,W兴证期货
CS,CS2507,-0.8390801481577536,-2367.0,296.0,329.0,-119.0,W永安期货
CS,CS2507,-0.8991514236068453,805.0,26.0,805.0,26.0,W海通期货
CU,CU2502,0.9888184039039679,1780.0,343.0,1665.0,-37.0,W海通期货
CU,CU2504,0.7626268209412244,13792.0,442.0,1912.0,32.0,W银河期货
CU,CU2504,-0.628119755344801,1378.0,3.0,-894.0,0.0,W永安期货
EB,EB2502,-0.6327196277758708,-2768.0,-1269.0,-2524.0,-1636.0,W银河期货
EB,EB2503,-0.8587211004431486,4242.0,434.0,-50.0,33.0,L中信建投
EG,EG2501,0.7159253134155656,6829.0,842.0,4632.0,559.0,W中金财富
EG,EG2501,0.6865165389913019,7167.0,648.0,5092.0,439.0,W海通期货
EG,EG2505,0.6060253617462272,7167.0,648.0,2075.0,209.0,W海通期货
FG,FG2501,0.7617717493029182,-59534.0,1402.0,-53700.0,2651.0,W国泰君安
FG,FG2501,0.6075636017298761,-2799.0,-547.0,-7279.0,-512.0,W华泰期货
FG,FG2501,0.6052462742488255,-4907.0,-6071.0,-11762.0,-4783.0,W中信期货
FG,FG2505,0.7576477423105306,-59534.0,1402.0,-12017.0,-500.0,W国泰君安
FG,FG2509,-0.742142199464106,,,1861.0,5.0,L中粮期货
FG,FG2509,-0.7738505262974695,-4907.0,-6071.0,4408.0,-294.0,W中信期货
