,future_mkt_val_chg,call_mkt_val_chg,put_mkt_val_chg
L,0.25493179337957406,0.9890977417902151,0.18775651190310128
SN,0.19264487762804916,-0.5450049807676502,1.912477945431705
SS,0.1393059956728364,0.0,0.0
PX,0.10006763668660068,-0.41297564669144393,-0.3041044116290508
SP,0.09011930901037046,0.0,0.0
BR,0.08475215211742393,-0.054640569976795894,0.6240724122569872
NI,0.08460650476698528,-0.49361774245187684,0.6370162871547549
BC,0.07735149595722568,0.0,0.0
FB,0.06941838546046086,0.0,0.0
PR,0.06172083813839513,0.0,0.0
CS,0.05795075887700207,-0.13027696220029172,-0.02968794382732165
SF,0.04681932109059139,-0.44543115209343254,-0.3375766085589643
CY,0.04223007456539718,0.0,0.0
MA,0.03779418643231036,-0.17888822370941904,0.04039251282763612
C,0.034739495832074585,-0.2448742664678627,0.014452042945241494
PB,0.03202670253363005,-0.15509384986021657,0.4549062836650477
SC,0.028669996898158523,-0.3519266273001118,-0.0293135520111365
EG,0.023867421072346184,-0.2808471659287375,0.10610472722101649
LH,0.020386410816858103,-0.3869906668837617,0.13741876313848467
JM,0.018242773593666772,0.0,0.0
LC,0.016304312603786064,-0.3710215452987383,0.9562677129863262
RM,0.013599008412081393,-0.45753975692412274,0.5997347444976511
J,0.007281582479890858,0.0,0.0
CU,0.005282544867768468,-0.29369071592730767,0.41369850953989795
PK,0.004838232199752657,-0.6925267148099259,1.2778994134072166
PF,0.0002503941453790848,-0.3594780936267713,-0.09441808535518115
TA,0.00023250191929680142,-0.5205633516424362,0.4389456831278573
PM,0.0,0.0,0.0
JR,0.0,0.0,0.0
ZC,0.0,0.0,0.0
LR,0.0,0.0,0.0
RI,0.0,0.0,0.0
ZN,-0.0026101488398355688,-0.16595782501671308,0.3963806905699945
RB,-0.005334145027564685,-0.4707963825677516,0.3440816511920901
FU,-0.007650229778546014,0.0,0.0
PP,-0.008716380618371322,0.018472163286916032,0.08349109778529606
SI,-0.009332171203248585,0.03380507842936065,0.06766988613931946
EC,-0.009622193549043034,0.0,0.0
I,-0.013556753723747095,-0.3655197605470978,0.37221372435507893
HC,-0.017469825127670813,0.0,0.0
AP,-0.01815402376322528,-0.3149159388295042,-0.309686180407576
UR,-0.02022563471030403,-0.4362260062565859,-0.35732169961179694
SR,-0.020308675091735173,-0.501003915901846,0.25806507855913474
M,-0.023624433164476044,-0.5275103716559962,0.7414419277000517
EB,-0.02993196073536253,0.05362342277607346,0.15289576806766814
AU,-0.03270690339085314,-0.39415311134313813,0.6245299370768227
PG,-0.03289234836840538,0.18175747116098928,0.09202151191727026
CF,-0.03692877937281269,-0.3212746302619368,0.43682336544884404
WR,-0.044406422155736314,0.0,0.0
V,-0.044570575460281314,-0.3496967213340002,0.057054214593166064
RR,-0.04694712457515715,0.0,0.0
A,-0.05306905491220859,-0.514251417828624,1.5400953250561003
FG,-0.05535307184638394,-0.5332488018030563,-0.0069612565424369555
RU,-0.05588678467787134,-0.358537508468306,0.27602615530248653
AG,-0.06048178870237453,-0.3147432805683543,0.2654095260353595
SA,-0.06056991495072106,-0.17476963253917788,-0.21285013926902352
BB,-0.06358984437003501,0.0,0.0
CJ,-0.06694225415266153,-0.5916110125630019,0.5707524013761331
JD,-0.07048655566799955,-0.41757236091358285,0.4462761411426279
LU,-0.07328311471046656,0.0,0.0
SM,-0.07894970487122499,-0.5070128394715996,0.02510234999325167
SH,-0.08046787098587826,-0.23985230929010715,-0.4429923200983772
AO,-0.08632063066384588,-0.17669480950092065,-0.18814001956940918
P,-0.10678664660088566,-0.10737192636212767,0.4579816665683387
BU,-0.11547192691993857,0.0,0.0
RS,-0.12489416534308972,0.0,0.0
OI,-0.15424854554163814,-0.6562188705914027,0.78730775162779
Y,-0.16206481614554913,-0.5899310685994663,1.6089742673111678
AL,-0.17007412882513673,-0.47762143003714763,0.7184791762748888
B,-0.17818224159871077,-0.46026641664738754,2.5475107989539807
NR,-0.18931354290769797,0.0,0.0
