symbol,informed_total,informed_chg,uninformed_total,uninformed_chg,net_total,net_chg
Y,27235.0,-8459.0,-152730.0,-2242.0,179965.0,-6217.0
L,81454.0,15831.0,-28497.0,-2544.0,109951.0,18375.0
P,72066.0,-5796.0,-26210.0,-3273.0,98276.0,-2523.0
SR,21616.0,3445.0,-40045.0,-3923.0,61661.0,7368.0
AO,26607.0,-1022.0,-20206.0,-4312.0,46813.0,3290.0
BU,28488.0,401.0,-10301.0,-118.0,38789.0,519.0
HC,21456.0,10756.0,-11874.0,604.0,33330.0,10152.0
M,-72442.0,-17693.0,-101105.0,-762.0,28663.0,-16931.0
ZN,20503.0,3378.0,-7017.0,-1516.0,27520.0,4894.0
MA,-1658.0,7203.0,-19985.0,132.0,18327.0,7071.0
AU,15069.0,956.0,-905.0,208.0,15974.0,748.0
CU,12991.0,2796.0,-2463.0,1154.0,15454.0,1642.0
AL,3591.0,4080.0,-6335.0,-663.0,9926.0,4743.0
SH,361.0,4301.0,-4491.0,-1613.0,4852.0,5914.0
LC,2688.0,292.0,-1683.0,-1286.0,4371.0,1578.0
EB,-3039.0,-2135.0,-7209.0,-4.0,4170.0,-2131.0
AG,6662.0,-5264.0,2579.0,930.0,4083.0,-6194.0
PR,3527.0,-336.0,0.0,0.0,3527.0,-336.0
OI,-7008.0,-358.0,-9789.0,2131.0,2781.0,-2489.0
PB,-1712.0,470.0,-4319.0,-806.0,2607.0,1276.0
EC,436.0,36.0,-1482.0,214.0,1918.0,-178.0
FU,-1063.0,2551.0,-1756.0,-2606.0,693.0,5157.0
RS,1.0,0.0,-3.0,-1.0,4.0,1.0
CY,-626.0,-17.0,244.0,4.0,-870.0,-21.0
J,-1146.0,-447.0,-109.0,66.0,-1037.0,-513.0
PX,-5705.0,1726.0,-4487.0,-1737.0,-1218.0,3463.0
LU,2009.0,775.0,3868.0,1232.0,-1859.0,-457.0
LH,-2258.0,758.0,-151.0,-387.0,-2107.0,1145.0
AP,-1925.0,1325.0,696.0,172.0,-2621.0,1153.0
PF,-6148.0,789.0,-3097.0,-2167.0,-3051.0,2956.0
PG,-322.0,980.0,2838.0,-1001.0,-3160.0,1981.0
JD,-3044.0,-691.0,1824.0,245.0,-4868.0,-936.0
NR,-7459.0,1947.0,-2495.0,-346.0,-4964.0,2293.0
SN,-2499.0,-112.0,3315.0,-91.0,-5814.0,-21.0
BR,-6440.0,432.0,490.0,-28.0,-6930.0,460.0
SI,-3812.0,2375.0,4083.0,-1238.0,-7895.0,3613.0
SP,-20003.0,-3836.0,-10340.0,1716.0,-9663.0,-5552.0
SS,-2986.0,-1998.0,6987.0,-230.0,-9973.0,-1768.0
UR,-21542.0,1793.0,-10517.0,286.0,-11025.0,1507.0
NI,-12674.0,1562.0,-798.0,-209.0,-11876.0,1771.0
I,4397.0,3348.0,18425.0,-304.0,-14028.0,3652.0
CJ,-6308.0,-325.0,8197.0,-238.0,-14505.0,-87.0
EG,-14178.0,2969.0,1042.0,-187.0,-15220.0,3156.0
JM,-15347.0,-2148.0,882.0,748.0,-16229.0,-2896.0
SF,-10356.0,928.0,6462.0,-531.0,-16818.0,1459.0
B,-10580.0,-1142.0,11532.0,324.0,-22112.0,-1466.0
PP,-3392.0,6275.0,18858.0,-999.0,-22250.0,7274.0
RU,-18655.0,2589.0,3820.0,-1080.0,-22475.0,3669.0
CF,-25520.0,-1732.0,2292.0,-1774.0,-27812.0,42.0
PK,-25081.0,1114.0,6859.0,273.0,-31940.0,841.0
CS,-19373.0,-2024.0,18223.0,1595.0,-37596.0,-3619.0
A,-26349.0,237.0,12400.0,-1851.0,-38749.0,2088.0
SM,-42251.0,-1506.0,-243.0,423.0,-42008.0,-1929.0
FG,-82797.0,-4078.0,9810.0,993.0,-92607.0,-5071.0
SA,-143309.0,-4304.0,-17068.0,7932.0,-126241.0,-12236.0
RB,-143618.0,-9508.0,20332.0,-2532.0,-163950.0,-6976.0
RM,-132276.0,-11107.0,59945.0,7493.0,-192221.0,-18600.0
TA,-159048.0,471.0,65989.0,1193.0,-225037.0,-722.0
C,-126840.0,-13153.0,102706.0,11983.0,-229546.0,-25136.0
V,-195030.0,-8761.0,57800.0,673.0,-252830.0,-9434.0
