symbol,informed_total,informed_chg,uninformed_total,uninformed_chg,net_total,net_chg
P,115488.0,-2028.0,-74309.0,-2996.0,189797.0,968.0
Y,83060.0,-5727.0,-50009.0,-2672.0,133069.0,-3055.0
AL,49617.0,-1664.0,-25595.0,-628.0,75212.0,-1036.0
L,42977.0,2009.0,-16680.0,-457.0,59657.0,2466.0
AO,31788.0,1201.0,-22545.0,-515.0,54333.0,1716.0
BU,28652.0,-210.0,-15548.0,-339.0,44200.0,129.0
SR,47116.0,-1631.0,3283.0,-1021.0,43833.0,-610.0
AU,36396.0,1291.0,-5586.0,-432.0,41982.0,1723.0
AG,29135.0,13044.0,6743.0,-3924.0,22392.0,16968.0
LU,17658.0,1467.0,-3456.0,1080.0,21114.0,387.0
JD,12285.0,4135.0,-3798.0,-1927.0,16083.0,6062.0
ZN,17700.0,-3161.0,1830.0,1197.0,15870.0,-4358.0
OI,26078.0,11559.0,10586.0,-1647.0,15492.0,13206.0
FU,11140.0,-4168.0,-1107.0,2640.0,12247.0,-6808.0
SS,8370.0,1162.0,301.0,-1754.0,8069.0,2916.0
LC,-3844.0,831.0,-10859.0,845.0,7015.0,-14.0
SH,1811.0,-1505.0,-3690.0,-1.0,5501.0,-1504.0
SN,3747.0,-146.0,-1735.0,-443.0,5482.0,297.0
CU,12008.0,5002.0,7568.0,-564.0,4440.0,5566.0
PR,3099.0,-332.0,-101.0,225.0,3200.0,-557.0
PB,2458.0,-414.0,349.0,-378.0,2109.0,-36.0
NR,-4295.0,919.0,-4816.0,1536.0,521.0,-617.0
J,1118.0,368.0,603.0,-98.0,515.0,466.0
EB,3271.0,-6191.0,3080.0,-264.0,191.0,-5927.0
RS,8.0,10.0,-28.0,-3.0,36.0,13.0
CY,-389.0,16.0,-4.0,-188.0,-385.0,204.0
EC,-138.0,-316.0,611.0,307.0,-749.0,-623.0
B,714.0,1214.0,1907.0,2290.0,-1193.0,-1076.0
PG,2042.0,1417.0,5281.0,282.0,-3239.0,1135.0
LH,-1549.0,-324.0,2641.0,602.0,-4190.0,-926.0
PF,-4738.0,1720.0,368.0,-109.0,-5106.0,1829.0
CF,25126.0,4229.0,30897.0,795.0,-5771.0,3434.0
RU,-4260.0,128.0,1668.0,-2131.0,-5928.0,2259.0
PX,-6234.0,-783.0,-193.0,-285.0,-6041.0,-498.0
JM,399.0,1035.0,6551.0,-357.0,-6152.0,1392.0
PK,-6491.0,2243.0,296.0,-1687.0,-6787.0,3930.0
BR,-6829.0,-1271.0,633.0,720.0,-7462.0,-1991.0
NI,-7043.0,4879.0,1115.0,-1682.0,-8158.0,6561.0
AP,-429.0,2249.0,9109.0,-275.0,-9538.0,2524.0
CS,4008.0,-988.0,14393.0,2072.0,-10385.0,-3060.0
UR,-11300.0,-627.0,-518.0,-2012.0,-10782.0,1385.0
SI,3040.0,-860.0,14562.0,1836.0,-11522.0,-2696.0
A,245.0,-7545.0,12088.0,-913.0,-11843.0,-6632.0
CJ,-3524.0,-1186.0,9939.0,941.0,-13463.0,-2127.0
SP,-2591.0,3941.0,11904.0,-1391.0,-14495.0,5332.0
SF,-14387.0,-1998.0,2167.0,1137.0,-16554.0,-3135.0
EG,-12233.0,4470.0,9914.0,668.0,-22147.0,3802.0
MA,-35153.0,5846.0,-9641.0,677.0,-25512.0,5169.0
PP,-10711.0,-2682.0,15065.0,625.0,-25776.0,-3307.0
I,6892.0,-10965.0,37995.0,6862.0,-31103.0,-17827.0
SM,-32039.0,-1588.0,14603.0,1464.0,-46642.0,-3052.0
HC,-5211.0,-10726.0,44686.0,1436.0,-49897.0,-12162.0
TA,-106743.0,8415.0,-7173.0,-266.0,-99570.0,8681.0
M,-54702.0,4369.0,65306.0,18135.0,-120008.0,-13766.0
C,-107871.0,-26094.0,36511.0,10228.0,-144382.0,-36322.0
RM,-126935.0,-25615.0,47003.0,3935.0,-173938.0,-29550.0
V,-116562.0,-26861.0,85594.0,14888.0,-202156.0,-41749.0
SA,-123579.0,-32029.0,82045.0,10673.0,-205624.0,-42702.0
FG,-95647.0,-70190.0,133460.0,26161.0,-229107.0,-96351.0
RB,-144760.0,-68536.0,145175.0,33136.0,-289935.0,-101672.0
