symbol,informed_total,informed_chg,uninformed_total,uninformed_chg,net_total,net_chg
P,86429.0,13964.0,-27391.0,-4900.0,113820.0,18864.0
L,67749.0,-3861.0,-9892.0,567.0,77641.0,-4428.0
BU,36637.0,2609.0,-18260.0,-661.0,54897.0,3270.0
AO,17098.0,118.0,-32968.0,2995.0,50066.0,-2877.0
SR,41565.0,1073.0,-672.0,-380.0,42237.0,1453.0
MA,9021.0,11683.0,-19566.0,-2451.0,28587.0,14134.0
ZN,22363.0,-332.0,110.0,-109.0,22253.0,-223.0
AU,17732.0,831.0,-3086.0,-526.0,20818.0,1357.0
Y,7808.0,-5094.0,-8858.0,6512.0,16666.0,-11606.0
CU,15225.0,-811.0,795.0,-653.0,14430.0,-158.0
LC,8337.0,1597.0,-78.0,977.0,8415.0,620.0
EB,-2116.0,-69.0,-9935.0,512.0,7819.0,-581.0
FU,2161.0,-689.0,-4057.0,-3020.0,6218.0,2331.0
SH,671.0,2037.0,-4066.0,-921.0,4737.0,2958.0
PR,3058.0,-50.0,0.0,0.0,3058.0,-50.0
AL,-16.0,-3252.0,-1757.0,825.0,1741.0,-4077.0
PB,-29.0,1842.0,-1122.0,290.0,1093.0,1552.0
EC,1181.0,173.0,1054.0,127.0,127.0,46.0
RS,-1.0,-1.0,1.0,-1.0,-2.0,0.0
CY,-617.0,-1.0,0.0,0.0,-617.0,-1.0
AG,10008.0,-4488.0,10923.0,2287.0,-915.0,-6775.0
LG,-1575.0,802.0,-565.0,436.0,-1010.0,366.0
J,-755.0,-488.0,535.0,316.0,-1290.0,-804.0
LU,1527.0,-769.0,3928.0,153.0,-2401.0,-922.0
PX,-1680.0,-1212.0,853.0,-365.0,-2533.0,-847.0
PG,-199.0,199.0,3032.0,-251.0,-3231.0,450.0
SN,-1721.0,184.0,1959.0,280.0,-3680.0,-96.0
SF,944.0,-190.0,5562.0,45.0,-4618.0,-235.0
NR,-5766.0,-1133.0,-256.0,-126.0,-5510.0,-1007.0
PF,-2614.0,1218.0,3407.0,-244.0,-6021.0,1462.0
NI,-7047.0,-1403.0,-722.0,695.0,-6325.0,-2098.0
LH,-2711.0,-150.0,3702.0,-322.0,-6413.0,172.0
AP,-5970.0,-843.0,560.0,419.0,-6530.0,-1262.0
BR,-8034.0,656.0,31.0,161.0,-8065.0,495.0
JD,-4808.0,-1547.0,3334.0,148.0,-8142.0,-1695.0
SI,-1698.0,-649.0,7147.0,1141.0,-8845.0,-1790.0
I,4609.0,3075.0,15153.0,69.0,-10544.0,3006.0
CJ,-2315.0,-1081.0,9440.0,-46.0,-11755.0,-1035.0
UR,-12154.0,-3.0,751.0,710.0,-12905.0,-713.0
OI,-12224.0,-2175.0,955.0,1884.0,-13179.0,-4059.0
JM,-11206.0,-2835.0,5607.0,1420.0,-16813.0,-4255.0
PP,-6252.0,-3245.0,11797.0,-759.0,-18049.0,-2486.0
CF,-14983.0,-1931.0,3784.0,-309.0,-18767.0,-1622.0
RU,-9704.0,-941.0,9275.0,644.0,-18979.0,-1585.0
EG,-16164.0,2863.0,4140.0,41.0,-20304.0,2822.0
SP,-17349.0,1015.0,3972.0,-308.0,-21321.0,1323.0
SS,-14723.0,-1106.0,7994.0,898.0,-22717.0,-2004.0
B,-18328.0,3861.0,7914.0,373.0,-26242.0,3488.0
PK,-27102.0,-284.0,8058.0,1711.0,-35160.0,-1995.0
SM,-30055.0,449.0,5427.0,-1225.0,-35482.0,1674.0
CS,-20733.0,-1697.0,16776.0,-392.0,-37509.0,-1305.0
A,-30053.0,-839.0,18714.0,-100.0,-48767.0,-739.0
HC,-15239.0,-13408.0,38666.0,4758.0,-53905.0,-18166.0
TA,-127578.0,6019.0,0.0,0.0,-127578.0,6019.0
RM,-112056.0,1222.0,55557.0,-938.0,-167613.0,2160.0
C,-89902.0,792.0,87258.0,968.0,-177160.0,-176.0
M,-86085.0,-25329.0,115974.0,10319.0,-202059.0,-35648.0
SA,-115813.0,-9777.0,91262.0,13161.0,-207075.0,-22938.0
FG,-82567.0,-12946.0,127832.0,6015.0,-210399.0,-18961.0
RB,-98595.0,-14684.0,126731.0,9287.0,-225326.0,-23971.0
V,-210217.0,-14515.0,70280.0,7532.0,-280497.0,-22047.0
