symbol,contract,net_pos_corr,net_pos,net_chg,c_net_pos,c_net_chg,broker
A,A2501,0.8440655736458591,-45833.0,125.0,-30471.0,1245.0,W乾坤期货
A,A2501,-0.7533113636194568,14990.0,-117.0,13353.0,339.0,W银河期货
A,A2501,-0.7681405804634236,9786.0,96.0,10166.0,43.0,L中信建投
A,A2503,-0.7392142985241342,9786.0,96.0,400.0,19.0,L中信建投
A,A2505,0.7531948559395595,-45833.0,125.0,-2859.0,-1118.0,W乾坤期货
AG,AG2412,0.669565591057655,2140.0,2691.0,-1089.0,668.0,W华泰期货
AG,AG2412,-0.7198001052640153,-951.0,419.0,1252.0,-42.0,L东方财富
AL,AL2501,0.701938451243645,17603.0,-1284.0,6456.0,-1491.0,W海通期货
AL,AL2501,-0.6095860418842388,-7140.0,169.0,-4286.0,591.0,L中泰期货
AL,AL2501,-0.671122382755364,-12246.0,944.0,-2737.0,2683.0,W银河期货
AO,AO2412,0.7761725615507719,605.0,-37.0,605.0,-37.0,W创元期货
AO,AO2501,0.8976134915751621,6215.0,-623.0,3874.0,19.0,L南华期货
AO,AO2501,0.8268295777204164,13934.0,99.0,11994.0,821.0,W国泰君安
AO,AO2501,0.8076514750725995,2431.0,-204.0,4401.0,-166.0,L光大期货
AO,AO2501,0.7423654831702626,6936.0,662.0,4321.0,-319.0,W海通期货
AO,AO2501,-0.6596994326839623,1417.0,204.0,2207.0,538.0,W银河期货
AO,AO2501,-0.708175956194354,-10143.0,682.0,-6659.0,579.0,L中信建投
AO,AO2501,-0.8036853240875402,-9609.0,146.0,-9609.0,146.0,L中辉期货
AO,AO2501,-0.845350961467127,-4935.0,862.0,-5633.0,652.0,L徽商期货
AO,AO2501,-0.8807618633905552,-5367.0,125.0,-4508.0,220.0,L平安期货
AO,AO2501,-0.9332773982824099,-14057.0,1026.0,-9050.0,610.0,L东方财富
AO,AO2502,-0.6519900244523305,-4935.0,862.0,-2043.0,40.0,L徽商期货
AO,AO2502,-0.679712915595192,-14057.0,1026.0,-1901.0,94.0,L东方财富
AO,AO2502,-0.8152708846022761,6936.0,662.0,1908.0,168.0,W海通期货
AO,AO2503,0.6630231657406048,-848.0,-11.0,-848.0,-11.0,W中金财富
AO,AO2503,-0.6615855756452422,876.0,-1971.0,1163.0,-257.0,L国信期货
AO,AO2505,0.7693996816816139,13934.0,99.0,5715.0,-1866.0,W国泰君安
AO,AO2505,0.6971976368013555,2595.0,-174.0,1847.0,-34.0,W东吴期货
AO,AO2505,0.616173982069916,-4935.0,862.0,3725.0,138.0,L徽商期货
AO,AO2505,-0.6193654548085594,-14057.0,1026.0,-1777.0,325.0,L东方财富
AO,AO2505,-0.6793196332764929,1940.0,-3117.0,-3649.0,-2335.0,W华泰期货
AO,AO2505,-0.724054323985254,-4411.0,1255.0,-2261.0,209.0,L方正中期
AO,AO2505,-0.7254933810686606,-10143.0,682.0,-2312.0,103.0,L中信建投
AP,AP2412,0.8246672264074194,-3178.0,511.0,-12.0,5.0,L中泰期货
AP,AP2412,0.7674978832683609,-8724.0,-2017.0,-165.0,-10.0,W国泰君安
AP,AP2412,0.6841514944333535,,,-15.0,4.0,W瑞达期货
AP,AP2412,0.6214983209575284,2754.0,1174.0,-105.0,0.0,W银河期货
AP,AP2412,-0.6137584899156626,229.0,858.0,-24.0,0.0,L方正中期
AP,AP2412,-0.7423769321253761,,,38.0,3.0,L徽商期货
AP,AP2501,0.8363075302044133,891.0,-1000.0,2058.0,-882.0,W海通期货
AP,AP2501,0.8140274723964633,1403.0,-1924.0,1169.0,-1895.0,W华泰期货
AP,AP2501,0.7588590716462713,3873.0,427.0,3318.0,466.0,W东证期货
AP,AP2501,0.6700186917320485,2754.0,1174.0,1851.0,1127.0,W银河期货
AP,AP2501,-0.655670883037893,-375.0,-153.0,79.0,-214.0,L光大期货
AP,AP2501,-0.6670962155724582,-3178.0,511.0,-3053.0,303.0,L中泰期货
AP,AP2505,0.882365038556539,2754.0,1174.0,1024.0,38.0,W银河期货
AP,AP2505,0.8315881882075904,3738.0,-92.0,1452.0,13.0,L中信建投
AP,AP2505,-0.6767474066244827,-375.0,-153.0,-475.0,55.0,L光大期货
AP,AP2505,-0.7986329259691474,-8724.0,-2017.0,-2000.0,-205.0,W国泰君安
AU,AU2412,0.7448267580815265,9124.0,178.0,4647.0,-1133.0,W国泰君安
AU,AU2412,-0.7118528087046851,-844.0,-442.0,-508.0,52.0,L平安期货
AU,AU2502,0.6161474270723728,8910.0,-42.0,9803.0,821.0,W东证期货
AU,AU2502,0.6123538713157013,5445.0,173.0,2202.0,15.0,W银河期货
AU,AU2502,0.6005780740313227,18978.0,771.0,8479.0,449.0,W海通期货
AU,AU2502,-0.6280316316518595,-1764.0,66.0,-1117.0,38.0,L中辉期货
AU,AU2504,0.7573997478521544,-1764.0,66.0,249.0,1.0,L中辉期货
AU,AU2506,-0.8155700174776512,-925.0,-3.0,-941.0,-6.0,W瑞达期货
B,B2501,0.8181683456484801,-1347.0,38.0,-1347.0,38.0,W海通期货
B,B2501,0.7295567335196708,456.0,-108.0,-179.0,-149.0,L方正中期
B,B2501,0.634188804112286,-13618.0,-1408.0,-13618.0,-1408.0,W乾坤期货
B,B2501,-0.6954284685320486,2334.0,-330.0,2350.0,-337.0,L徽商期货
B,B2501,-0.7096845091146854,-750.0,-79.0,-910.0,-123.0,L国信期货
B,B2501,-0.7873810403018258,-3256.0,-1355.0,1458.0,-1375.0,W东证期货
B,B2501,-0.8310974045233325,8865.0,-2866.0,7716.0,-2457.0,W华泰期货
B,B2501,-0.8458213115677755,3958.0,526.0,3421.0,507.0,L中信建投
B,B2501,-0.8499106506995877,2565.0,653.0,2127.0,602.0,L东方财富
B,B2505,0.7623471314146704,-1513.0,-223.0,-330.0,-22.0,W创元期货
B,B2505,0.6128149264170923,456.0,-108.0,635.0,41.0,L方正中期
BR,BR2501,0.9318792034834154,-667.0,-154.0,-1813.0,44.0,W银河期货
BR,BR2501,0.6266601295566001,-1282.0,-86.0,-1282.0,-86.0,W创元期货
BR,BR2501,-0.8253416328716521,1255.0,379.0,1255.0,379.0,W瑞达期货
BR,BR2501,-0.9109519424235656,1120.0,244.0,1066.0,95.0,L方正中期
C,C2505,-0.6457207710289126,-11337.0,4118.0,2936.0,64.0,W银河期货
C,C2509,-0.6087802398425018,1247.0,-309.0,452.0,-15.0,W创元期货
C,C2509,-0.7683092040303815,-12116.0,-205.0,-393.0,-34.0,L方正中期
CF,CF2501,0.6006348721637371,756.0,148.0,-3987.0,-263.0,W华泰期货
CF,CF2503,0.7216359711201712,-10964.0,-4117.0,-1002.0,-461.0,W东证期货
CF,CF2503,0.6029663199250556,,,215.0,-16.0,L平安期货
CF,CF2503,-0.6249912161179293,12146.0,-71.0,98.0,0.0,L方正中期
CF,CF2503,-0.6872549609138043,12324.0,-2205.0,979.0,491.0,W国泰君安
CJ,CJ2412,0.7881123681487153,2237.0,460.0,8.0,-1.0,L方正中期
CJ,CJ2412,0.6710295200628235,-3186.0,-1100.0,20.0,0.0,W国泰君安
CJ,CJ2412,-0.6394696463272487,2616.0,153.0,-8.0,0.0,L中辉期货
CJ,CJ2505,0.824085362852985,-3172.0,172.0,-1513.0,40.0,W瑞达期货
CJ,CJ2505,-0.7519890625870475,3502.0,265.0,1998.0,237.0,L光大期货
CJ,CJ2505,-0.9398973511896944,5029.0,95.0,1863.0,131.0,L东方财富
CS,CS2501,0.816145338614335,-4415.0,69.0,-4330.0,69.0,L方正中期
CS,CS2501,0.7671475782914541,-4874.0,-433.0,-4874.0,-433.0,W中金财富
CS,CS2501,-0.6354642584063621,5515.0,281.0,4175.0,250.0,L中泰期货
CS,CS2507,-0.6371730184221728,-1354.0,-129.0,-149.0,-18.0,W华泰期货
