symbol,contract,net_pos_corr,net_pos,net_chg,c_net_pos,c_net_chg,broker
A,A2501,0.8790125755994498,-31046.0,1113.0,-18004.0,1077.0,W乾坤期货
A,A2501,0.7855072268046563,-1495.0,74.0,-1495.0,74.0,W瑞银期货
A,A2501,0.7428492025939599,-33676.0,-304.0,-33382.0,-304.0,W摩根大通
A,A2501,0.6465988032983503,-2758.0,246.0,-2758.0,246.0,W中金财富
A,A2501,-0.6012990427275413,2483.0,120.0,2700.0,102.0,L方正中期
A,A2501,-0.659314371458346,6427.0,-29.0,6427.0,-29.0,W海通期货
A,A2501,-0.7938301793495192,4819.0,127.0,6349.0,125.0,L中信建投
A,A2501,-0.8288775542025771,13212.0,-239.0,12819.0,-242.0,W银河期货
A,A2501,-0.8425648207905074,3701.0,41.0,3177.0,36.0,L中粮期货
A,A2503,0.8564576467246743,13212.0,-239.0,-214.0,73.0,W银河期货
A,A2503,0.6397237943208982,-33676.0,-304.0,-294.0,0.0,W摩根大通
A,A2503,-0.6426837915810996,3110.0,719.0,277.0,9.0,L广发期货
A,A2503,-0.6702962738872755,4819.0,127.0,129.0,40.0,L中信建投
A,A2503,-0.8009218766385477,-1914.0,133.0,173.0,5.0,W华泰期货
A,A2505,-0.6159486823664558,3110.0,719.0,503.0,30.0,L广发期货
A,A2505,-0.639395658067746,-7243.0,-2830.0,1452.0,7.0,W东证期货
A,A2505,-0.7633191765290045,1839.0,-15.0,521.0,2.0,L华安期货
A,A2505,-0.7912603112796851,952.0,477.0,222.0,265.0,L中泰期货
A,A2505,-0.8195721369435214,2281.0,-1304.0,982.0,-219.0,W国泰君安
AG,AG2412,0.6872368016100755,7522.0,-3086.0,11021.0,-2754.0,W华泰期货
AG,AG2412,-0.645382312811418,-789.0,1615.0,1204.0,2937.0,L中泰期货
AG,AG2412,-0.6968812564858935,322.0,879.0,1012.0,909.0,L中信建投
AG,AG2412,-0.7180437424802874,-7408.0,720.0,-6492.0,713.0,L东方财富
AG,AG2502,0.6306396021663271,24759.0,-2442.0,9972.0,-418.0,W海通期货
AG,AG2502,-0.8555371643452233,-8104.0,712.0,-4736.0,-299.0,L金瑞期货
AG,AG2504,0.8379635508369891,322.0,879.0,211.0,-3.0,L中信建投
AG,AG2504,0.7355405229267962,729.0,8.0,729.0,8.0,L中粮期货
