symbol,informed_total,informed_chg,uninformed_total,uninformed_chg,net_total,net_chg
P,56523.0,-2081.0,-32179.0,5665.0,88702.0,-7746.0
Y,51048.0,-3779.0,-7360.0,260.0,58408.0,-4039.0
AU,52567.0,-1056.0,-3158.0,-412.0,55725.0,-644.0
OI,22930.0,2428.0,-17469.0,-1096.0,40399.0,3524.0
SR,25449.0,14151.0,10439.0,-687.0,15010.0,14838.0
PR,7051.0,-525.0,-6032.0,-512.0,13083.0,-13.0
ZN,23262.0,2745.0,12580.0,608.0,10682.0,2137.0
AO,5102.0,400.0,-3996.0,-2009.0,9098.0,2409.0
A,3885.0,3941.0,-1102.0,73.0,4987.0,3868.0
PG,5359.0,1333.0,872.0,-287.0,4487.0,1620.0
AL,-10925.0,7146.0,-14163.0,-1932.0,3238.0,9078.0
RU,84.0,3070.0,-2281.0,-168.0,2365.0,3238.0
LU,3645.0,1091.0,1527.0,-185.0,2118.0,1276.0
EC,-242.0,-474.0,-946.0,255.0,704.0,-729.0
SN,-116.0,-1068.0,-446.0,104.0,330.0,-1172.0
RS,3.0,1.0,5.0,0.0,-2.0,1.0
CS,3417.0,-2163.0,4296.0,218.0,-879.0,-2381.0
CY,-876.0,55.0,36.0,-10.0,-912.0,65.0
J,-2270.0,93.0,-1143.0,-307.0,-1127.0,400.0
AG,43753.0,-6877.0,46115.0,-1304.0,-2362.0,-5573.0
NR,-4905.0,-497.0,-2190.0,-539.0,-2715.0,42.0
PB,932.0,-748.0,3900.0,-283.0,-2968.0,-465.0
SH,-2252.0,526.0,2012.0,166.0,-4264.0,360.0
SS,-5926.0,-1609.0,146.0,25.0,-6072.0,-1634.0
JD,-2812.0,-919.0,3837.0,367.0,-6649.0,-1286.0
PX,-6512.0,379.0,215.0,-338.0,-6727.0,717.0
BR,-6789.0,-1306.0,135.0,-543.0,-6924.0,-763.0
CU,-1956.0,846.0,7691.0,-788.0,-9647.0,1634.0
LH,-1463.0,-582.0,8831.0,-707.0,-10294.0,125.0
CJ,-3673.0,269.0,7169.0,-61.0,-10842.0,330.0
BU,-9622.0,-5624.0,1524.0,-136.0,-11146.0,-5488.0
JM,-11925.0,251.0,1144.0,-190.0,-13069.0,441.0
CF,-3027.0,6207.0,11664.0,-657.0,-14691.0,6864.0
PF,-13035.0,3185.0,2389.0,-36.0,-15424.0,3221.0
AP,-6881.0,-583.0,9049.0,-1335.0,-15930.0,752.0
EB,-11705.0,6089.0,6008.0,1727.0,-17713.0,4362.0
UR,-14557.0,-7062.0,3331.0,-2831.0,-17888.0,-4231.0
FU,-5901.0,-2155.0,12626.0,-3190.0,-18527.0,1035.0
SI,-2582.0,-1701.0,18741.0,2280.0,-21323.0,-3981.0
B,-19949.0,-2138.0,2543.0,1513.0,-22492.0,-3651.0
NI,-24059.0,3548.0,1250.0,-843.0,-25309.0,4391.0
LC,-10670.0,1199.0,14709.0,-2522.0,-25379.0,3721.0
EG,-27116.0,3190.0,2635.0,102.0,-29751.0,3088.0
SP,-17336.0,-4276.0,12697.0,247.0,-30033.0,-4523.0
SF,-27714.0,1745.0,2382.0,-175.0,-30096.0,1920.0
HC,42107.0,-7441.0,75549.0,-11476.0,-33442.0,4035.0
PK,-26996.0,-3512.0,7413.0,897.0,-34409.0,-4409.0
L,-25828.0,11464.0,10491.0,-51.0,-36319.0,11515.0
PP,-28060.0,9860.0,16632.0,-904.0,-44692.0,10764.0
I,-26805.0,4914.0,32828.0,-249.0,-59633.0,5163.0
M,-352.0,7163.0,66676.0,-4230.0,-67028.0,11393.0
SM,-72515.0,5283.0,8876.0,-2081.0,-81391.0,7364.0
MA,-91856.0,783.0,93.0,-3761.0,-91949.0,4544.0
RB,-28769.0,18800.0,73864.0,89.0,-102633.0,18711.0
SA,-82422.0,-23022.0,47535.0,12999.0,-129957.0,-36021.0
C,-101080.0,-8113.0,36829.0,926.0,-137909.0,-9039.0
RM,-114973.0,19680.0,39458.0,-2468.0,-154431.0,22148.0
V,-152307.0,4948.0,6499.0,4251.0,-158806.0,697.0
TA,-203095.0,25129.0,27143.0,-1935.0,-230238.0,27064.0
FG,-155290.0,-18580.0,120460.0,12388.0,-275750.0,-30968.0
