symbol,informed_total,informed_chg,uninformed_total,uninformed_chg,net_total,net_chg
L,88366.0,52.0,-24471.0,613.0,112837.0,-561.0
P,81490.0,-743.0,-27986.0,2656.0,109476.0,-3399.0
BU,51997.0,2575.0,-20608.0,226.0,72605.0,2349.0
SR,61944.0,2075.0,2220.0,274.0,59724.0,1801.0
ZN,38350.0,-655.0,-2553.0,405.0,40903.0,-1060.0
MA,24660.0,-8792.0,-11199.0,1253.0,35859.0,-10045.0
AO,22856.0,-3477.0,-8732.0,2835.0,31588.0,-6312.0
Y,25475.0,-6812.0,-1738.0,-11.0,27213.0,-6801.0
EB,19720.0,4147.0,-2959.0,612.0,22679.0,3535.0
CF,21927.0,4438.0,4760.0,1209.0,17167.0,3229.0
AU,15102.0,-460.0,1975.0,-607.0,13127.0,147.0
PB,8972.0,502.0,-2926.0,173.0,11898.0,329.0
JD,2613.0,-1331.0,-3356.0,492.0,5969.0,-1823.0
LC,17279.0,916.0,11943.0,57.0,5336.0,859.0
NR,1616.0,1612.0,-3560.0,260.0,5176.0,1352.0
PR,2969.0,-201.0,0.0,0.0,2969.0,-201.0
PG,4187.0,326.0,1827.0,-950.0,2360.0,1276.0
AL,-937.0,-7164.0,-3198.0,1745.0,2261.0,-8909.0
EG,-1251.0,-2908.0,-3423.0,-63.0,2172.0,-2845.0
LU,4949.0,-2677.0,3468.0,810.0,1481.0,-3487.0
SH,322.0,-2410.0,-578.0,1363.0,900.0,-3773.0
CU,1984.0,-2417.0,1475.0,-146.0,509.0,-2271.0
RS,2.0,0.0,0.0,0.0,2.0,0.0
EC,108.0,-152.0,489.0,221.0,-381.0,-373.0
CY,-367.0,34.0,49.0,-12.0,-416.0,46.0
LG,-104.0,42.0,1288.0,273.0,-1392.0,-231.0
PF,-5111.0,-409.0,-3132.0,1127.0,-1979.0,-1536.0
J,-2488.0,-618.0,596.0,147.0,-3084.0,-765.0
AP,-8447.0,212.0,-3323.0,208.0,-5124.0,4.0
OI,5891.0,246.0,11492.0,386.0,-5601.0,-140.0
PX,-7585.0,575.0,459.0,1710.0,-8044.0,-1135.0
NI,-6965.0,855.0,1256.0,-460.0,-8221.0,1315.0
SN,-4383.0,-76.0,4506.0,-5.0,-8889.0,-71.0
UR,-15273.0,1398.0,-6165.0,-461.0,-9108.0,1859.0
BR,-9693.0,-615.0,-215.0,-350.0,-9478.0,-265.0
LH,-6231.0,94.0,3501.0,921.0,-9732.0,-827.0
FU,-18449.0,5280.0,-8662.0,-461.0,-9787.0,5741.0
I,9927.0,-5164.0,20723.0,2493.0,-10796.0,-7657.0
PP,-2305.0,-4910.0,8941.0,-1246.0,-11246.0,-3664.0
SP,-4781.0,-97.0,6729.0,805.0,-11510.0,-902.0
RU,-9450.0,-1278.0,2455.0,-1641.0,-11905.0,363.0
SS,-5409.0,908.0,7304.0,-399.0,-12713.0,1307.0
CJ,-5273.0,-604.0,9283.0,111.0,-14556.0,-715.0
SF,-11936.0,-983.0,2898.0,249.0,-14834.0,-1232.0
SI,-4443.0,-791.0,11426.0,1969.0,-15869.0,-2760.0
B,-10600.0,2574.0,6960.0,-218.0,-17560.0,2792.0
CS,-578.0,1378.0,18670.0,440.0,-19248.0,938.0
HC,-15347.0,-949.0,4874.0,1842.0,-20221.0,-2791.0
AG,-13824.0,-15318.0,7118.0,6079.0,-20942.0,-21397.0
SM,-28807.0,1103.0,3173.0,-261.0,-31980.0,1364.0
PK,-27112.0,3478.0,7375.0,-998.0,-34487.0,4476.0
JM,-24403.0,-1502.0,13887.0,1120.0,-38290.0,-2622.0
A,-32511.0,3083.0,11338.0,-4531.0,-43849.0,7614.0
RB,-82000.0,4713.0,65466.0,-1911.0,-147466.0,6624.0
M,-93514.0,3065.0,72456.0,-2230.0,-165970.0,5295.0
C,-76236.0,-9120.0,93391.0,616.0,-169627.0,-9736.0
RM,-133133.0,7069.0,40128.0,-2108.0,-173261.0,9177.0
FG,-81278.0,18635.0,96374.0,-2663.0,-177652.0,21298.0
V,-145701.0,552.0,78367.0,1762.0,-224068.0,-1210.0
TA,-214011.0,-27474.0,33831.0,5241.0,-247842.0,-32715.0
SA,-204751.0,-30530.0,61492.0,25422.0,-266243.0,-55952.0
