,future_mkt_val_chg,call_mkt_val_chg,put_mkt_val_chg
WR,1.5140452295037283,0.0,0.0
EB,0.21374488560365856,1.1714805704170033,-0.36733673256140864
BU,0.2131277392034221,0.0,0.0
BR,0.2049514563008763,1.3886662302316921,-0.1543850666452492
EG,0.17855493270926415,0.9220608865033579,-0.36511178303386516
NR,0.16255581006243536,0.0,0.0
JM,0.13832805558260408,0.0,0.0
P,0.11830060644303253,0.3115828162933174,-0.026374230285653444
CS,0.11084218024906534,-0.2900910760286848,0.7629746090833682
SF,0.10904175391162263,0.2572545933159027,0.25574015439894704
RU,0.10407130136776899,0.40677712036728675,-0.2257073605415526
B,0.10350955561662767,-0.4434437362509537,0.7052082965934967
RR,0.09787153932650039,0.0,0.0
SR,0.09579146333958866,0.05685681192182557,0.153095986170396
PF,0.08293748289850966,0.38398989500276315,0.09090847142448277
JD,0.08282301701274375,0.4106999266350131,-0.11065863220748373
AO,0.08004664950017992,0.5953645532609728,-0.47506065426700217
PB,0.0790481429325951,0.44322103160188875,0.3762145982040064
C,0.07660297028874807,-0.20918792995214885,2.3173573017029105
PG,0.06970923315225308,0.5157070883197667,-0.2579835809158655
V,0.06524248115586007,0.5093601770732734,0.8313828553353548
SC,0.05003394051623489,0.5587431486570609,-0.31678606329123227
M,0.049781048114654336,-0.13474259813321676,0.39097037214388153
NI,0.049588991131149784,0.3283617906884799,-0.06559504416042583
I,0.04507505556774083,0.302000251487339,-0.2921879808965865
J,0.04036436706257529,0.0,0.0
BC,0.033846070970317,0.0,0.0
SA,0.03246271842819226,-0.2447507270953715,0.8419777512248172
PX,0.0311758599441605,2.582602688015043,1.2230736147946382
CU,0.022291001272943145,0.4671543910820779,-0.2675021354409184
OI,0.021982109103840575,-0.2368145588864743,0.3630893232843937
CF,0.01883745123181413,-0.10842294824736509,0.27687582997429794
RM,0.018518763959208373,-0.31664150732481244,0.4493761405982366
A,0.01523623345334979,-0.3466216415094845,0.5387429011454423
AG,0.011880540210779778,0.5681756065701993,-0.28604886326412404
SM,0.011096784629800016,-0.3594105102394203,0.9306861231934895
FU,0.010581790980033867,0.0,0.0
CY,0.007694232093668818,0.0,0.0
AU,0.003249347835489358,0.1336507285749471,-0.15170012027298263
JR,0.0,0.0,0.0
ZC,0.0,0.0,0.0
PM,0.0,0.0,0.0
RI,0.0,0.0,0.0
LR,0.0,0.0,0.0
L,-0.004559455807207291,0.38928048648219926,-0.2486889814509604
RB,-0.005656601680927409,0.08188090319064623,-0.1921099517990199
HC,-0.012718313088620148,0.0,0.0
Y,-0.013330256365821636,-0.0835772356227038,0.03146821358435514
LH,-0.014148046101985168,-0.21225287561163653,0.28409205066918886
AL,-0.014505446988565485,0.90419603457102,-0.38193761920438485
UR,-0.015745450730647814,-0.2427718108096436,1.0019706492995164
SH,-0.017918370815453444,-0.36897150670756496,0.3720394540278076
SP,-0.020361580264092072,0.0,0.0
LU,-0.02897234002827076,0.0,0.0
SS,-0.03947900337524679,0.0,0.0
LC,-0.046333502248375735,-0.38225546700766866,0.0525326629222127
AP,-0.05236095975804245,0.38627251143171204,0.16270476511440357
PK,-0.057964353850864514,-0.13294670895771843,0.1937457428689804
PP,-0.05839535871544266,-0.05195889580348989,-0.0532736617629066
PR,-0.06226646611366726,0.0,0.0
EC,-0.06514364883833057,0.0,0.0
CJ,-0.07940228285923889,0.28733360098519944,0.6781696899999343
TA,-0.08478572638485171,0.4305422296940835,-0.15586481684050923
FG,-0.1027089391137036,0.1368755016079628,0.10010840570371382
ZN,-0.1034135609584127,0.11809866725151474,-0.09121465283822239
FB,-0.11857584181129255,0.0,0.0
MA,-0.12640907323367812,-0.1895794800108177,0.07095601183158351
SI,-0.1272881065711602,0.18345636907601381,0.014698033943489452
RS,-0.13952729693741672,0.0,0.0
BB,-0.14242850341567115,0.0,0.0
SN,-0.17540829302786165,1.2958722561817968,-0.4487282729440183
LG,-0.25470922387577044,-0.07727876849988946,-0.04910610003205107
