symbol,contract,net_pos_corr,net_pos,net_chg,c_net_pos,c_net_chg,broker
A,A2501,0.8155124866204253,-43673.0,-27.0,-29876.0,-317.0,W乾坤期货
A,A2501,0.707991744971908,-3152.0,177.0,-3152.0,177.0,W瑞银期货
A,A2501,-0.6178430651266072,4900.0,565.0,2207.0,-7.0,L中粮期货
A,A2501,-0.6790835297478677,8048.0,370.0,8473.0,-101.0,L中信建投
A,A2501,-0.7049591113563535,14472.0,615.0,12466.0,517.0,W银河期货
A,A2503,-0.6147217386780564,8048.0,370.0,363.0,6.0,L中信建投
A,A2505,0.601821123773221,-43673.0,-27.0,-1270.0,-133.0,W乾坤期货
AG,AG2412,0.7021819242843103,-2248.0,-267.0,-2020.0,-357.0,W华泰期货
AG,AG2412,-0.6077844365410088,11190.0,-277.0,1467.0,-515.0,L平安期货
AG,AG2412,-0.7182035313194957,-1247.0,-1284.0,439.0,-468.0,L东方财富
AG,AG2506,0.7015948174493039,804.0,-2.0,804.0,-2.0,W兴业期货
AL,AL2501,0.7363824545224256,20365.0,-44.0,9656.0,-1071.0,W海通期货
AL,AL2501,-0.6341740944499674,-5348.0,2384.0,-4693.0,1150.0,L中泰期货
AL,AL2501,-0.6652137887975763,-3917.0,-740.0,-3560.0,-489.0,L广发期货
AL,AL2501,-0.6766648464318235,-10644.0,677.0,-6414.0,1312.0,W银河期货
AL,AL2502,-0.6981230935102762,-5348.0,2384.0,-828.0,-474.0,L中泰期货
AO,AO2412,0.7023311424115156,-2750.0,865.0,665.0,-188.0,L广发期货
AO,AO2501,0.9347193579053739,6402.0,-687.0,3778.0,138.0,L南华期货
AO,AO2501,0.846202510955599,18718.0,-1004.0,15300.0,-683.0,W国泰君安
AO,AO2501,0.8101527174840013,2773.0,-612.0,4836.0,-482.0,L光大期货
AO,AO2501,0.6891747372369484,7206.0,158.0,5274.0,-455.0,W海通期货
AO,AO2501,-0.6105608717647858,3346.0,389.0,2854.0,-154.0,W银河期货
AO,AO2501,-0.687146761776057,-8715.0,-475.0,-7326.0,-363.0,L中信建投
AO,AO2501,-0.8155561569307602,-12170.0,-156.0,-10336.0,-40.0,L中辉期货
AO,AO2501,-0.8956629157475792,-4388.0,98.0,-4388.0,98.0,L平安期货
AO,AO2501,-0.9426303628847841,-13835.0,256.0,-9115.0,113.0,L东方财富
AO,AO2502,0.6599945613634582,3507.0,93.0,1028.0,169.0,L中粮期货
AO,AO2502,-0.8307407306702472,7206.0,158.0,1898.0,209.0,W海通期货
AO,AO2503,0.7746661712614964,-2750.0,865.0,-1037.0,-1.0,L广发期货
AO,AO2505,-0.6090692971636065,3507.0,93.0,3228.0,13.0,L中粮期货
AP,AP2501,0.8047854182427293,1841.0,382.0,2860.0,340.0,W海通期货
AP,AP2501,0.7345768555396939,3135.0,350.0,3287.0,337.0,W华泰期货
AP,AP2501,-0.6968727990712589,377.0,203.0,684.0,151.0,L光大期货
AP,AP2505,0.8784649086760693,1959.0,-748.0,917.0,-5.0,W银河期货
AP,AP2505,0.8213122153424632,3829.0,-188.0,1504.0,97.0,L中信建投
AP,AP2505,-0.6583648862260435,377.0,203.0,-815.0,-10.0,L光大期货
AP,AP2505,-0.7845898245128832,-8349.0,18.0,-1800.0,106.0,W国泰君安
AU,AU2412,0.7306413272286009,5465.0,-229.0,3310.0,60.0,W国泰君安
AU,AU2412,-0.7095084694850242,324.0,-721.0,-144.0,-384.0,L平安期货
AU,AU2502,0.7107100728656098,6006.0,-282.0,2085.0,-262.0,W银河期货
AU,AU2502,-0.767632475956965,-1169.0,-87.0,-108.0,-17.0,L光大期货
AU,AU2504,0.7882899721329709,295.0,53.0,-834.0,-6.0,L国贸期货
AU,AU2504,0.7081830597377603,6006.0,-282.0,2829.0,-32.0,W银河期货
AU,AU2506,0.8703985667671481,406.0,-16.0,341.0,-15.0,L东方财富
AU,AU2508,-0.7203088470522316,-1169.0,-87.0,-156.0,-64.0,L光大期货
B,B2501,-0.7479531294372447,5743.0,321.0,4178.0,426.0,W华泰期货
