symbol,contract,net_pos_corr,net_pos,net_chg,c_net_pos,c_net_chg,broker
A,A2501,0.8560616074196152,-41521.0,1749.0,-18178.0,5037.0,W乾坤期货
A,A2501,-0.7884413464595855,9708.0,-39.0,9861.0,-40.0,L中信建投
A,A2501,-0.7885999638000256,15345.0,117.0,13569.0,232.0,W银河期货
A,A2503,0.7526749887232023,-855.0,67.0,-639.0,-6.0,W海证期货
A,A2503,-0.7149342260030067,1999.0,83.0,316.0,2.0,L广发期货
A,A2503,-0.7780143563500583,9708.0,-39.0,427.0,3.0,L中信建投
A,A2505,-0.6056801902969777,1999.0,83.0,1683.0,81.0,L广发期货
AG,AG2412,0.6685524025493785,363.0,871.0,151.0,409.0,W华泰期货
AG,AG2412,-0.7421155944909242,1975.0,-1443.0,799.0,-181.0,L东方财富
AG,AG2502,0.8295762575562163,-4512.0,2788.0,-4512.0,2788.0,W乾坤期货
AG,AG2506,-0.6008485444609368,5520.0,-733.0,3213.0,34.0,L中信建投
AL,AL2412,-0.6986810211290024,-44.0,2197.0,-1040.0,609.0,W永安期货
AL,AL2501,0.7543091331849259,22965.0,-772.0,3408.0,-572.0,W中信期货
AL,AL2501,-0.6623585528593195,-13824.0,-1064.0,-4927.0,-3273.0,W银河期货
AL,AL2503,0.7026630729398744,662.0,-11.0,662.0,-11.0,W创元期货
AO,AO2412,0.6955114128463427,3678.0,35.0,338.0,-177.0,W创元期货
AO,AO2412,0.6007487777538152,5790.0,-137.0,659.0,37.0,L南华期货
AO,AO2501,0.8594027352761764,5790.0,-137.0,4012.0,-113.0,L南华期货
AO,AO2501,0.8011760803903427,14301.0,2443.0,12919.0,1035.0,W国泰君安
AO,AO2501,0.7987950355483162,2957.0,145.0,4121.0,127.0,L光大期货
AO,AO2501,0.6442214110140172,1871.0,266.0,3426.0,336.0,W海证期货
AO,AO2501,0.6044127742116816,11799.0,-598.0,6818.0,-322.0,W永安期货
AO,AO2501,-0.6288055056296806,670.0,-842.0,1315.0,-988.0,W银河期货
AO,AO2501,-0.6808929200112056,-5824.0,1220.0,-5454.0,510.0,L中信建投
AO,AO2501,-0.8328324159858176,-4851.0,697.0,-5222.0,407.0,L徽商期货
AO,AO2501,-0.9162476179946616,-13093.0,493.0,-8511.0,197.0,L东方财富
AO,AO2502,0.6217679428360321,11799.0,-598.0,3838.0,436.0,W永安期货
AO,AO2502,-0.638398556948891,-13093.0,493.0,-1722.0,307.0,L东方财富
AO,AO2503,-0.6578445680774793,285.0,-120.0,1009.0,-255.0,L国信期货
AO,AO2505,0.7160534020904347,14301.0,2443.0,6099.0,77.0,W国泰君安
AO,AO2505,-0.6013119871355075,-13093.0,493.0,-1705.0,-36.0,L东方财富
AO,AO2505,-0.6500640636675098,-5824.0,1220.0,-1530.0,-213.0,L中信建投
AP,AP2412,0.8023614591334379,-3453.0,-999.0,9.0,-4.0,L中泰期货
AP,AP2412,0.7496398385163324,2585.0,731.0,31.0,8.0,W中信期货
AP,AP2412,-0.8914791243815641,141.0,-59.0,24.0,13.0,L国贸期货
AP,AP2501,0.826776050520071,688.0,-306.0,927.0,-103.0,W华泰期货
AP,AP2501,0.7239035163772533,2485.0,-64.0,1363.0,-50.0,W银河期货
AP,AP2501,-0.6175313120362308,514.0,-122.0,667.0,27.0,L光大期货
AP,AP2501,-0.7013504218575135,-3453.0,-999.0,-2615.0,-570.0,L中泰期货
AP,AP2505,0.8546381257479607,2485.0,-64.0,1255.0,-12.0,W银河期货
AP,AP2505,0.8319751272871412,2544.0,-553.0,1378.0,332.0,L中信建投
AP,AP2505,-0.6336710983236372,514.0,-122.0,-176.0,-140.0,L光大期货
AP,AP2505,-0.7678624926647718,-6611.0,2041.0,-1278.0,-84.0,W国泰君安
AU,AU2412,0.7106154356427429,7108.0,-646.0,623.0,-72.0,W国泰君安
AU,AU2502,0.6097993809846951,6444.0,356.0,2478.0,21.0,W银河期货
AU,AU2502,-0.7019894135075825,-1208.0,63.0,227.0,90.0,L光大期货
AU,AU2504,0.6517565650275838,83.0,-8.0,-1041.0,-14.0,L国贸期货
B,B2501,0.8635449512093945,1203.0,467.0,-3360.0,351.0,W中信期货
B,B2501,0.6973419921806718,-13614.0,-3113.0,-12414.0,-1913.0,W乾坤期货
B,B2501,0.6638174176806939,-1364.0,110.0,-1364.0,110.0,W中金财富
B,B2501,0.6603432588292639,-496.0,87.0,-1010.0,-46.0,W兴证期货
B,B2501,-0.7542324803215712,1418.0,204.0,1523.0,127.0,L徽商期货
B,B2501,-0.8386457991815117,4489.0,-632.0,3075.0,-795.0,W华泰期货
B,B2501,-0.8753365448383463,1549.0,185.0,1549.0,185.0,L东方财富
B,B2501,-0.8828742846372457,3591.0,16.0,3064.0,31.0,L中信建投
B,B2505,0.8133718864853552,-234.0,27.0,-234.0,27.0,L宏源期货
B,B2505,0.7585169546818733,161.0,-87.0,-219.0,8.0,W创元期货
B,B2505,0.6016318115483634,-496.0,87.0,514.0,133.0,W兴证期货
B,B2505,-0.8211296964679097,-839.0,-15.0,-839.0,-15.0,L国贸期货
