,future_mkt_val_chg,call_mkt_val_chg,put_mkt_val_chg
SH,0.8329472904228488,0.7514044797895916,0.0556859592016703
AO,0.7782229040199165,1.640210866129268,0.77833084448074
EC,0.31248218133077965,0.0,0.0
PX,0.29162356236696385,-0.5371038534531627,0.026892950178029063
PF,0.2657048320837583,-0.6996254991825911,-0.18066749556018324
BR,0.20222733391383851,-0.36090641453552774,0.7235125998825913
RB,0.18598325730290655,-0.018947984896990344,0.021773003976768512
EG,0.16560037654720183,-0.20764382415536242,0.4493781671508714
BU,0.15263790040492364,0.0,0.0
L,0.14870518515171383,-0.14708054967281947,0.1489940006196544
UR,0.14519794399546337,-0.19222245305456764,0.4509993387489828
SR,0.12694997759825233,-0.1833572936118597,-0.04873831527376471
FG,0.12433897146114004,0.1577147591870809,-0.27522469244469505
B,0.11916248390157747,-0.5898423360922758,-0.6883802194226538
SM,0.11515599571414836,-0.352692215153111,-0.42869788371509343
SP,0.11192082148943538,0.0,0.0
A,0.10687795454627214,0.28969418346866593,-0.6489527065429985
FU,0.10593327672297415,0.0,0.0
SC,0.10443740882330554,-0.516601529587799,0.88171515866147
SA,0.09973342644099104,0.0861224313435307,-0.22329505680137895
OI,0.09871338996779122,-0.3541251933364906,0.15289808715962128
Y,0.09709604784750137,-0.4000609613942424,-0.04241500568511258
AL,0.0959114468651443,0.18651929524353172,0.33561041241661904
PK,0.09255671078271632,-0.03468247895286358,-0.6065328095730156
ZN,0.09241665521169895,0.08496796459642764,0.30720922667154626
BB,0.09062068868922135,0.0,0.0
WR,0.08323574851654669,0.0,0.0
SS,0.07992703240343801,0.0,0.0
LH,0.07755281349076726,-0.22653365631478561,0.38048172295240335
P,0.07383303474827696,-0.03650993908321598,-0.021896029521275562
JM,0.0735569364971509,0.0,0.0
PP,0.07059269955365877,-0.329647799599021,0.3032633561334641
JD,0.07048348252700709,0.14949508081517915,-0.1212009926916725
CS,0.06960358697451752,0.03449015966065461,-0.02352732785612699
HC,0.0694656257088222,0.0,0.0
M,0.06797883557449769,-0.22823973603827585,-0.14428253672189884
SI,0.06708602312697476,-0.32801912773781305,-0.5666390398407642
C,0.05490396378594253,-0.0562704237044237,-0.5901202671749337
I,0.05138330098291366,-0.07620508014457394,-0.20934098926196254
BC,0.05114202183342087,0.0,0.0
MA,0.0501578370547211,-0.4556006346578254,0.31070466607095115
V,0.047232056048138515,-0.3920855705702534,-0.04260533636999919
AP,0.04624695308623772,0.23017633006207627,-0.2432836393521407
CY,0.04375115995028911,0.0,0.0
TA,0.04348765091056639,-0.4674664358632362,0.08726857594013393
RM,0.0313584838704708,-0.2413245712456944,-0.32298517551932115
CF,0.030714112105887592,-0.2884970513675412,-0.08081403037905222
PG,0.030048383201761286,-0.7601003396882529,0.2094709478176886
RS,0.029981114960817346,0.0,0.0
SF,0.027797936279428948,-0.5640097889946138,-0.4510920536057078
LU,0.02384981084163984,0.0,0.0
EB,0.01641468190240669,-0.7609710764463119,0.11198333440133479
SN,0.013919722036211502,-0.005422033590280928,0.13511336894778236
RR,0.012862954435592489,0.0,0.0
LC,0.012380229189976166,-0.5487137536646461,-0.6622698067083113
J,0.001241677023881227,0.0,0.0
RI,0.0,0.0,0.0
PM,0.0,0.0,0.0
LR,0.0,0.0,0.0
JR,0.0,0.0,0.0
ZC,0.0,0.0,0.0
AG,-0.0034580339817886774,0.2490568106592923,-0.18097423143483882
CJ,-0.007858444245973706,-0.26968877235419575,-0.1314228526540704
AU,-0.009795975731795692,0.23605620127055027,-0.08855156126822306
PB,-0.01437023865611231,-0.22300238521168758,0.26207086509121735
RU,-0.0224785282163944,-0.2766848270981097,0.3332244268596256
NR,-0.03293210516274858,0.0,0.0
NI,-0.036333055640455636,0.060293078581777904,0.35941418331423636
PR,-0.0425457133431123,0.0,0.0
CU,-0.051255162885042616,0.06530645589659212,-0.028333026984944998
FB,-0.2882027883629533,0.0,0.0
