symbol,informed_total,informed_chg,uninformed_total,uninformed_chg,net_total,net_chg
P,105336.0,5491.0,-40989.0,1263.0,146325.0,4228.0
Y,90942.0,-3477.0,-35936.0,1307.0,126878.0,-4784.0
AG,66747.0,19096.0,-10671.0,-7880.0,77418.0,26976.0
AU,54723.0,261.0,-2383.0,-905.0,57106.0,1166.0
AL,27851.0,6835.0,-18641.0,2579.0,46492.0,4256.0
AO,20682.0,8612.0,-25453.0,-3071.0,46135.0,11683.0
SR,42547.0,-2605.0,2327.0,469.0,40220.0,-3074.0
ZN,24067.0,-517.0,-2520.0,-1080.0,26587.0,563.0
OI,35888.0,-25566.0,11173.0,1366.0,24715.0,-26932.0
FU,7390.0,-1788.0,-9284.0,1786.0,16674.0,-3574.0
BU,8987.0,1417.0,-7570.0,-870.0,16557.0,2287.0
LU,6691.0,-177.0,-7773.0,-625.0,14464.0,448.0
CU,4016.0,1187.0,-4636.0,775.0,8652.0,412.0
PG,6091.0,2280.0,155.0,381.0,5936.0,1899.0
JD,6526.0,1750.0,1231.0,1203.0,5295.0,547.0
PR,2424.0,117.0,-304.0,-78.0,2728.0,195.0
SN,1457.0,153.0,-167.0,-254.0,1624.0,407.0
NR,-2900.0,-2737.0,-4414.0,-279.0,1514.0,-2458.0
J,1766.0,212.0,540.0,117.0,1226.0,95.0
L,-6791.0,-562.0,-7976.0,-2861.0,1185.0,2299.0
SS,2300.0,3951.0,1253.0,-159.0,1047.0,4110.0
EC,1005.0,156.0,577.0,-236.0,428.0,392.0
PF,446.0,2341.0,174.0,-13.0,272.0,2354.0
RS,3.0,0.0,1.0,0.0,2.0,0.0
CY,-548.0,49.0,101.0,26.0,-649.0,23.0
SH,-1860.0,-6385.0,-778.0,2861.0,-1082.0,-9246.0
PX,-337.0,-364.0,1022.0,107.0,-1359.0,-471.0
BR,-681.0,-434.0,1113.0,-162.0,-1794.0,-272.0
JM,-9.0,1530.0,2131.0,-612.0,-2140.0,2142.0
PB,-2237.0,989.0,18.0,-43.0,-2255.0,1032.0
LH,-1612.0,411.0,4662.0,262.0,-6274.0,149.0
I,25292.0,4123.0,31582.0,18.0,-6290.0,4105.0
SF,-5100.0,1904.0,1412.0,86.0,-6512.0,1818.0
EB,-8139.0,-653.0,-956.0,-762.0,-7183.0,109.0
CJ,-816.0,24.0,6753.0,85.0,-7569.0,-61.0
NI,-6266.0,2543.0,3216.0,-196.0,-9482.0,2739.0
SI,2353.0,1544.0,13448.0,-932.0,-11095.0,2476.0
SP,-528.0,1450.0,11618.0,-1092.0,-12146.0,2542.0
UR,-10287.0,-5486.0,1905.0,2069.0,-12192.0,-7555.0
LC,-8615.0,-1653.0,5792.0,498.0,-14407.0,-2151.0
RU,-14088.0,-4654.0,671.0,982.0,-14759.0,-5636.0
EG,-19572.0,-2864.0,-2272.0,573.0,-17300.0,-3437.0
AP,-9096.0,-3784.0,9171.0,1010.0,-18267.0,-4794.0
CS,-8000.0,-4004.0,15669.0,3398.0,-23669.0,-7402.0
HC,-15888.0,-3484.0,13965.0,-2322.0,-29853.0,-1162.0
CF,-6828.0,1074.0,29748.0,1216.0,-36576.0,-142.0
PP,-16005.0,-531.0,20783.0,363.0,-36788.0,-894.0
PK,-36701.0,648.0,3429.0,2101.0,-40130.0,-1453.0
B,-39810.0,-1767.0,2847.0,872.0,-42657.0,-2639.0
SM,-33128.0,-226.0,13084.0,-777.0,-46212.0,551.0
FG,-9737.0,13645.0,51555.0,1071.0,-61292.0,12574.0
A,-59693.0,1957.0,11293.0,1092.0,-70986.0,865.0
RB,-41437.0,3298.0,66701.0,-18582.0,-108138.0,21880.0
C,-138497.0,-13009.0,14125.0,3260.0,-152622.0,-16269.0
MA,-127077.0,-24046.0,26239.0,243.0,-153316.0,-24289.0
SA,-93228.0,29967.0,87190.0,-15581.0,-180418.0,45548.0
RM,-149022.0,-18224.0,37972.0,4025.0,-186994.0,-22249.0
V,-120162.0,-1437.0,83282.0,4600.0,-203444.0,-6037.0
TA,-257738.0,-4460.0,39721.0,-1309.0,-297459.0,-3151.0
M,-257458.0,7038.0,84772.0,-10439.0,-342230.0,17477.0
