,future_mkt_val_chg,call_mkt_val_chg,put_mkt_val_chg
SH,0.8046721010049054,-0.10417492073439516,0.07528662114199802
AO,0.5155770393397445,0.9182680311062517,0.1547234326518636
PX,0.44734483809245496,-0.5241000701433411,-0.3386702868593845
BB,0.2801669518402645,0.0,0.0
PF,0.24355877642137158,-0.7454898761556241,-0.38784964641085307
EG,0.20105928580086618,0.21563191632394862,0.07043388133779382
SC,0.19220586888638969,0.04516358321293157,-0.3598427817210137
BU,0.19005206317141088,0.0,0.0
A,0.15225324133557594,-0.38569932592702194,1.8360244719785461
OI,0.1452748748120405,-0.036170247886907037,-0.28837765911574353
SR,0.1321334644130996,-0.15839509673647634,-0.060535753524808
WR,0.12967590979240295,0.0,0.0
PK,0.12903082124826692,-0.47974013048729514,-0.6453101160096859
ZN,0.11865308399485763,0.08215249590906071,0.04580408815431358
SI,0.1167815928549738,-0.555905377998305,0.06228524161978721
Y,0.11127623892557414,0.08206206525208781,-0.2737148335027809
PR,0.10762383519640961,0.0,0.0
FG,0.09842457146730377,-0.5562460926255711,0.12316060013068753
FU,0.09335951727566472,0.0,0.0
RB,0.09178380097806293,-0.49356300964095834,0.5946205694683473
UR,0.08853246196886122,-0.4918588414571753,-0.11710362170476929
L,0.08590873735314997,0.09047614378997593,-0.11257207637036859
P,0.08559533235031891,0.2590401527952486,-0.335012536013373
RM,0.08538882036218487,-0.6555892860324501,0.20590206085929164
AL,0.08247132122139988,0.19423604151660356,0.021265335306145383
JD,0.07769694510795455,-0.05149881954948865,0.24300941172805435
M,0.06905775708009743,-0.6226933102478653,0.8426057517809049
BR,0.06710084798825311,-0.6554070186540024,0.8841681883468111
AP,0.0667142749847569,-0.2089758774160223,0.4684245334963866
SA,0.06037306170204193,-0.5682857972381892,0.23247240143744885
PG,0.05923934774628892,0.31370367787968867,-0.4425288067139208
SP,0.05763631652276202,0.0,0.0
LU,0.048521683936044946,0.0,0.0
EB,0.04843480240334719,-0.4991411303976797,0.06011093754593255
V,0.04349637242534676,-0.5494881454601451,0.40095658101306575
LH,0.041571464871814845,-0.2245707811322596,0.3926752206758366
BC,0.0386972509070036,0.0,0.0
B,0.036537378232035955,-0.7395885919339558,0.5614626984595408
CS,0.021260928643284105,-0.1831900724000054,0.28709599448123035
MA,0.019150804451510073,-0.440017610362067,0.05240026722432867
SM,0.018739493235906846,-0.6750481989218136,-0.2651373121072492
C,0.015110631164382937,-0.40256928163315764,0.13364873974885016
TA,0.01250225391390769,-0.4084417387569459,-0.17095878222438
SN,0.012423070893010202,-0.07683323019685151,0.031005022202135857
CF,0.011438065073905435,-0.5304409580866423,0.1921372469547702
PB,0.008991268415333487,-0.4434345383040542,0.26009960255913134
SF,0.0010927215021325765,-0.685778760693617,-0.36850005901050653
JR,0.0,0.0,0.0
ZC,0.0,0.0,0.0
LR,0.0,0.0,0.0
RI,0.0,0.0,0.0
PM,0.0,0.0,0.0
JM,-0.00210768946516926,0.0,0.0
I,-0.0033048689839906276,-0.36575999714165264,0.22813773450623986
PP,-0.00370624223904803,-0.11546416051331565,-0.07124245061359691
CJ,-0.00781580521255787,-0.4722924083756983,0.5173703614917655
AG,-0.01937479144065468,-0.17238434031634364,-0.11246460915099898
CY,-0.03342226106922008,0.0,0.0
HC,-0.04001799820770102,0.0,0.0
RS,-0.040272263187748125,0.0,0.0
RR,-0.044340750525598605,0.0,0.0
LC,-0.0519703914538856,-0.6528617574942657,0.12555099885303123
SS,-0.05285436635174523,0.0,0.0
AU,-0.05682321926843836,-0.08476481607989284,-0.14043140386487118
NR,-0.07453073600991933,0.0,0.0
CU,-0.07901469336934441,-0.34957041241285436,0.2405650347563364
NI,-0.0794803112105289,-0.1723012927530102,0.04240936130903994
EC,-0.08808078756362381,0.0,0.0
J,-0.10192759209043423,0.0,0.0
RU,-0.11673375283913623,-0.5342599018652021,0.7400050206745132
FB,-0.2570615348932218,0.0,0.0
