symbol,contract,net_pos_corr,net_pos,net_chg,c_net_pos,c_net_chg,broker
A,A2501,0.7576314569825353,-38989.0,-2607.0,-24552.0,-2451.0,W乾坤期货
A,A2501,-0.6637788259276951,5200.0,376.0,6078.0,346.0,L中信建投
A,A2501,-0.7956792506973718,4171.0,202.0,2414.0,82.0,L中粮期货
A,A2503,0.6479457842579661,3391.0,14.0,-984.0,-23.0,W创元期货
A,A2503,0.6372783428083663,-319.0,-47.0,-319.0,-47.0,W东吴期货
A,A2503,-0.6151970218296365,1167.0,-30.0,293.0,-2.0,L广发期货
A,A2505,0.617913419866448,5200.0,376.0,-1193.0,18.0,L中信建投
AG,AG2412,0.721363360938965,-2774.0,-672.0,-234.0,-173.0,W东吴期货
AG,AG2412,0.7010988324127353,-2692.0,-1922.0,-2013.0,-690.0,W华泰期货
AG,AG2412,-0.6267216305881633,12295.0,4285.0,3030.0,1780.0,L平安期货
AG,AG2412,-0.6781009613146414,4217.0,97.0,3364.0,121.0,L东方财富
AG,AG2502,0.8064652285620669,-3778.0,-736.0,-3778.0,-736.0,W乾坤期货
AG,AG2506,0.6950031638019528,806.0,0.0,806.0,0.0,W兴业期货
AL,AL2501,-0.6161736541962443,-902.0,398.0,-4259.0,380.0,L南华期货
AL,AL2501,-0.6955237250890663,-6736.0,2069.0,-5185.0,1131.0,L中泰期货
AL,AL2501,-0.7137914917791671,-3352.0,-159.0,-3183.0,284.0,L广发期货
AL,AL2502,0.6088194372619993,1820.0,-52.0,1023.0,-29.0,W东海期货
AL,AL2502,-0.702265965066137,-6736.0,2069.0,-278.0,-42.0,L中泰期货
AO,AO2412,0.8009292496377534,877.0,199.0,877.0,199.0,W创元期货
AO,AO2412,-0.6513844093084444,-3487.0,146.0,-1589.0,157.0,L中信建投
AO,AO2501,0.9515922391334408,7385.0,-1519.0,3988.0,-2046.0,L南华期货
AO,AO2501,0.8339692667011015,20114.0,-2318.0,18318.0,-3191.0,W国泰君安
AO,AO2501,-0.71771043307818,-3487.0,146.0,-2818.0,546.0,L中信建投
AO,AO2501,-0.8283766362477228,-7002.0,1098.0,-4518.0,-1.0,L广发期货
AO,AO2501,-0.8314274073173693,-6916.0,1370.0,-6441.0,634.0,L徽商期货
AO,AO2501,-0.8953237571855809,-5091.0,122.0,-4274.0,125.0,L平安期货
AO,AO2501,-0.9427630511874618,-12322.0,855.0,-8880.0,603.0,L东方财富
AO,AO2502,0.7657729904481023,20114.0,-2318.0,1614.0,-525.0,W国泰君安
AO,AO2502,-0.6375417658758887,-12322.0,855.0,-1336.0,15.0,L东方财富
AO,AO2502,-0.7930339792885381,7385.0,-1519.0,2247.0,473.0,L南华期货
AO,AO2505,-0.7008563647897004,3277.0,-30.0,3277.0,-30.0,L国贸期货
AO,AO2505,-0.8648882319277419,2930.0,-8.0,3290.0,-8.0,L中粮期货
AP,AP2501,0.6934788666381195,3111.0,104.0,3158.0,62.0,W华泰期货
AP,AP2505,0.9138435429222129,562.0,-849.0,679.0,-17.0,L徽商期货
AP,AP2505,0.8127610855365535,3865.0,210.0,1275.0,216.0,L中信建投
AP,AP2505,-0.7670137091696634,-7772.0,-346.0,-1827.0,-460.0,W国泰君安
AU,AU2412,0.7027813368727898,5617.0,-3643.0,2399.0,-3300.0,W国泰君安
AU,AU2412,-0.6508190884037466,-982.0,104.0,-982.0,104.0,L瑞达期货
AU,AU2412,-0.68021072938311,963.0,800.0,341.0,220.0,L平安期货
AU,AU2504,0.7959703682409327,225.0,176.0,-827.0,213.0,L国贸期货
AU,AU2506,0.8693425368133451,418.0,-56.0,352.0,-56.0,L东方财富
AU,AU2506,-0.6791551232828812,5617.0,-3643.0,-574.0,-224.0,W国泰君安
AU,AU2508,-0.6982977681377249,1491.0,-661.0,158.0,0.0,W华泰期货
B,B2501,0.7257543150156269,1047.0,-209.0,1047.0,-209.0,W兴证期货
B,B2501,0.685507153427954,5866.0,-1374.0,5866.0,-1374.0,W乾坤期货
B,B2501,0.6545558671592504,2420.0,262.0,1336.0,149.0,L中泰期货
B,B2501,-0.741350825941533,1248.0,258.0,786.0,268.0,L中信建投
B,B2501,-0.793393269205993,1804.0,2953.0,434.0,2297.0,W华泰期货
B,B2505,0.7807847838643571,174.0,-67.0,174.0,-67.0,W创元期货
B,B2505,0.6921539791424359,1162.0,277.0,2733.0,-21.0,L中粮期货
BR,BR2411,0.8592228123250558,-8.0,0.0,-8.0,0.0,W东海期货
BR,BR2411,-0.6053907604998559,-3946.0,1092.0,-278.0,0.0,W国泰君安
BR,BR2501,0.7016251309212707,-788.0,-44.0,-788.0,-44.0,L广发期货
BR,BR2501,-0.7872024549282687,-365.0,-402.0,-365.0,-402.0,L中泰期货
BR,BR2501,-0.8406432358568707,888.0,51.0,838.0,31.0,L瑞达期货
BR,BR2501,-0.8569765813255615,-302.0,-42.0,-362.0,-42.0,W华泰期货
C,C2505,-0.6366488173479277,-43888.0,-16.0,1704.0,-98.0,W华泰期货
C,C2507,-0.6208692586341648,10122.0,70.0,872.0,-15.0,L中泰期货
CF,CF2503,-0.6569917535062926,9376.0,950.0,294.0,11.0,L广发期货
CJ,CJ2412,0.7983757615891648,-1300.0,-199.0,20.0,0.0,W国泰君安
CJ,CJ2412,-0.705781805957274,4906.0,293.0,9.0,-4.0,L东方财富
CJ,CJ2412,-0.7973242005243928,1666.0,-23.0,15.0,0.0,L徽商期货
CJ,CJ2505,-0.7601961186919259,4906.0,293.0,1488.0,31.0,L东方财富
CS,CS2501,0.7141163370402664,-4140.0,663.0,-4140.0,663.0,W中金财富
CS,CS2503,-0.6004805317796522,3676.0,-683.0,735.0,-99.0,L东方财富
CU,CU2412,0.773965259565673,-2013.0,-3.0,-2087.0,-107.0,L瑞达期货
CU,CU2501,-0.8810085865192885,1236.0,-1005.0,-980.0,-1211.0,L国贸期货
EB,EB2501,0.6292639188219847,392.0,159.0,-2033.0,151.0,L中信建投
EG,EG2501,-0.6184846492134779,9168.0,-8.0,5141.0,-153.0,L瑞达期货
FG,FG2412,0.8256652375355347,-31502.0,-22190.0,3999.0,-481.0,W国泰君安
FG,FG2412,-0.6222310609980488,6222.0,2862.0,-514.0,13.0,L广发期货
FG,FG2412,-0.7173436277961828,28492.0,4354.0,-430.0,38.0,L平安期货
FG,FG2501,0.7492578368603855,-31502.0,-22190.0,-40336.0,-21416.0,W国泰君安
FG,FG2501,0.6130028461100806,-23111.0,-6064.0,-16308.0,-6077.0,L瑞达期货
FG,FG2501,-0.7102400767331868,,,18592.0,4384.0,L东方财富
FG,FG2502,0.6297754796388804,30945.0,3735.0,1481.0,29.0,L中泰期货
FG,FG2505,0.608304856897496,-31502.0,-22190.0,2963.0,-65.0,W国泰君安
FG,FG2505,-0.8335788271539766,-30082.0,-427.0,-9426.0,-687.0,L中粮期货
I,I2501,-0.727301619395126,-9574.0,229.0,-7402.0,-29.0,L国贸期货
I,I2503,-0.8005828355239444,3547.0,2063.0,648.0,-7.0,W华泰期货
JD,JD2502,0.7457996196399503,383.0,301.0,999.0,51.0,W东吴期货
JD,JD2502,-0.6177573572678516,-4274.0,-99.0,-1087.0,-9.0,L中粮期货
JD,JD2502,-0.7413689745991772,-6056.0,-978.0,-1471.0,7.0,L中泰期货
JD,JD2503,0.8475768866265729,725.0,-2451.0,794.0,-2.0,W国泰君安
JD,JD2503,0.8038649887869921,349.0,69.0,362.0,7.0,L南华期货
JD,JD2503,-0.6123593120349249,-4274.0,-99.0,-1201.0,-112.0,L中粮期货
JD,JD2503,-0.7686254006690545,-6056.0,-978.0,-1399.0,-307.0,L中泰期货
L,L2501,0.6946653652280109,9652.0,249.0,9652.0,249.0,W中金财富
LC,LC2412,0.8441120426861064,538.0,-398.0,538.0,-398.0,W兴证期货
LC,LC2412,0.6132496688091142,1395.0,113.0,479.0,156.0,W创元期货
LC,LC2412,-0.6264046359321664,-518.0,-109.0,-298.0,7.0,L中泰期货
LC,LC2503,0.7217634650849103,8895.0,-662.0,180.0,8.0,W东吴期货
LC,LC2503,0.6370860132325986,10691.0,-441.0,1630.0,61.0,L南华期货
LC,LC2505,0.668819355395994,7186.0,-452.0,1172.0,76.0,L徽商期货
LH,LH2501,0.7957844997214014,-2132.0,-70.0,-1417.0,36.0,L瑞达期货
LH,LH2501,0.7327161396965454,-509.0,204.0,-509.0,204.0,L广发期货
LH,LH2501,0.7109295843391357,-1990.0,-345.0,-1683.0,-460.0,W华泰期货
LH,LH2501,0.6573444086995512,-1012.0,-145.0,-1012.0,-145.0,W创元期货
LH,LH2501,0.6285481733357596,-2761.0,-129.0,-1253.0,-57.0,W东吴期货
