symbol,informed_total,informed_chg,uninformed_total,uninformed_chg,net_total,net_chg
P,72934.0,-8226.0,-39526.0,9298.0,112460.0,-17524.0
L,86805.0,-6837.0,-19373.0,-1683.0,106178.0,-5154.0
SR,95373.0,568.0,2870.0,-976.0,92503.0,1544.0
BU,62671.0,-1282.0,-25054.0,2391.0,87725.0,-3673.0
Y,72207.0,-3710.0,-442.0,-880.0,72649.0,-2830.0
I,73997.0,9064.0,15063.0,1709.0,58934.0,7355.0
ZN,51807.0,-1952.0,-2657.0,1246.0,54464.0,-3198.0
AU,45455.0,2385.0,-2474.0,-494.0,47929.0,2879.0
AL,34527.0,-7520.0,-8716.0,1193.0,43243.0,-8713.0
AG,40088.0,-10553.0,-2883.0,-1192.0,42971.0,-9361.0
CF,47699.0,12403.0,9045.0,1674.0,38654.0,10729.0
JD,11329.0,5796.0,-14092.0,-2310.0,25421.0,8106.0
AO,20883.0,-1074.0,-2544.0,852.0,23427.0,-1926.0
MA,5980.0,1950.0,-3546.0,801.0,9526.0,1149.0
PB,5341.0,-776.0,-2549.0,288.0,7890.0,-1064.0
HC,39837.0,1459.0,32229.0,-3232.0,7608.0,4691.0
SN,2855.0,-43.0,-82.0,110.0,2937.0,-153.0
PR,1500.0,62.0,-237.0,-26.0,1737.0,88.0
EC,1939.0,194.0,416.0,174.0,1523.0,20.0
CY,-205.0,42.0,137.0,-14.0,-342.0,56.0
PF,-2780.0,-1222.0,-1997.0,400.0,-783.0,-1622.0
NI,2083.0,2390.0,3337.0,-1094.0,-1254.0,3484.0
PX,-7889.0,134.0,-6631.0,-1200.0,-1258.0,1334.0
J,-2697.0,96.0,173.0,4.0,-2870.0,92.0
LH,-1041.0,156.0,2714.0,-49.0,-3755.0,205.0
CJ,-711.0,2611.0,4427.0,-1498.0,-5138.0,4109.0
PG,-1597.0,-127.0,4583.0,271.0,-6180.0,-398.0
AP,-6310.0,-2757.0,-4.0,843.0,-6306.0,-3600.0
SH,-3704.0,-767.0,2672.0,-43.0,-6376.0,-724.0
EB,-6386.0,-4979.0,520.0,180.0,-6906.0,-5159.0
BR,-7981.0,2030.0,296.0,205.0,-8277.0,1825.0
FU,-2226.0,-5089.0,7845.0,-34.0,-10071.0,-5055.0
NR,-11527.0,2407.0,-1215.0,1727.0,-10312.0,680.0
LU,-12400.0,224.0,145.0,-176.0,-12545.0,400.0
SP,-8533.0,-2544.0,4212.0,3730.0,-12745.0,-6274.0
SF,-6734.0,-1701.0,8131.0,-581.0,-14865.0,-1120.0
CU,-1420.0,-806.0,14253.0,9.0,-15673.0,-815.0
SS,-20780.0,710.0,-1663.0,-350.0,-19117.0,1060.0
PP,-11631.0,-6039.0,8802.0,-1997.0,-20433.0,-4042.0
SI,-4361.0,758.0,16805.0,473.0,-21166.0,285.0
B,-15095.0,626.0,6375.0,-400.0,-21470.0,1026.0
CS,-19227.0,-10647.0,4290.0,-2723.0,-23517.0,-7924.0
RU,-15674.0,-4202.0,8431.0,560.0,-24105.0,-4762.0
EG,-14731.0,-228.0,9525.0,358.0,-24256.0,-586.0
SM,-44880.0,-3581.0,-15662.0,625.0,-29218.0,-4206.0
PK,-22460.0,-2177.0,6784.0,2083.0,-29244.0,-4260.0
JM,-15932.0,-2654.0,18663.0,-225.0,-34595.0,-2429.0
UR,-32252.0,373.0,4119.0,591.0,-36371.0,-218.0
OI,-26930.0,1331.0,12547.0,786.0,-39477.0,545.0
LC,-37476.0,1794.0,13096.0,584.0,-50572.0,1210.0
A,-37997.0,524.0,17415.0,-786.0,-55412.0,1310.0
SA,-161318.0,-2400.0,31523.0,2957.0,-192841.0,-5357.0
FG,-76804.0,9227.0,122606.0,-1579.0,-199410.0,10806.0
C,-173564.0,-2528.0,55754.0,-2119.0,-229318.0,-409.0
RM,-191182.0,11119.0,64655.0,-8255.0,-255837.0,19374.0
V,-210392.0,-1244.0,73588.0,-5402.0,-283980.0,4158.0
RB,-97917.0,52905.0,194037.0,-17029.0,-291954.0,69934.0
M,-89242.0,16303.0,230065.0,3955.0,-319307.0,12348.0
TA,-282261.0,-21067.0,62861.0,-494.0,-345122.0,-20573.0
