symbol,informed_total,informed_chg,uninformed_total,uninformed_chg,net_total,net_chg
P,115667.0,725.0,-71135.0,-4986.0,186802.0,5711.0
Y,107940.0,11088.0,-33755.0,-4211.0,141695.0,15299.0
OI,65566.0,14999.0,-12764.0,-3762.0,78330.0,18761.0
AG,49369.0,-2963.0,-2549.0,1594.0,51918.0,-4557.0
AL,34438.0,4687.0,-10026.0,-2984.0,44464.0,7671.0
AU,40062.0,885.0,-3320.0,-26.0,43382.0,911.0
AO,16480.0,-569.0,-22402.0,-2280.0,38882.0,1711.0
SR,37787.0,847.0,914.0,-508.0,36873.0,1355.0
BU,22080.0,3336.0,-8392.0,-1391.0,30472.0,4727.0
LU,14704.0,2191.0,-5211.0,7.0,19915.0,2184.0
ZN,17603.0,1189.0,1119.0,1950.0,16484.0,-761.0
FU,9790.0,4356.0,-2853.0,-2783.0,12643.0,7139.0
PG,6532.0,576.0,-1294.0,-951.0,7826.0,1527.0
CS,15032.0,6316.0,8466.0,310.0,6566.0,6006.0
L,-7023.0,-5355.0,-12832.0,1397.0,5809.0,-6752.0
HC,3679.0,-5332.0,-1203.0,7701.0,4882.0,-13033.0
JD,1110.0,-174.0,-2485.0,-2843.0,3595.0,2669.0
PR,2774.0,81.0,-210.0,37.0,2984.0,44.0
NR,-2074.0,-1181.0,-4924.0,-5.0,2850.0,-1176.0
PX,3177.0,-446.0,773.0,-360.0,2404.0,-86.0
J,1326.0,-36.0,517.0,247.0,809.0,-283.0
RS,0.0,0.0,4.0,-1.0,-4.0,1.0
EC,1095.0,-262.0,1503.0,-149.0,-408.0,-113.0
CY,-423.0,-37.0,87.0,13.0,-510.0,-50.0
PF,-2195.0,584.0,-1408.0,7.0,-787.0,577.0
SN,116.0,341.0,1082.0,-156.0,-966.0,497.0
BR,-498.0,77.0,687.0,36.0,-1185.0,41.0
SI,2251.0,-1574.0,4029.0,-2335.0,-1778.0,761.0
CU,18.0,-344.0,1828.0,-318.0,-1810.0,-26.0
PB,-2383.0,-763.0,-219.0,51.0,-2164.0,-814.0
EB,-4800.0,-668.0,-2017.0,1210.0,-2783.0,-1878.0
LH,-355.0,78.0,2485.0,-148.0,-2840.0,226.0
SH,-4360.0,-3060.0,59.0,1188.0,-4419.0,-4248.0
SS,-2759.0,-875.0,2149.0,-406.0,-4908.0,-469.0
UR,-6625.0,1546.0,634.0,609.0,-7259.0,937.0
JM,3202.0,-1316.0,11487.0,605.0,-8285.0,-1921.0
CJ,-2888.0,-147.0,5511.0,520.0,-8399.0,-667.0
SF,-5059.0,-118.0,3824.0,108.0,-8883.0,-226.0
FG,3204.0,-960.0,13904.0,5257.0,-10700.0,-6217.0
SP,-2923.0,1199.0,8710.0,-258.0,-11633.0,1457.0
NI,-10944.0,-474.0,1343.0,621.0,-12287.0,-1095.0
AP,-4982.0,2036.0,8148.0,5.0,-13130.0,2031.0
RU,-13249.0,-3417.0,5125.0,2118.0,-18374.0,-5535.0
LC,-8731.0,348.0,16073.0,-2117.0,-24804.0,2465.0
PK,-24823.0,1053.0,1880.0,1989.0,-26703.0,-936.0
EG,-30522.0,2229.0,-2560.0,432.0,-27962.0,1797.0
PP,-4928.0,4101.0,24405.0,-855.0,-29333.0,4956.0
SM,-27673.0,111.0,2734.0,-722.0,-30407.0,833.0
I,4029.0,-1420.0,34671.0,5546.0,-30642.0,-6966.0
B,-30074.0,1768.0,2165.0,-289.0,-32239.0,2057.0
CF,-11952.0,-114.0,20352.0,-407.0,-32304.0,293.0
C,-31480.0,-2655.0,21178.0,6726.0,-52658.0,-9381.0
A,-50175.0,5839.0,4937.0,298.0,-55112.0,5541.0
MA,-89545.0,-3119.0,8477.0,132.0,-98022.0,-3251.0
V,-80403.0,-4436.0,78452.0,2114.0,-158855.0,-6550.0
RM,-138431.0,14885.0,28798.0,-3309.0,-167229.0,18194.0
SA,-84990.0,-7360.0,85676.0,9399.0,-170666.0,-16759.0
RB,-65807.0,-11254.0,117121.0,10748.0,-182928.0,-22002.0
TA,-233926.0,10122.0,3403.0,63.0,-237329.0,10059.0
M,-285567.0,-31391.0,37178.0,-14345.0,-322745.0,-17046.0
