,future_mkt_val_chg,call_mkt_val_chg,put_mkt_val_chg
RS,0.39946275506760553,0.0,0.0
BR,0.28578395185004424,2.75844061336533,-0.45626871883855125
NR,0.22703813578065613,0.0,0.0
RU,0.2089457496441769,1.0810131667352878,-0.14194616134406035
A,0.19122225791610115,-0.22353734037905082,1.4369326097826458
P,0.1308804563878907,0.7746375693919105,-0.1985366705126621
AO,0.1253341999212081,1.5579836348797031,0.14318732331227801
FG,0.09916362231336628,0.6752493039628213,0.17210625944189673
CJ,0.09095785245060872,0.48518330924529485,-0.21105590535814822
Y,0.08100750629606246,0.3905606636767658,-0.2654103765296142
ZN,0.0637779187229286,1.495881738525386,-0.7251171069083824
SH,0.062227936516593196,-0.1877780879512787,1.2727159273325244
SA,0.06033789450860949,0.41084006104571813,0.10384648759214277
OI,0.04746932617801347,0.7378670237630756,0.005352428550741362
PX,0.04038271760458323,0.038913165122527404,-0.09482194954674517
PG,0.03829621314744669,0.43218466913521936,-0.20993904946618336
AU,0.033446136596800846,0.0733410328594235,-0.15888670102477975
SR,0.02636500742703407,0.7964454988466958,-0.27564511280916504
EG,0.02411913527882903,0.3110963956991992,-0.08177364720862512
JD,0.022298582703239367,0.39967613221114173,-0.03786881587837443
CU,0.019142498484918447,0.8316163114008734,-0.5103467460104503
PP,0.018977256390759756,0.48092793139464574,-0.19861222099442088
RB,0.017668691297021644,0.3013476424645585,-0.25088554856861356
AL,0.01703489289230742,1.8792302267179615,-0.5895702254313071
M,0.015174577567278247,0.05408530206722584,-0.04742112026275158
C,0.014806705442927504,0.05414250135847465,0.35560900050630906
PK,0.012054427767616449,0.15949342982289094,0.2570275518337195
CS,0.008638666845535603,0.04928399583710652,0.6491660827757995
LU,0.007176586133319507,0.0,0.0
UR,0.0034447488560032102,0.16476409978308015,-0.23787079662519506
I,0.0021052807606207757,0.014294408677531178,-0.036651504053659245
AP,0.0019219033331812074,0.5890944228002692,-0.14992818294788823
L,0.0012658655420059173,0.28663321218246973,-0.1777765916627978
B,0.0007563738118154806,0.7872521173049472,-0.00697761349005277
AG,0.0003965278467534805,0.488828149898364,-0.31699538319420006
LR,0.0,0.0,0.0
PM,0.0,0.0,0.0
JR,0.0,0.0,0.0
ZC,0.0,0.0,0.0
RI,0.0,0.0,0.0
PF,-0.0016326405585808113,1.6624349913098277,0.38170749449294794
J,-0.0027921013666911687,0.0,0.0
CF,-0.009038174332527737,0.6055321742104234,-0.23922816618281217
SI,-0.00936389342808408,-0.269398958400744,0.17984527797231986
FU,-0.010832561307481225,0.0,0.0
JM,-0.01703695853271403,0.0,0.0
EB,-0.022429986132769808,0.7696369063025754,-0.671976747067115
V,-0.0257870827665847,-0.06300837133905524,0.18211733236443384
MA,-0.026551989295196865,0.48865327021937754,-0.22354988084826
SP,-0.03765612170735311,0.0,0.0
HC,-0.041344646687604625,0.0,0.0
LH,-0.04457824896635387,0.32582125649863847,-0.06095492648084844
TA,-0.051996132805315454,0.45037747773476333,-0.11031071672517834
LC,-0.05864011900972932,-0.3511915143897041,0.148340287167134
SF,-0.07725797547950763,0.6970404134433281,0.7974565294895459
SM,-0.07994676093870412,0.49109916485505467,0.46701463715640545
BC,-0.082990795937534,0.0,0.0
NI,-0.08376503143714664,0.47943573327356725,-0.1062521177833109
CY,-0.08614429926579825,0.0,0.0
BU,-0.08779522108529181,0.0,0.0
SC,-0.09396883765446462,0.4036159650604061,-0.23171416269262002
SS,-0.09544366942694293,0.0,0.0
RR,-0.09775278222416017,0.0,0.0
SN,-0.10071073975910627,0.22611758104489588,-0.16999974367663717
BB,-0.10089776142605456,0.0,0.0
RM,-0.1025584502874286,-0.12988784304519663,0.06909920122041657
PB,-0.12181298705988297,0.08340287108408173,0.06084911419409966
EC,-0.12931834605526593,0.0,0.0
PR,-0.1740526368884725,0.0,0.0
FB,-0.404612906467683,0.0,0.0
WR,-0.49387454059054425,0.0,0.0
