symbol,informed_total,informed_chg,uninformed_total,uninformed_chg,net_total,net_chg
P,137933.0,9392.0,-67195.0,-5837.0,205128.0,15229.0
Y,127315.0,7825.0,-47592.0,-63.0,174907.0,7888.0
OI,72056.0,8801.0,7096.0,-3335.0,64960.0,12136.0
SR,57657.0,7388.0,5137.0,2985.0,52520.0,4403.0
AO,20308.0,5465.0,-29107.0,-2729.0,49415.0,8194.0
AL,14171.0,4730.0,-16723.0,-690.0,30894.0,5420.0
L,11354.0,2691.0,-13064.0,127.0,24418.0,2564.0
BU,13167.0,100.0,-10756.0,73.0,23923.0,27.0
AU,19626.0,-966.0,-3552.0,-29.0,23178.0,-937.0
LU,16378.0,4818.0,-2866.0,-880.0,19244.0,5698.0
ZN,12123.0,-6584.0,66.0,1489.0,12057.0,-8073.0
LC,-4796.0,-27.0,-14721.0,-2033.0,9925.0,2006.0
SH,4767.0,552.0,-4046.0,422.0,8813.0,130.0
CS,16509.0,-963.0,8866.0,1313.0,7643.0,-2276.0
CU,7988.0,1953.0,4454.0,103.0,3534.0,1850.0
SS,6431.0,-1628.0,3098.0,-514.0,3333.0,-1114.0
PR,3024.0,-531.0,568.0,501.0,2456.0,-1032.0
FU,5547.0,1848.0,3783.0,-4373.0,1764.0,6221.0
SN,232.0,136.0,-1196.0,-937.0,1428.0,1073.0
NR,-4017.0,235.0,-4268.0,325.0,251.0,-90.0
RS,1.0,3.0,0.0,0.0,1.0,3.0
EC,688.0,-104.0,932.0,-174.0,-244.0,70.0
CY,-404.0,-23.0,357.0,1.0,-761.0,-24.0
J,-207.0,-63.0,832.0,171.0,-1039.0,-234.0
PG,3672.0,-263.0,5300.0,-129.0,-1628.0,-134.0
PB,-2857.0,828.0,-281.0,-811.0,-2576.0,1639.0
LH,-1689.0,847.0,3005.0,-1246.0,-4694.0,2093.0
BR,-6434.0,35.0,-1278.0,-725.0,-5156.0,760.0
AP,-2315.0,293.0,4046.0,1045.0,-6361.0,-752.0
JD,-1085.0,-533.0,6322.0,519.0,-7407.0,-1052.0
SF,-7227.0,448.0,850.0,758.0,-8077.0,-310.0
RU,-7479.0,8.0,1351.0,181.0,-8830.0,-173.0
CJ,123.0,1987.0,9531.0,6.0,-9408.0,1981.0
PX,-6903.0,-2428.0,2575.0,353.0,-9478.0,-2781.0
PF,-10334.0,1662.0,-482.0,-444.0,-9852.0,2106.0
SI,153.0,-706.0,10252.0,-4645.0,-10099.0,3939.0
UR,-15098.0,-79.0,-143.0,-3381.0,-14955.0,3302.0
EB,-6852.0,-3372.0,8793.0,623.0,-15645.0,-3995.0
NI,-13603.0,423.0,2704.0,-1378.0,-16307.0,1801.0
JM,-9832.0,-1400.0,7537.0,1084.0,-17369.0,-2484.0
AG,-601.0,-7799.0,17766.0,1069.0,-18367.0,-8868.0
PK,-16117.0,5721.0,2612.0,-3921.0,-18729.0,9642.0
HC,21617.0,-923.0,41145.0,2196.0,-19528.0,-3119.0
B,-18533.0,4696.0,2089.0,734.0,-20622.0,3962.0
EG,-21219.0,46.0,2511.0,475.0,-23730.0,-429.0
SP,-13424.0,-5666.0,15776.0,1922.0,-29200.0,-7588.0
I,7216.0,-6365.0,36898.0,2643.0,-29682.0,-9008.0
SM,-23459.0,54.0,12191.0,-2174.0,-35650.0,2228.0
PP,-16752.0,1366.0,22225.0,-1438.0,-38977.0,2804.0
CF,-3911.0,6122.0,41956.0,375.0,-45867.0,5747.0
A,-48639.0,3879.0,13242.0,-498.0,-61881.0,4377.0
MA,-70799.0,5789.0,-7075.0,4179.0,-63724.0,1610.0
C,-53857.0,-4458.0,23814.0,3203.0,-77671.0,-7661.0
FG,7122.0,-3681.0,94381.0,-790.0,-87259.0,-2891.0
RB,-59932.0,3221.0,89310.0,-3201.0,-149242.0,6422.0
V,-86150.0,-8861.0,88004.0,7426.0,-174154.0,-16287.0
SA,-116825.0,-57991.0,106831.0,37797.0,-223656.0,-95788.0
RM,-192813.0,7578.0,51568.0,-4056.0,-244381.0,11634.0
TA,-296365.0,9983.0,42341.0,-1112.0,-338706.0,11095.0
M,-322973.0,-32074.0,42111.0,18224.0,-365084.0,-50298.0
