,future_mkt_val_chg,call_mkt_val_chg,put_mkt_val_chg
NR,0.2815715118091915,0.0,0.0
P,0.27710582330960154,0.48567775544209035,-0.4268176079587406
SR,0.26735424187096823,1.1322724293948574,-0.2803820108247729
ZN,0.234456426121872,1.435093784913883,0.7181946517279827
FU,0.19763901079432622,0.0,0.0
BR,0.19166060184201394,2.000678243219822,-0.33746762864818125
JM,0.13810917736540684,0.0,0.0
SF,0.11996915149993326,0.033264104316735876,0.1182481481044313
CS,0.09561664077355969,-0.1328029943535961,0.1513176864282868
BU,0.0940191045563119,0.0,0.0
PX,0.0787700794375652,-0.8533325847915013,-0.9439667407668547
CY,0.07390956189467013,0.0,0.0
C,0.06515913867546552,-0.3559027380652835,0.44111041142956475
J,0.060051142718313466,0.0,0.0
PR,0.047918411059368005,0.0,0.0
BC,0.04463393545507155,0.0,0.0
SS,0.0431244209722228,0.0,0.0
I,0.04276482989902597,0.13042591472154874,-0.24091321694044077
CF,0.03816886608728032,0.31791356929690995,-0.23654967024304485
PP,0.03755889041948568,-0.011604677581022349,-0.19360062806790057
TA,0.03358074704194336,-0.02573168146930127,-0.34235325206773326
SN,0.02987510786205405,0.6623102690981875,0.2761721544525657
L,0.028173349956660543,-0.3176818416500121,-0.33887100482869625
SM,0.02635671433822062,-0.19230709386881417,-0.19603908768988587
V,0.025092851626046464,-0.1205991057801743,0.13945048714936092
PB,0.024500167845880272,1.1994168792840143,0.4311302612248744
JD,0.02359210321521088,0.17231825564438785,-0.2406917643784804
Y,0.022562473518808357,0.25471303697290293,-0.32388033635336766
EG,0.017112034477237303,0.13502995772868798,-0.2989660838880376
RU,0.015491587604495649,0.33360944614003674,-0.3338355417196137
PF,0.015326823481673912,0.062193818211722096,0.1749513975964201
SH,0.005337740620643627,-0.2855403006254187,-0.11090601912194753
PM,0.0,0.0,0.0
RI,0.0,0.0,0.0
JR,0.0,0.0,0.0
LR,0.0,0.0,0.0
ZC,0.0,0.0,0.0
LH,-0.0011140574372290324,-0.38338895214165125,0.3227768796734367
AU,-0.0043277942765448385,0.06262323979084772,0.08779614054924778
FB,-0.007390299091202923,0.0,0.0
SI,-0.008363119045391887,1.1345173738116237,-0.06618088553695434
RB,-0.011586994019939345,-0.11204569756969318,-0.269062915995643
CU,-0.01647719005139503,0.019426905202231337,0.2123485184073679
WR,-0.023390635387976033,0.0,0.0
UR,-0.02488843552998632,-0.16585271815961955,-0.01976278744454696
SA,-0.025474981958256704,-0.24499941961206484,-0.0053832371444836324
LC,-0.025742065367852507,-0.4729754545390369,-0.03101250290048685
OI,-0.027707682884487883,-0.2292734223204873,-0.02636453380123993
M,-0.029227599089383327,-0.009171822608804225,-0.1164102183336142
AG,-0.03062743549927638,0.1969947233202154,0.018859534636387343
B,-0.031011464353891793,0.2578534249254185,-0.28196101354163894
PG,-0.03155857487102631,-0.202197637068937,-0.03638517102953587
PK,-0.034793702715426034,-0.15328483174869623,-0.3000426822467023
SP,-0.03845299969159477,0.0,0.0
RM,-0.040728660135358474,-0.20745243741960662,-0.191549110505703
HC,-0.04129298119701841,0.0,0.0
A,-0.04155497827947807,-0.10266707795336183,-0.07628234276746948
AL,-0.04437590564511207,-0.16159746693366506,0.279834568916826
RR,-0.04953298960367447,0.0,0.0
CJ,-0.0496358182008787,0.3533721445625171,-0.6104769117081243
RS,-0.056296078780950776,0.0,0.0
EB,-0.0620572181778718,0.06233286841822916,-0.1157530021876243
FG,-0.06798456965667976,0.5086457969311324,-0.17363494818649283
NI,-0.07620682254355304,-0.04007403010091837,0.11862926473239366
EC,-0.08646940432592709,0.0,0.0
MA,-0.08818079475686735,-0.32687579585049464,-0.1370849519985784
AO,-0.11978000650478138,-0.22016797850782543,0.4526383538761303
SC,-0.12952347548503984,-0.14066102008707904,0.1373323903270811
AP,-0.1758455453900558,-0.7474813662052584,-0.7950144935571677
LG,-0.19519676270776165,0.13233049138775277,0.19797708006859516
BB,-0.21514406184118062,0.0,0.0
LU,-0.2589092254236385,0.0,0.0
