symbol,informed_total,informed_chg,uninformed_total,uninformed_chg,net_total,net_chg
P,71146.0,-11785.0,-15766.0,8853.0,86912.0,-20638.0
L,50787.0,1092.0,-10459.0,3190.0,61246.0,-2098.0
AO,17749.0,-3959.0,-34500.0,2511.0,52249.0,-6470.0
BU,29004.0,2738.0,-17599.0,-3287.0,46603.0,6025.0
SR,23624.0,7528.0,-292.0,-998.0,23916.0,8526.0
ZN,25801.0,3362.0,2690.0,251.0,23111.0,3111.0
AU,17754.0,1560.0,-1921.0,-759.0,19675.0,2319.0
CU,21530.0,1497.0,3291.0,191.0,18239.0,1306.0
Y,6475.0,-9988.0,-9197.0,3815.0,15672.0,-13803.0
AG,17818.0,7483.0,6228.0,-4140.0,11590.0,11623.0
LC,6740.0,825.0,-1431.0,581.0,8171.0,244.0
EB,-5690.0,152.0,-9517.0,-2347.0,3827.0,2499.0
PR,3201.0,-11.0,265.0,50.0,2936.0,-61.0
SH,-1175.0,-159.0,-3145.0,882.0,1970.0,-1041.0
AL,-2256.0,-4270.0,-3577.0,661.0,1321.0,-4931.0
EC,1596.0,564.0,286.0,-172.0,1310.0,736.0
J,226.0,391.0,-146.0,-134.0,372.0,525.0
MA,-16949.0,6816.0,-17115.0,-1896.0,166.0,8712.0
LG,-2377.0,-1819.0,-2541.0,-2134.0,164.0,315.0
RS,0.0,0.0,3.0,0.0,-3.0,0.0
PB,-1624.0,512.0,-1412.0,-54.0,-212.0,566.0
FU,-392.0,-5544.0,9.0,833.0,-401.0,-6377.0
CY,-587.0,39.0,0.0,0.0,-587.0,39.0
LU,884.0,-976.0,2553.0,61.0,-1669.0,-1037.0
PX,-1054.0,-2235.0,1218.0,-783.0,-2272.0,-1452.0
SN,-782.0,61.0,1679.0,-42.0,-2461.0,103.0
SF,1972.0,1681.0,5517.0,-152.0,-3545.0,1833.0
OI,-4718.0,471.0,-929.0,123.0,-3789.0,348.0
PG,-578.0,-723.0,3357.0,-196.0,-3935.0,-527.0
NR,-5265.0,-576.0,-809.0,882.0,-4456.0,-1458.0
NI,-7497.0,1653.0,-2286.0,-333.0,-5211.0,1986.0
SI,-2486.0,-153.0,3642.0,837.0,-6128.0,-990.0
JM,-6989.0,3726.0,-544.0,-1830.0,-6445.0,5556.0
AP,-5127.0,353.0,2178.0,-656.0,-7305.0,1009.0
PF,-3832.0,-174.0,3651.0,-618.0,-7483.0,444.0
BR,-7667.0,-924.0,539.0,205.0,-8206.0,-1129.0
JD,-4534.0,-218.0,4186.0,1162.0,-8720.0,-1380.0
LH,-4664.0,-436.0,4308.0,42.0,-8972.0,-478.0
UR,-12868.0,-72.0,41.0,504.0,-12909.0,-576.0
HC,10648.0,-1704.0,24216.0,-1883.0,-13568.0,179.0
CJ,-4578.0,-654.0,9486.0,311.0,-14064.0,-965.0
I,-24.0,201.0,15084.0,-975.0,-15108.0,1176.0
SS,-10019.0,156.0,7096.0,-112.0,-17115.0,268.0
EG,-14138.0,3446.0,4099.0,1651.0,-18237.0,1795.0
PP,-3007.0,-6594.0,15413.0,1128.0,-18420.0,-7722.0
RU,-16174.0,-2527.0,6650.0,251.0,-22824.0,-2778.0
SP,-22514.0,921.0,2302.0,229.0,-24816.0,692.0
PK,-21268.0,-715.0,6347.0,859.0,-27615.0,-1574.0
B,-21718.0,-3318.0,8747.0,1546.0,-30465.0,-4864.0
CS,-14303.0,-366.0,17168.0,359.0,-31471.0,-725.0
CF,-24224.0,1075.0,13901.0,-2033.0,-38125.0,3108.0
SM,-32177.0,2378.0,6652.0,-50.0,-38829.0,2428.0
A,-26909.0,-1370.0,18814.0,562.0,-45723.0,-1932.0
RM,-98737.0,-15248.0,28388.0,1081.0,-127125.0,-16329.0
TA,-133597.0,-6657.0,0.0,0.0,-133597.0,-6657.0
C,-75532.0,-873.0,76589.0,-9374.0,-152121.0,8501.0
M,-70576.0,-936.0,99879.0,9233.0,-170455.0,-10169.0
FG,-69621.0,-9185.0,103391.0,-14617.0,-173012.0,5432.0
SA,-125816.0,19414.0,78101.0,-38618.0,-203917.0,58032.0
RB,-128445.0,15694.0,110276.0,-4858.0,-238721.0,20552.0
V,-187237.0,1602.0,64026.0,-240.0,-251263.0,1842.0
