symbol,informed_total,informed_chg,uninformed_total,uninformed_chg,net_total,net_chg
P,113747.0,-1741.0,-68067.0,6098.0,181814.0,-7839.0
Y,72239.0,-10821.0,-40863.0,9637.0,113102.0,-20458.0
AL,51250.0,1633.0,-23814.0,2170.0,75064.0,-537.0
SR,58489.0,11373.0,1303.0,-1980.0,57186.0,13353.0
AO,31800.0,-2674.0,-21693.0,524.0,53493.0,-3198.0
L,33365.0,-9612.0,-14067.0,625.0,47432.0,-10237.0
BU,27236.0,-1416.0,-15493.0,54.0,42729.0,-1470.0
AU,34174.0,-1392.0,-3188.0,560.0,37362.0,-1952.0
FU,21812.0,9478.0,-3196.0,-1813.0,25008.0,11291.0
AG,27391.0,-4088.0,5799.0,-3921.0,21592.0,-167.0
LU,16454.0,-1204.0,-2793.0,676.0,19247.0,-1880.0
LC,-2120.0,-924.0,-19553.0,-4445.0,17433.0,3521.0
JD,12136.0,-2562.0,-4444.0,414.0,16580.0,-2976.0
ZN,15055.0,-3252.0,2245.0,726.0,12810.0,-3978.0
OI,22011.0,-4067.0,16144.0,1108.0,5867.0,-5175.0
SN,3522.0,-326.0,-2305.0,-173.0,5827.0,-153.0
PR,3304.0,205.0,-687.0,-278.0,3991.0,483.0
PB,2834.0,376.0,350.0,-190.0,2484.0,566.0
EB,5493.0,2222.0,3368.0,-488.0,2125.0,2710.0
SS,794.0,-4452.0,-318.0,-619.0,1112.0,-3833.0
RS,2.0,-3.0,-3.0,0.0,5.0,-3.0
EC,129.0,68.0,175.0,-240.0,-46.0,308.0
CY,-407.0,-18.0,-17.0,-13.0,-390.0,-5.0
J,287.0,-831.0,1149.0,110.0,-862.0,-941.0
SH,-1205.0,-3016.0,330.0,4020.0,-1535.0,-7036.0
PK,-5234.0,1257.0,-3436.0,-3732.0,-1798.0,4989.0
CU,7025.0,-2842.0,8895.0,1077.0,-1870.0,-3919.0
PG,2191.0,149.0,5500.0,65.0,-3309.0,84.0
NR,-9607.0,-3056.0,-6085.0,571.0,-3522.0,-3627.0
B,1408.0,694.0,5020.0,1048.0,-3612.0,-354.0
LH,-1209.0,340.0,3008.0,367.0,-4217.0,-27.0
PX,-5763.0,471.0,335.0,528.0,-6098.0,-57.0
BR,-6442.0,387.0,235.0,-398.0,-6677.0,785.0
AP,-3420.0,-2991.0,4781.0,-941.0,-8201.0,-2050.0
PF,-6904.0,-2166.0,2021.0,1653.0,-8925.0,-3819.0
RU,-6185.0,-1925.0,4426.0,637.0,-10611.0,-2562.0
NI,-9272.0,-799.0,3129.0,1279.0,-12401.0,-2078.0
CS,2314.0,-1163.0,14884.0,929.0,-12570.0,-2092.0
A,-1080.0,-1719.0,12489.0,401.0,-13569.0,-2120.0
CJ,-3125.0,399.0,10467.0,528.0,-13592.0,-129.0
JM,-3343.0,-1551.0,10626.0,1519.0,-13969.0,-3070.0
SF,-11850.0,-694.0,2439.0,272.0,-14289.0,-966.0
SI,1552.0,-631.0,17045.0,290.0,-15493.0,-921.0
UR,-16650.0,-2822.0,8333.0,8851.0,-24983.0,-11673.0
EG,-19896.0,-3262.0,7828.0,1309.0,-27724.0,-4571.0
CF,13111.0,-2281.0,43204.0,2951.0,-30093.0,-5232.0
PP,-16727.0,-3476.0,14225.0,1033.0,-30952.0,-4509.0
M,12959.0,28738.0,45700.0,3667.0,-32741.0,25071.0
SP,-18086.0,-10956.0,15316.0,3412.0,-33402.0,-14368.0
I,4149.0,-4391.0,38173.0,1733.0,-34024.0,-6124.0
MA,-37244.0,-2091.0,4753.0,4613.0,-41997.0,-6704.0
SM,-38762.0,-6723.0,4326.0,-1966.0,-43088.0,-4757.0
HC,-17328.0,-10190.0,31429.0,-1472.0,-48757.0,-8718.0
TA,-147826.0,-16116.0,-7492.0,-319.0,-140334.0,-15797.0
C,-110968.0,-5581.0,33528.0,1369.0,-144496.0,-6950.0
RM,-116538.0,10397.0,61833.0,3233.0,-178371.0,7164.0
V,-121166.0,-15414.0,90080.0,6039.0,-211246.0,-21453.0
FG,-84254.0,11393.0,140936.0,-14998.0,-225190.0,26391.0
SA,-165586.0,-24978.0,93751.0,11706.0,-259337.0,-36684.0
RB,-155565.0,-10049.0,145036.0,-139.0,-300601.0,-9910.0
